time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,3361.27,3394.78,3399.22,3344.8,60.82,1.82,8409.97,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,3373.39,3377.5,3397.14,3361.46,-17.28,-0.51,7803.82,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,3379.63,3360.79,3400.88,3353.95,-16.71,-0.49,5905.59,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,3356.66,3368.91,3414.15,3340.28,8.12,0.24,8049.62,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,3363.82,3305.0,3383.57,3299.14,-63.91,-1.9,6372.36,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,3292.83,3321.53,3328.54,3279.34,16.53,0.5,5544.28,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,3331.91,3340.73,3351.49,3295.45,19.2,0.58,5633.38,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,3353.36,3339.75,3356.3,3325.86,-0.98,-0.03,4985.64,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,3328.05,3285.31,3328.05,3277.37,-54.44,-1.63,5202.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,3259.36,3161.16,3269.62,3154.83,-124.15,-3.78,6430.87,0.0,0.0,0.0,0.0,0.0,0.0,2,3691.36,2959.74
2011-01-18,3152.27,3166.72,3173.28,3134.12,5.56,0.18,4098.35,0.0,0.0,0.0,0.0,0.0,0.0,2,3666.04,2939.44
2011-01-19,3167.64,3236.25,3236.65,3157.51,69.53,2.2,5361.71,0.0,0.0,0.0,0.0,0.0,0.0,2,3650.36,2926.87
2011-01-20,3229.03,3129.39,3229.03,3128.99,-106.86,-3.3,5814.19,0.0,0.0,0.0,0.0,0.0,0.0,2,3624.68,2906.27
2011-01-21,3120.13,3169.25,3216.17,3119.99,39.86,1.27,6785.07,0.0,0.0,0.0,0.0,0.0,0.0,2,3602.51,2888.5
2011-01-24,3171.91,3134.26,3184.95,3124.53,-34.99,-1.1,6156.23,0.0,0.0,0.0,0.0,0.0,0.0,2,3583.56,2873.31
2011-01-25,3130.19,3118.52,3141.3,3098.35,-15.74,-0.5,4608.29,0.0,0.0,0.0,0.0,0.0,0.0,2,3561.03,2855.24
2011-01-26,3120.1,3161.02,3164.87,3120.1,42.5,1.36,4094.96,0.0,0.0,0.0,16.02,12.77,22.51,2,3541.08,2839.25
2011-01-27,3136.14,3211.51,3222.0,3116.94,50.49,1.6,7662.25,0.0,0.0,0.0,32.7,19.42,59.28,2,3526.85,2827.83
2011-01-28,3205.34,3223.22,3234.86,3195.79,11.71,0.36,5901.3,0.0,0.0,0.0,51.9,30.24,95.21,2,3519.95,2822.31
2011-01-31,3221.81,3262.49,3262.53,3218.13,39.27,1.22,6156.7,3435.68,3253.4,3071.13,67.92,42.8,118.17,2,3531.2,2831.32
2011-02-01,3269.83,3265.13,3273.61,3250.91,2.64,0.08,4642.01,3417.46,3246.92,3076.38,77.0,54.2,122.6,2,3542.13,2840.08
2011-02-09,3243.12,3227.0,3277.5,3218.39,-38.13,-1.17,5637.85,3399.17,3239.4,3079.62,75.27,61.23,103.36,2,3541.1,2839.26
2011-02-10,3220.9,3295.49,3296.28,3211.42,68.49,2.12,6390.32,3388.34,3236.13,3083.92,83.38,68.61,112.92,2,3559.54,2854.04
2011-02-11,3292.38,3313.73,3326.33,3285.59,18.24,0.55,7369.49,3377.65,3233.37,3089.1,87.08,74.77,111.7,2,3575.57,2866.9
2011-02-14,3316.15,3418.11,3426.93,3316.15,104.38,3.15,11576.15,3401.77,3239.03,3076.28,90.44,79.99,111.33,0,3607.08,2892.16
2011-02-15,3422.69,3416.56,3461.6,3414.48,-1.55,-0.05,10538.8,3420.81,3243.78,3066.75,89.27,83.08,101.64,0,3640.16,2918.69
2011-02-16,3409.37,3449.65,3449.65,3393.57,33.09,0.97,8866.84,3443.69,3249.23,3054.76,91.35,85.84,102.37,0,3672.2,2944.38
2011-02-17,3457.71,3450.49,3470.08,3421.07,0.84,0.02,8880.97,3464.9,3254.76,3044.63,91.71,87.79,99.53,0,3698.73,2965.65
2011-02-18,3444.21,3415.36,3447.11,3405.5,-35.13,-1.02,7474.2,3482.53,3261.27,3040.0,87.42,87.67,86.92,2,3720.06,2982.75
2011-02-21,3393.81,3462.22,3462.61,3391.69,46.86,1.37,7859.52,3508.97,3276.32,3043.67,90.6,88.65,94.51,2,3742.23,3000.52
2011-02-22,3471.16,3365.48,3472.29,3363.88,-96.74,-2.79,10525.79,3516.29,3286.26,3056.22,80.09,85.79,68.67,2,3753.36,3009.45
2011-02-23,3353.44,3378.94,3387.41,3349.41,13.46,0.4,7298.37,3525.62,3293.39,3061.16,70.06,80.55,49.08,2,3770.23,3022.98
2011-02-24,3374.36,3397.0,3401.98,3363.22,18.06,0.53,6813.36,3530.34,3306.77,3083.2,63.96,75.02,41.85,2,3781.5,3032.01
2011-02-25,3396.7,3403.49,3420.53,3363.35,6.49,0.19,6210.19,3536.48,3318.48,3100.49,57.31,69.12,33.7,2,3791.46,3040.0
2011-02-28,3407.01,3447.47,3449.45,3383.98,43.98,1.29,7689.65,3541.71,3334.14,3126.58,64.81,67.68,59.06,2,3794.72,3042.61
2011-03-01,3449.99,3464.54,3484.55,3444.74,17.07,0.5,8872.07,3541.15,3351.44,3161.74,71.6,68.99,76.83,2,3800.05,3046.88
2011-03-02,3445.78,3453.58,3468.38,3411.41,-10.96,-0.32,8099.17,3539.17,3366.07,3192.97,73.43,70.47,79.35,2,3800.48,3047.23
2011-03-03,3458.89,3432.95,3484.9,3432.0,-20.63,-0.6,9816.32,3537.12,3377.14,3217.17,69.51,70.15,68.22,2,3798.53,3045.67
2011-03-04,3435.1,3482.86,3485.84,3428.13,49.91,1.45,7814.29,3539.84,3390.13,3240.42,78.94,73.08,90.67,2,3806.03,3051.68
2011-03-07,3500.65,3548.56,3551.39,3500.65,65.7,1.89,11744.97,3557.26,3404.43,3251.6,85.49,77.22,102.05,2,3815.61,3059.36
2011-03-08,3548.59,3551.77,3556.77,3524.73,3.21,0.09,8526.59,3570.41,3418.76,3267.12,89.47,81.3,105.8,2,3836.29,3075.94
2011-03-09,3559.59,3552.18,3571.37,3536.56,0.41,0.01,7749.01,3569.72,3435.02,3300.32,89.9,84.17,101.37,2,3855.52,3091.36
2011-03-10,3543.5,3489.81,3543.5,3489.14,-62.37,-1.76,7654.97,3565.04,3444.74,3324.43,78.76,82.37,71.55,0,3865.82,3099.62
