time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,3237.42,3270.43,3272.13,3223.55,55.38,1.72,16483.22,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,3253.31,3264.42,3277.22,3240.74,-6.01,-0.18,15396.07,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,3265.18,3248.4,3281.95,3242.02,-16.02,-0.49,12855.18,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,3243.34,3245.75,3284.15,3226.88,-2.65,-0.08,15765.71,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,3240.86,3173.76,3254.15,3166.88,-71.99,-2.22,13118.49,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,3161.27,3173.91,3180.52,3137.01,0.15,0.0,11530.66,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,3181.9,3192.66,3201.62,3148.45,18.75,0.59,11350.71,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,3203.58,3191.24,3207.46,3179.57,-1.42,-0.04,10451.93,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,3181.69,3134.53,3181.69,3128.02,-56.71,-1.78,11103.58,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,3111.73,3010.08,3117.82,3003.9,-124.45,-3.97,13066.11,0.0,0.0,0.0,0.0,0.0,0.0,2,3541.47,2839.56
2011-01-18,2999.8,3017.71,3023.11,2984.36,7.63,0.25,8433.66,0.0,0.0,0.0,0.0,0.0,0.0,2,3513.42,2817.07
2011-01-19,3018.48,3086.98,3087.24,3010.63,69.27,2.3,10998.05,0.0,0.0,0.0,0.0,0.0,0.0,2,3493.73,2801.28
2011-01-20,3080.67,2983.95,3080.67,2983.69,-103.03,-3.34,12178.77,0.0,0.0,0.0,0.0,0.0,0.0,2,3464.37,2777.74
2011-01-21,2973.76,3016.18,3052.98,2971.67,32.23,1.08,13323.7,0.0,0.0,0.0,0.0,0.0,0.0,2,3438.89,2757.31
2011-01-24,3017.55,2969.61,3028.76,2965.81,-46.57,-1.54,12114.17,0.0,0.0,0.0,0.0,0.0,0.0,2,3416.23,2739.14
2011-01-25,2963.95,2941.92,2964.99,2920.78,-27.69,-0.93,9609.93,0.0,0.0,0.0,0.0,0.0,0.0,2,3390.48,2718.49
