time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,3596.78,3623.42,3626.46,3595.22,42.46,1.19,102.24,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,3616.05,3625.11,3629.37,3606.52,1.69,0.05,102.9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,3625.3,3615.33,3639.29,3614.7,-9.78,-0.27,135.79,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,3618.14,3626.29,3646.86,3613.33,10.96,0.3,133.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,3626.79,3584.12,3632.23,3573.5,-42.17,-1.16,93.33,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,3577.35,3578.84,3585.45,3559.22,-5.28,-0.15,85.44,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,3576.14,3598.24,3606.02,3572.71,19.4,0.54,93.44,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,3599.42,3606.11,3616.69,3599.42,7.87,0.22,67.63,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,3604.58,3582.2,3605.27,3575.05,-23.91,-0.66,73.47,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,3570.54,3489.03,3571.73,3481.46,-93.17,-2.6,116.86,0.0,0.0,0.0,0.0,0.0,0.0,2,3988.08,3197.65
2011-01-18,3485.47,3493.59,3506.32,3476.63,4.56,0.13,67.34,0.0,0.0,0.0,0.0,0.0,0.0,2,3973.67,3186.1
2011-01-19,3497.02,3572.66,3575.25,3496.97,79.07,2.26,93.73,0.0,0.0,0.0,0.0,0.0,0.0,2,3967.85,3181.43
2011-01-20,3572.38,3513.14,3572.38,3509.27,-59.52,-1.67,86.9,0.0,0.0,0.0,0.0,0.0,0.0,2,3956.51,3172.34
2011-01-21,3506.48,3556.77,3575.81,3506.48,43.63,1.24,101.52,0.0,0.0,0.0,0.0,0.0,0.0,2,3948.79,3166.15
2011-01-24,3556.69,3532.75,3571.08,3528.8,-24.02,-0.68,96.23,0.0,0.0,0.0,0.0,0.0,0.0,2,3943.09,3161.58
2011-01-25,3535.57,3505.14,3538.92,3493.71,-27.61,-0.78,77.08,0.0,0.0,0.0,0.0,0.0,0.0,2,3934.91,3155.02
2011-01-26,3505.18,3539.0,3545.05,3505.18,33.86,0.97,60.55,0.0,0.0,0.0,37.04,32.89,45.34,2,3928.33,3149.74
2011-01-27,3532.62,3569.03,3571.63,3515.55,30.03,0.85,106.09,0.0,0.0,0.0,55.75,40.51,86.23,2,3924.22,3146.44
2011-01-28,3562.49,3589.59,3589.59,3560.22,20.56,0.58,70.14,0.0,0.0,0.0,70.5,50.5,110.49,2,3925.04,3147.1
2011-01-31,3580.7,3605.63,3607.56,3573.67,16.04,0.45,73.43,3657.09,3570.3,3483.51,79.77,60.26,118.78,2,3937.98,3157.48
2011-02-01,3605.57,3608.22,3610.46,3593.43,2.59,0.07,69.83,3654.7,3569.54,3484.38,85.87,68.8,120.02,2,3950.7,3167.68
2011-02-09,3580.56,3567.31,3601.61,3561.71,-40.91,-1.13,99.67,3647.91,3566.65,3485.39,78.26,71.95,90.88,2,3950.11,3167.21
2011-02-10,3572.92,3594.49,3597.13,3572.04,27.18,0.76,97.79,3644.85,3565.61,3486.36,80.95,74.95,92.94,2,3959.14,3174.45
2011-02-11,3601.68,3600.13,3616.57,3596.51,5.64,0.16,117.42,3640.29,3564.3,3488.31,82.84,77.58,93.36,2,3963.95,3178.3
2011-02-14,3595.48,3649.27,3652.91,3595.48,49.14,1.36,138.03,3651.8,3567.56,3483.31,87.74,80.97,101.28,2,3976.89,3188.68
2011-02-15,3651.13,3643.7,3672.35,3642.35,-5.57,-0.15,137.44,3661.3,3570.8,3480.3,85.73,82.56,92.09,2,3992.27,3201.01
2011-02-16,3640.84,3668.76,3669.46,3638.67,25.06,0.69,125.61,3673.87,3574.33,3474.78,89.42,84.84,98.58,2,4006.67,3212.56
2011-02-17,3672.74,3671.67,3684.96,3657.27,2.91,0.08,115.59,3685.12,3577.6,3470.09,89.35,86.35,95.37,2,4018.06,3221.69
2011-02-18,3671.99,3660.73,3678.04,3657.39,-10.94,-0.3,103.86,3695.0,3581.53,3468.06,86.35,86.35,86.35,2,4025.96,3228.02
2011-02-21,3645.96,3678.92,3679.1,3641.53,18.19,0.5,141.89,3703.72,3591.03,3478.33,89.27,87.32,93.16,2,4034.1,3234.54
2011-02-22,3676.04,3596.39,3679.94,3592.33,-82.53,-2.24,173.75,3699.61,3596.17,3492.72,66.7,80.45,39.2,2,4032.78,3233.49
2011-02-23,3587.38,3612.72,3623.98,3586.58,16.33,0.45,119.89,3701.27,3598.17,3495.07,53.32,71.41,17.16,2,4037.82,3237.53
2011-02-24,3602.16,3627.98,3630.64,3600.57,15.26,0.42,120.37,3699.98,3603.91,3507.84,49.58,64.13,20.47,2,4041.54,3240.51
