time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,1018.53,0.0,0.0,1018.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,1012.36,0.0,0.0,1012.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,1007.37,0.0,0.0,1007.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,1010.54,0.0,0.0,1010.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,993.41,0.0,0.0,993.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,999.14,0.0,0.0,999.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,1005.52,0.0,0.0,1005.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,1004.73,0.0,0.0,1004.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,989.4,0.0,0.0,989.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,952.44,0.0,0.0,952.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1109.27,889.42
2011-01-18,0.0,954.44,0.0,0.0,954.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1102.16,883.71
2011-01-19,0.0,974.55,0.0,0.0,974.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1097.96,880.35
2011-01-20,0.0,943.31,0.0,0.0,943.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1090.85,874.65
2011-01-21,0.0,953.04,0.0,0.0,953.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1084.47,869.53
2011-01-24,0.0,943.16,0.0,0.0,943.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1078.89,865.06
2011-01-25,0.0,940.78,0.0,0.0,940.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1072.41,859.86
2011-01-26,0.0,951.17,0.0,0.0,951.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1066.38,855.02
2011-01-27,0.0,965.23,0.0,0.0,965.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1061.99,851.51
2011-01-28,0.0,968.3,0.0,0.0,968.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1059.65,849.63
2011-01-31,0.0,978.24,0.0,0.0,978.24,0.0,0.0,1030.54,978.28,926.03,0.0,0.0,0.0,2,1062.52,851.93
2011-02-01,0.0,980.54,0.0,0.0,980.54,0.0,0.0,1025.3,976.38,927.46,0.0,0.0,0.0,2,1065.41,854.25
2011-02-09,0.0,967.02,0.0,0.0,967.02,0.0,0.0,1020.28,974.12,927.95,0.0,0.0,0.0,2,1064.58,853.58
2011-02-10,0.0,988.24,0.0,0.0,988.24,0.0,0.0,1017.28,973.16,929.04,0.0,0.0,0.0,2,1069.56,857.58
2011-02-11,0.0,994.03,0.0,0.0,994.03,0.0,0.0,1014.18,972.33,930.49,0.0,0.0,0.0,2,1074.11,861.23
2011-02-14,0.0,1026.36,0.0,0.0,1026.36,0.0,0.0,1021.26,973.98,926.7,0.0,0.0,0.0,0,1083.35,868.63
2011-02-15,0.0,1024.98,0.0,0.0,1024.98,0.0,0.0,1026.48,975.27,924.07,0.0,0.0,0.0,0,1092.7,876.13
2011-02-16,0.0,1034.15,0.0,0.0,1034.15,0.0,0.0,1032.6,976.71,920.81,0.0,0.0,0.0,0,1101.91,883.51
2011-02-17,0.0,1032.67,0.0,0.0,1032.67,0.0,0.0,1037.98,978.1,918.22,0.0,0.0,0.0,0,1109.39,889.51
2011-02-18,0.0,1023.07,0.0,0.0,1023.07,0.0,0.0,1042.66,979.79,916.91,0.0,0.0,0.0,2,1115.47,894.39
2011-02-21,0.0,1037.08,0.0,0.0,1037.08,0.0,0.0,1050.26,984.02,917.77,0.0,0.0,0.0,2,1122.0,899.62
2011-02-22,0.0,1008.96,0.0,0.0,1008.96,0.0,0.0,1052.38,986.74,921.11,0.0,0.0,0.0,2,1125.16,902.15
2011-02-23,0.0,1010.09,0.0,0.0,1010.09,0.0,0.0,1054.66,988.52,922.38,0.0,0.0,0.0,2,1129.94,905.99
2011-02-24,0.0,1015.12,0.0,0.0,1015.12,0.0,0.0,1055.8,992.11,928.42,0.0,0.0,0.0,2,1132.92,908.38
2011-02-25,0.0,1018.2,0.0,0.0,1018.2,0.0,0.0,1057.37,995.37,933.37,0.0,0.0,0.0,2,1135.61,910.53
2011-02-28,0.0,1030.0,0.0,0.0,1030.0,0.0,0.0,1058.57,999.71,940.86,0.0,0.0,0.0,2,1136.01,910.85
2011-03-01,0.0,1034.64,0.0,0.0,1034.64,0.0,0.0,1058.49,1004.4,950.32,0.0,0.0,0.0,2,1137.08,911.71
2011-03-02,0.0,1032.22,0.0,0.0,1032.22,0.0,0.0,1057.93,1008.46,958.99,0.0,0.0,0.0,2,1136.87,911.54
2011-03-03,0.0,1028.94,0.0,0.0,1028.94,0.0,0.0,1057.65,1011.64,965.63,0.0,0.0,0.0,2,1136.45,911.21
2011-03-04,0.0,1043.56,0.0,0.0,1043.56,0.0,0.0,1058.86,1015.41,971.95,0.0,0.0,0.0,2,1138.73,913.03
2011-03-07,0.0,1064.25,0.0,0.0,1064.25,0.0,0.0,1064.6,1019.71,974.81,0.0,0.0,0.0,2,1141.74,915.45
2011-03-08,0.0,1064.08,0.0,0.0,1064.08,0.0,0.0,1068.97,1023.88,978.8,0.0,0.0,0.0,2,1147.86,920.36
2011-03-09,0.0,1063.39,0.0,0.0,1063.39,0.0,0.0,1068.77,1028.7,988.64,0.0,0.0,0.0,2,1153.78,925.1
2011-03-10,0.0,1046.27,0.0,0.0,1046.27,0.0,0.0,1067.74,1031.6,995.47,0.0,0.0,0.0,0,1157.24,927.87
2011-03-11,0.0,1034.55,0.0,0.0,1034.55,0.0,0.0,1065.39,1033.63,1001.87,0.0,0.0,0.0,2,1159.05,929.33
2011-03-14,0.0,1040.34,0.0,0.0,1040.34,0.0,0.0,1066.03,1034.33,1002.62,0.0,0.0,0.0,2,1160.2,930.25
2011-03-15,0.0,1021.98,0.0,0.0,1021.98,0.0,0.0,1066.09,1034.18,1002.27,0.0,0.0,0.0,2,1158.79,929.12
2011-03-16,0.0,1036.69,0.0,0.0,1036.69,0.0,0.0,1066.23,1034.3,1002.38,0.0,0.0,0.0,2,1159.29,929.52
2011-03-17,0.0,1020.93,0.0,0.0,1020.93,0.0,0.0,1066.17,1033.72,1001.27,0.0,0.0,0.0,2,1158.4,928.81
2011-03-18,0.0,1026.3,0.0,0.0,1026.3,0.0,0.0,1066.15,1033.88,1001.61,0.0,0.0,0.0,2,1156.48,927.27
2011-03-21,0.0,1022.56,0.0,0.0,1022.56,0.0,0.0,1065.76,1033.15,1000.55,0.0,0.0,0.0,2,1151.86,923.56
2011-03-22,0.0,1027.38,0.0,0.0,1027.38,0.0,0.0,1064.88,1034.07,1003.27,0.0,0.0,0.0,2,1147.78,920.29
