time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,1878.18,0.0,0.0,1878.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,1879.88,0.0,0.0,1879.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,1867.17,0.0,0.0,1867.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,1873.36,0.0,0.0,1873.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,1839.26,0.0,0.0,1839.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,1860.85,0.0,0.0,1860.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,1874.97,0.0,0.0,1874.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,1892.18,0.0,0.0,1892.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,1864.02,0.0,0.0,1864.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,1809.25,0.0,0.0,1809.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2068.94,1658.88
2011-01-18,0.0,1808.35,0.0,0.0,1808.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2061.19,1652.67
2011-01-19,0.0,1853.96,0.0,0.0,1853.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2058.31,1650.36
2011-01-20,0.0,1795.61,0.0,0.0,1795.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2050.37,1643.99
2011-01-21,0.0,1832.92,0.0,0.0,1832.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2045.88,1640.39
2011-01-24,0.0,1832.36,0.0,0.0,1832.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2045.12,1639.78
2011-01-25,0.0,1822.82,0.0,0.0,1822.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2040.89,1636.39
2011-01-26,0.0,1856.89,0.0,0.0,1856.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2038.89,1634.78
2011-01-27,0.0,1881.28,0.0,0.0,1881.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2037.68,1633.81
2011-01-28,0.0,1878.82,0.0,0.0,1878.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2039.32,1635.13
2011-01-31,0.0,1895.46,0.0,0.0,1895.46,0.0,0.0,1912.36,1854.88,1797.4,0.0,0.0,0.0,2,2048.89,1642.8
2011-02-01,0.0,1882.91,0.0,0.0,1882.91,0.0,0.0,1913.01,1855.12,1797.22,0.0,0.0,0.0,2,2057.17,1649.44
2011-02-09,0.0,1863.74,0.0,0.0,1863.74,0.0,0.0,1911.24,1854.31,1797.38,0.0,0.0,0.0,2,2058.25,1650.31
2011-02-10,0.0,1897.07,0.0,0.0,1897.07,0.0,0.0,1915.51,1855.8,1796.1,0.0,0.0,0.0,2,2069.51,1659.34
2011-02-11,0.0,1899.73,0.0,0.0,1899.73,0.0,0.0,1919.43,1857.12,1794.81,0.0,0.0,0.0,2,2076.93,1665.29
2011-02-14,0.0,1959.57,0.0,0.0,1959.57,0.0,0.0,1939.12,1863.14,1787.16,0.0,0.0,0.0,2,2091.05,1676.61
