time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,3661.53,3698.92,3703.6,3637.1,61.83,1.7,4557.14,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,3679.97,3694.9,3709.54,3669.47,-4.02,-0.11,3982.64,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,3693.75,3679.23,3714.99,3670.57,-15.67,-0.42,3295.82,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,3675.33,3715.57,3762.18,3662.72,36.34,0.99,5069.86,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,3706.38,3645.67,3733.2,3642.36,-69.9,-1.88,3938.77,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,3631.7,3676.02,3680.47,3626.26,30.35,0.83,3390.46,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,3684.83,3705.45,3713.92,3653.08,29.43,0.8,3655.61,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,3716.13,3700.11,3717.87,3684.99,-5.34,-0.14,3389.03,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,3689.38,3642.59,3689.38,3636.56,-57.52,-1.55,3198.93,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,3617.78,3514.26,3627.83,3505.62,-128.33,-3.52,3841.25,0.0,0.0,0.0,0.0,0.0,0.0,2,4070.67,3263.87
2011-01-18,3507.55,3521.3,3530.65,3493.46,7.04,0.2,2465.65,0.0,0.0,0.0,0.0,0.0,0.0,2,4050.96,3248.06
2011-01-19,3523.02,3583.81,3584.53,3512.24,62.51,1.78,2958.67,0.0,0.0,0.0,0.0,0.0,0.0,2,4038.63,3238.18
2011-01-20,3575.76,3478.06,3575.76,3477.06,-105.75,-2.95,3167.58,0.0,0.0,0.0,0.0,0.0,0.0,2,4016.3,3220.27
2011-01-21,3471.5,3534.44,3581.19,3471.5,56.38,1.62,3732.46,0.0,0.0,0.0,0.0,0.0,0.0,2,3996.19,3204.15
2011-01-24,3535.77,3506.23,3556.06,3500.05,-28.21,-0.8,3503.51,0.0,0.0,0.0,0.0,0.0,0.0,2,3980.71,3191.74
2011-01-25,3503.91,3500.11,3522.36,3477.83,-6.12,-0.17,2796.57,0.0,0.0,0.0,0.0,0.0,0.0,2,3961.19,3176.09
2011-01-26,3502.41,3538.7,3543.64,3502.41,38.59,1.1,2346.1,0.0,0.0,0.0,19.83,15.66,28.19,2,3942.68,3161.25
2011-01-27,3512.02,3583.2,3588.56,3494.17,44.5,1.26,4019.81,0.0,0.0,0.0,37.04,22.78,65.55,2,3929.7,3150.84
2011-01-28,3575.04,3586.88,3597.25,3560.25,3.68,0.1,3242.9,0.0,0.0,0.0,55.28,33.62,98.6,2,3923.52,3145.88
