time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,1034.71,1049.06,1054.69,1026.9,20.74,2.02,335.56,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,1038.68,1032.24,1044.86,1029.65,-16.82,-1.6,289.33,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,1034.73,1026.75,1041.22,1021.9,-5.49,-0.53,324.72,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,1022.59,1040.66,1058.46,1016.63,13.91,1.35,463.98,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,1034.48,1015.48,1044.44,1015.34,-25.18,-2.42,285.36,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,1011.31,1024.15,1027.26,1011.31,8.67,0.85,213.1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,1028.68,1034.7,1037.32,1018.06,10.55,1.03,241.17,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,1038.2,1030.76,1038.2,1026.28,-3.94,-0.38,227.94,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,1023.44,1012.54,1025.56,1011.94,-18.22,-1.77,229.1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,1007.77,973.99,1011.5,973.1,-38.55,-3.81,303.76,0.0,0.0,0.0,0.0,0.0,0.0,2,1136.68,911.39
2011-01-18,971.52,976.73,982.95,967.6,2.74,0.28,169.04,0.0,0.0,0.0,0.0,0.0,0.0,2,1128.65,904.95
2011-01-19,976.27,991.6,991.6,971.71,14.87,1.52,195.74,0.0,0.0,0.0,0.0,0.0,0.0,2,1124.14,901.34
2011-01-20,986.99,956.34,988.6,956.34,-35.26,-3.56,227.89,0.0,0.0,0.0,0.0,0.0,0.0,2,1116.32,895.07
2011-01-21,959.66,972.36,989.18,954.73,16.02,1.68,238.91,0.0,0.0,0.0,0.0,0.0,0.0,2,1108.74,888.99
2011-01-24,973.05,961.35,975.31,960.03,-11.01,-1.13,167.54,0.0,0.0,0.0,0.0,0.0,0.0,2,1102.73,884.17
2011-01-25,961.83,966.55,969.91,959.68,5.2,0.54,153.62,0.0,0.0,0.0,0.0,0.0,0.0,1,1096.34,879.05
2011-01-26,970.17,974.68,976.66,968.59,8.13,0.84,145.86,0.0,0.0,0.0,17.38,12.14,27.87,2,1089.68,873.7
2011-01-27,964.55,994.44,998.66,963.89,19.76,2.03,296.5,0.0,0.0,0.0,34.9,19.73,65.26,2,1085.64,870.47
2011-01-28,990.63,990.85,996.71,982.75,-3.59,-0.36,205.16,0.0,0.0,0.0,50.68,30.04,91.94,2,1083.24,868.54
2011-01-31,988.83,996.26,999.27,987.63,5.41,0.55,177.87,1058.11,1001.07,944.04,64.86,41.65,111.29,2,1085.71,870.52
2011-02-01,997.14,995.54,998.6,989.02,-0.72,-0.07,172.94,1051.03,998.4,945.77,73.79,52.36,116.63,2,1087.8,872.2
2011-02-09,988.27,978.79,1001.32,978.15,-16.75,-1.68,191.14,1046.61,995.73,944.84,66.4,57.04,85.13,2,1086.37,871.06
2011-02-10,977.56,1000.38,1000.38,973.95,21.59,2.21,200.69,1043.33,994.41,945.48,76.85,63.65,103.26,2,1091.26,874.98
2011-02-11,996.4,1001.73,1004.99,995.42,1.35,0.13,243.84,1036.75,992.46,948.17,82.17,69.82,106.87,2,1094.52,877.59
2011-02-14,1002.02,1081.86,1084.75,1002.02,80.13,8.0,902.53,1054.17,995.78,937.39,87.32,75.65,110.64,2,1107.9,888.32
2011-02-15,1084.07,1075.55,1103.32,1075.0,-6.31,-0.58,886.05,1065.4,998.35,931.3,84.9,78.74,97.24,2,1120.0,898.02
2011-02-16,1070.41,1081.67,1081.67,1062.9,6.12,0.57,447.91,1075.51,1000.7,925.88,84.36,80.61,91.85,2,1131.87,907.54
2011-02-17,1085.08,1069.93,1085.08,1063.63,-11.74,-1.09,356.02,1082.41,1002.66,922.91,80.97,80.73,81.45,2,1140.25,914.26
2011-02-18,1064.84,1061.54,1080.51,1055.7,-8.39,-0.78,380.91,1088.83,1005.11,921.38,76.55,79.34,70.97,2,1148.1,920.55
2011-02-21,1055.23,1079.6,1082.44,1055.04,18.06,1.7,410.93,1098.79,1010.39,921.99,78.25,78.97,76.81,2,1157.35,927.97
2011-02-22,1081.23,1034.95,1081.23,1034.95,-44.65,-4.14,476.23,1100.9,1013.3,925.69,67.89,75.28,53.1,2,1161.73,931.47
2011-02-23,1038.11,1035.42,1040.74,1028.01,0.47,0.05,266.35,1103.01,1015.49,927.97,57.61,69.39,34.06,2,1168.01,936.51
2011-02-24,1031.05,1058.34,1071.63,1029.96,22.92,2.21,459.9,1105.58,1020.59,935.6,56.94,65.24,40.34,2,1174.45,941.67
2011-02-25,1051.46,1060.01,1073.87,1041.68,1.67,0.16,455.41,1108.59,1024.97,941.36,52.13,60.87,34.64,2,1180.91,946.86
2011-02-28,1060.79,1075.98,1079.9,1047.46,15.97,1.51,557.78,1111.76,1030.7,949.64,62.77,61.5,65.3,2,1180.26,946.34
2011-03-01,1073.86,1080.23,1090.3,1073.36,4.25,0.39,598.95,1114.55,1036.39,958.23,69.79,64.26,80.84,2,1180.78,946.75
2011-03-02,1067.06,1068.33,1075.77,1057.29,-11.9,-1.1,363.88,1114.99,1041.07,967.15,68.1,65.54,73.22,2,1179.3,945.57
2011-03-03,1073.61,1062.55,1088.98,1062.55,-5.78,-0.54,515.63,1115.71,1044.48,973.24,63.89,64.99,61.67,2,1178.48,944.91
2011-03-04,1063.55,1079.83,1080.21,1058.87,17.28,1.63,405.87,1117.26,1048.92,980.58,70.32,66.77,77.43,2,1180.51,946.54
2011-03-07,1087.02,1103.43,1107.11,1085.91,23.6,2.19,762.78,1122.07,1054.28,986.5,78.66,70.73,94.52,2,1183.16,948.66
2011-03-08,1103.29,1100.26,1110.86,1092.21,-3.17,-0.29,436.63,1124.47,1059.52,994.57,81.41,74.29,95.64,2,1190.41,954.47
2011-03-09,1114.41,1108.54,1123.28,1103.74,8.28,0.75,470.14,1122.81,1066.01,1009.2,81.58,76.72,91.31,2,1198.52,960.98
2011-03-10,1099.9,1076.39,1099.9,1076.07,-32.15,-2.9,473.59,1118.07,1069.81,1021.54,67.11,73.52,54.29,2,1200.53,962.58
2011-03-11,1073.01,1063.4,1080.69,1061.24,-12.99,-1.21,359.68,1109.94,1072.89,1035.84,47.83,64.95,13.57,2,1200.9,962.89
2011-03-14,1059.92,1062.63,1062.88,1051.03,-0.77,-0.07,274.69,1108.99,1071.93,1034.86,37.24,55.71,0.28,2,1199.42,961.7
2011-03-15,1055.47,1033.8,1055.99,1022.18,-28.83,-2.71,480.33,1110.39,1069.84,1029.29,28.65,46.69,-7.42,2,1194.27,957.57
2011-03-16,1039.74,1049.31,1052.26,1036.53,15.51,1.5,315.71,1109.34,1068.22,1027.11,28.05,40.48,3.19,2,1192.16,955.87
2011-03-17,1033.29,1024.74,1041.23,1021.8,-24.57,-2.34,318.4,1111.21,1065.96,1020.71,19.66,33.54,-8.09,2,1187.96,952.51
2011-03-18,1038.89,1036.1,1043.84,1033.97,11.36,1.11,270.65,1111.76,1064.69,1017.62,17.81,28.3,-3.17,2,1183.1,948.62
2011-03-21,1040.35,1030.66,1041.51,1027.74,-5.44,-0.53,253.43,1111.02,1062.24,1013.47,14.78,23.79,-3.24,2,1175.03,942.14
2011-03-22,1037.65,1038.42,1041.71,1023.76,7.76,0.75,232.59,1110.82,1062.42,1014.01,16.95,21.51,7.82,1,1168.16,936.64
2011-03-23,1035.7,1047.44,1050.86,1033.54,9.02,0.87,200.74,1110.36,1063.02,1015.68,25.81,22.94,31.55,2,1161.38,931.2
2011-03-24,1045.54,1040.48,1046.67,1040.2,-6.96,-0.66,140.23,1110.45,1062.13,1013.81,32.37,26.08,44.93,2,1157.39,928.0
2011-03-25,1041.39,1051.41,1055.03,1040.15,10.93,1.05,243.17,1110.24,1061.7,1013.16,50.44,34.2,82.93,2,1156.06,926.93
2011-03-28,1056.94,1052.15,1066.16,1051.8,0.74,0.07,296.67,1108.75,1060.5,1012.26,56.44,41.61,86.08,2,1154.9,926.0
2011-03-29,1056.45,1047.42,1067.18,1047.33,-4.73,-0.45,462.72,1106.55,1058.86,1011.18,56.44,46.56,76.21,2,1156.41,927.21
2011-03-30,1047.62,1032.11,1050.43,1030.27,-15.31,-1.46,303.82,1105.9,1057.05,1008.21,44.04,45.72,40.68,2,1154.5,925.68
2011-03-31,1034.73,1030.5,1041.98,1026.17,-1.61,-0.16,213.4,1105.55,1055.45,1005.35,34.53,41.99,19.62,2,1155.14,926.2
2011-04-01,1035.1,1049.51,1049.51,1030.41,19.01,1.84,249.81,1102.82,1053.94,1005.05,42.79,42.26,43.86,2,1156.63,927.39
2011-04-06,1048.11,1080.36,1088.67,1048.11,30.85,2.94,648.06,1097.88,1052.78,1007.68,57.43,47.31,77.66,2,1162.15,931.81
2011-04-07,1077.57,1075.0,1080.34,1070.95,-5.36,-0.5,330.18,1092.45,1051.52,1010.59,64.33,52.99,87.01,2,1166.21,935.07
2011-04-08,1073.02,1082.36,1087.29,1072.22,7.36,0.68,296.28,1084.97,1050.21,1015.45,72.85,59.61,99.34,2,1170.08,938.18
2011-04-11,1089.71,1068.86,1089.71,1068.67,-13.5,-1.25,349.18,1083.6,1049.83,1016.06,70.96,63.39,86.11,2,1173.23,940.7
2011-04-12,1066.73,1066.82,1074.75,1058.18,-2.04,-0.19,297.57,1084.08,1050.0,1015.93,68.63,65.14,75.62,2,1174.94,942.07
2011-04-13,1062.98,1092.22,1092.23,1062.53,25.4,2.38,342.74,1089.91,1051.48,1013.05,79.08,69.79,97.68,2,1179.39,945.64
2011-04-14,1092.46,1084.67,1100.24,1082.98,-7.55,-0.69,454.01,1094.14,1054.03,1013.92,79.05,72.88,91.4,2,1183.53,948.95
2011-04-15,1079.94,1094.99,1101.94,1079.94,10.32,0.95,381.43,1100.12,1056.31,1012.5,82.79,76.18,96.02,2,1190.51,954.55
2011-04-18,1089.0,1091.69,1101.99,1082.38,-3.3,-0.3,394.01,1103.54,1059.66,1015.78,82.16,78.17,90.12,2,1197.3,960.0
2011-04-19,1079.48,1060.01,1081.07,1060.01,-31.68,-2.9,368.68,1103.38,1060.85,1018.33,56.16,70.84,26.82,2,1198.46,960.93
2011-04-20,1067.08,1056.44,1067.08,1051.91,-3.57,-0.34,252.91,1102.43,1062.14,1021.85,40.46,60.71,-0.05,2,1195.81,958.8
2011-04-21,1064.06,1068.69,1082.44,1058.53,12.25,1.16,286.9,1102.52,1063.66,1024.79,38.14,53.19,8.05,2,1195.11,958.24
2011-04-22,1064.44,1057.52,1067.23,1055.68,-11.17,-1.05,209.21,1102.42,1064.16,1025.9,29.16,45.18,-2.87,2,1192.35,956.03
2011-04-25,1052.83,1039.4,1054.07,1039.39,-18.12,-1.71,230.01,1102.51,1064.11,1025.71,19.45,36.6,-14.86,2,1189.08,953.41
2011-04-26,1036.16,1022.2,1041.2,1020.99,-17.2,-1.65,333.18,1104.9,1062.65,1020.4,13.46,28.89,-17.39,2,1184.13,949.44
2011-04-27,1029.96,1019.96,1030.47,1013.64,-2.24,-0.22,216.89,1107.05,1061.04,1015.02,11.36,23.05,-12.01,2,1176.11,943.01
2011-04-28,1028.15,1011.07,1035.56,1010.12,-8.89,-0.87,300.71,1109.88,1059.22,1008.56,7.92,18.0,-12.25,2,1167.94,936.46
2011-04-29,1011.71,1013.3,1013.95,1004.08,2.23,0.22,191.3,1111.55,1058.28,1005.01,9.2,15.07,-2.54,1,1158.87,929.18
2011-05-03,1010.71,1015.78,1016.12,1002.72,2.48,0.24,211.8,1112.7,1057.54,1002.39,11.59,13.91,6.96,1,1150.45,922.43
2011-05-04,1007.77,982.72,1008.46,981.39,-33.06,-3.25,311.69,1118.27,1054.2,990.14,8.17,12.0,0.51,1,1141.87,915.55
2011-05-05,981.36,980.44,985.61,978.33,-2.28,-0.23,180.99,1119.6,1049.21,978.81,6.24,10.08,-1.44,1,1133.43,908.79
