time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,5371.89,5451.4,5452.13,5329.07,133.46,2.51,250.94,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,5417.11,5512.69,5546.33,5387.76,61.29,1.12,291.67,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,5534.75,5515.72,5606.45,5506.4,3.03,0.05,240.49,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,5514.93,5457.54,5523.03,5426.12,-58.18,-1.05,223.31,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,5449.83,5334.89,5488.72,5313.6,-122.65,-2.25,232.68,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,5300.74,5242.88,5301.28,5191.87,-92.01,-1.72,188.68,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,5263.97,5266.46,5316.02,5179.7,23.58,0.45,154.62,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,5272.12,5238.21,5288.1,5210.19,-28.25,-0.54,141.12,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,5215.52,5094.92,5215.52,5090.93,-143.29,-2.74,179.93,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,5050.69,4796.83,5059.13,4780.63,-298.09,-5.85,236.63,0.0,0.0,0.0,0.0,0.0,0.0,2,5873.18,4709.13
2011-01-18,4775.99,4821.46,4824.05,4738.98,24.63,0.51,121.92,0.0,0.0,0.0,0.0,0.0,0.0,2,5803.26,4653.06
2011-01-19,4828.26,5008.96,5009.0,4802.49,187.5,3.89,196.5,0.0,0.0,0.0,0.0,0.0,0.0,2,5747.34,4608.23
2011-01-20,5001.62,4816.74,5001.62,4814.64,-192.22,-3.84,169.77,0.0,0.0,0.0,0.0,0.0,0.0,2,5669.76,4546.02
2011-01-21,4784.78,4928.01,4991.12,4784.33,111.27,2.31,227.95,0.0,0.0,0.0,0.0,0.0,0.0,2,5610.98,4498.89
2011-01-24,4935.53,4869.77,4987.2,4867.92,-58.24,-1.18,193.82,0.0,0.0,0.0,0.0,0.0,0.0,2,5559.35,4457.5
2011-01-25,4865.02,4729.17,4866.33,4679.45,-140.6,-2.89,171.93,0.0,0.0,0.0,0.0,0.0,0.0,2,5502.33,4411.78
2011-01-26,4718.46,4863.46,4881.86,4718.46,134.29,2.84,169.79,0.0,0.0,0.0,22.1,17.59,31.14,2,5457.6,4375.91
2011-01-27,4828.6,5008.67,5049.54,4798.47,145.21,2.99,289.47,0.0,0.0,0.0,43.64,26.27,78.37,2,5432.12,4355.48
2011-01-28,4998.22,5131.96,5196.36,4995.34,123.29,2.46,299.61,0.0,0.0,0.0,58.27,36.94,100.94,2,5436.23,4358.78
2011-01-31,5112.84,5290.25,5298.49,5096.39,158.29,3.08,277.75,5626.8,5119.0,4611.2,71.74,48.54,118.14,2,5491.0,4402.69
2011-02-01,5310.63,5235.01,5310.63,5214.44,-55.24,-1.04,188.96,5596.02,5108.18,4620.34,77.17,58.08,115.33,2,5536.9,4439.5
2011-02-09,5187.04,5303.89,5320.83,5163.96,68.88,1.32,223.39,5558.7,5097.74,4636.78,83.9,66.69,118.32,2,5569.64,4465.75
2011-02-10,5274.88,5357.27,5357.56,5238.22,53.38,1.01,232.32,5526.58,5089.82,4653.06,89.25,74.21,119.34,2,5629.64,4513.85
2011-02-11,5353.43,5385.04,5463.95,5328.78,27.77,0.52,249.1,5511.75,5086.19,4660.64,89.48,79.3,109.84,2,5680.37,4554.53
2011-02-14,5374.92,5465.14,5478.57,5362.74,80.1,1.49,302.22,5536.86,5092.7,4648.55,92.4,83.67,109.86,0,5746.45,4607.52
2011-02-15,5467.96,5493.15,5588.16,5463.84,28.01,0.51,351.53,5578.73,5105.22,4631.71,90.92,86.08,100.6,0,5831.26,4675.51
2011-02-16,5469.33,5568.86,5569.07,5448.87,75.71,1.38,272.02,5631.31,5120.34,4609.37,92.86,88.34,101.9,0,5909.56,4738.29
2011-02-17,5576.82,5742.13,5747.6,5544.43,173.27,3.11,447.9,5722.68,5145.53,4568.39,94.96,90.55,103.79,0,5990.97,4803.57
2011-02-18,5710.48,5627.92,5710.48,5609.87,-114.21,-1.99,296.53,5785.6,5172.18,4558.77,89.81,90.3,88.81,0,6046.02,4847.71
2011-02-21,5577.4,5718.56,5728.74,5560.47,90.64,1.61,285.02,5850.18,5218.27,4586.36,91.55,90.72,93.2,0,6093.56,4885.83
2011-02-22,5723.53,5500.02,5727.33,5492.99,-218.54,-3.82,361.66,5867.9,5252.2,4636.49,78.16,86.53,61.42,2,6122.98,4909.42
2011-02-23,5478.74,5542.59,5556.77,5451.06,42.57,0.77,239.32,5896.36,5278.88,4661.4,69.12,80.73,45.92,2,6149.48,4930.66
2011-02-24,5529.88,5631.41,5637.36,5509.02,88.82,1.6,253.46,5916.93,5319.61,4722.3,69.35,76.94,54.19,2,6179.91,4955.06
2011-02-25,5630.26,5664.58,5690.9,5592.61,33.17,0.59,254.8,5943.37,5356.44,4769.51,70.31,74.73,61.46,2,6210.93,4979.94
2011-02-28,5667.12,5793.53,5795.94,5639.11,128.95,2.28,286.15,5974.29,5402.63,4830.97,79.97,76.48,86.97,2,6247.39,5009.16
2011-03-01,5795.37,5765.07,5832.68,5717.66,-28.46,-0.49,303.76,5956.05,5454.43,4952.8,80.74,77.9,86.43,2,6277.57,5033.37
2011-03-02,5738.56,5720.44,5748.57,5616.3,-44.63,-0.77,250.11,5931.54,5497.27,5063.01,77.36,77.72,76.64,2,6294.39,5046.86
2011-03-03,5717.63,5582.04,5751.47,5562.04,-138.4,-2.42,254.65,5898.75,5525.94,5153.13,63.01,72.82,43.41,2,6276.62,5032.61
2011-03-04,5580.16,5696.98,5715.52,5559.21,114.94,2.06,232.57,5886.76,5554.19,5221.63,63.49,69.71,51.05,2,6284.29,5038.75
2011-03-07,5725.95,5800.43,5809.63,5725.95,103.45,1.82,339.53,5905.57,5579.7,5253.83,72.84,70.75,77.02,2,6293.38,5046.04
2011-03-08,5815.1,5834.59,5844.88,5778.9,34.16,0.59,339.01,5912.71,5609.68,5306.65,80.87,74.13,94.37,2,6330.51,5075.82
2011-03-09,5849.82,5872.98,5886.55,5833.11,38.39,0.66,348.11,5927.53,5638.14,5348.74,85.87,78.04,101.52,2,6367.19,5105.22
2011-03-10,5854.16,5802.59,5854.16,5783.19,-70.39,-1.2,340.13,5927.61,5660.4,5393.19,82.03,79.37,87.35,2,6386.19,5120.46
2011-03-11,5762.21,5729.68,5811.73,5721.98,-72.91,-1.26,339.77,5914.29,5677.63,5440.98,72.04,76.93,62.28,2,6393.41,5126.25
2011-03-14,5689.85,5751.47,5753.05,5689.22,21.79,0.38,299.24,5909.31,5691.95,5474.59,67.61,73.82,55.18,2,6388.75,5122.51
2011-03-15,5734.58,5676.19,5734.58,5525.89,-75.28,-1.31,357.99,5898.73,5701.1,5503.47,58.96,68.87,39.15,2,6378.88,5114.6
2011-03-16,5669.14,5724.89,5725.17,5654.64,48.7,0.86,307.49,5897.13,5708.9,5520.68,57.7,65.15,42.81,2,6379.37,5114.99
2011-03-17,5670.87,5562.8,5681.77,5530.42,-162.09,-2.83,275.93,5897.82,5699.94,5502.06,41.88,57.39,10.86,2,6377.24,5113.28
2011-03-18,5587.56,5604.09,5620.44,5573.46,41.29,0.74,208.9,5898.62,5698.75,5498.87,35.15,49.98,5.49,2,6366.93,5105.01
