time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,4477.0,0.0,0.0,4477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,4476.09,0.0,0.0,4476.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,4511.64,0.0,0.0,4511.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,4510.98,0.0,0.0,4510.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,4410.65,0.0,0.0,4410.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,4523.72,0.0,0.0,4523.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,4570.4,0.0,0.0,4570.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,4521.8,0.0,0.0,4521.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,4494.89,0.0,0.0,4494.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,4210.99,0.0,0.0,4210.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4962.61,3979.03
2011-01-18,0.0,4175.63,0.0,0.0,4175.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4929.15,3952.2
2011-01-19,0.0,4272.04,0.0,0.0,4272.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4906.5,3934.04
2011-01-20,0.0,4112.12,0.0,0.0,4112.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4862.16,3898.49
2011-01-21,0.0,4187.26,0.0,0.0,4187.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4826.22,3869.68
2011-01-24,0.0,4169.31,0.0,0.0,4169.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4799.44,3848.2
2011-01-25,0.0,4149.07,0.0,0.0,4149.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4757.85,3814.85
2011-01-26,0.0,4201.65,0.0,0.0,4201.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4716.92,3782.03
2011-01-27,0.0,4131.07,0.0,0.0,4131.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4673.55,3747.26
2011-01-28,0.0,4140.29,0.0,0.0,4140.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4634.19,3715.7
2011-01-31,0.0,4152.56,0.0,0.0,4152.56,0.0,0.0,4655.74,4319.96,3984.17,0.0,0.0,0.0,2,4627.7,3710.5
2011-02-01,0.0,4169.32,0.0,0.0,4169.32,0.0,0.0,4638.36,4304.57,3970.79,0.0,0.0,0.0,2,4627.0,3709.94
2011-02-09,0.0,4070.71,0.0,0.0,4070.71,0.0,0.0,4623.16,4284.3,3945.45,0.0,0.0,0.0,2,4604.65,3692.02
2011-02-10,0.0,4156.04,0.0,0.0,4156.04,0.0,0.0,4592.89,4266.52,3940.16,0.0,0.0,0.0,2,4609.53,3695.93
2011-02-11,0.0,4264.33,0.0,0.0,4264.33,0.0,0.0,4560.71,4254.19,3947.67,0.0,0.0,0.0,2,4618.08,3702.79
2011-02-14,0.0,4374.01,0.0,0.0,4374.01,0.0,0.0,4555.54,4252.36,3949.19,0.0,0.0,0.0,2,4640.8,3721.01
2011-02-15,0.0,4359.07,0.0,0.0,4359.07,0.0,0.0,4525.54,4244.13,3962.71,0.0,0.0,0.0,2,4664.11,3739.7
2011-02-16,0.0,4366.88,0.0,0.0,4366.88,0.0,0.0,4479.93,4233.95,3987.98,0.0,0.0,0.0,2,4682.46,3754.4
2011-02-17,0.0,4343.14,0.0,0.0,4343.14,0.0,0.0,4439.49,4225.02,4010.55,0.0,0.0,0.0,2,4705.99,3773.28
2011-02-18,0.0,4313.01,0.0,0.0,4313.01,0.0,0.0,4396.61,4215.92,4035.24,0.0,0.0,0.0,2,4725.17,3788.65
2011-02-21,0.0,4365.06,0.0,0.0,4365.06,0.0,0.0,4415.6,4223.63,4031.65,0.0,0.0,0.0,2,4748.75,3807.56
2011-02-22,0.0,4235.68,0.0,0.0,4235.68,0.0,0.0,4417.38,4226.63,4035.88,0.0,0.0,0.0,2,4756.12,3813.47
2011-02-23,0.0,4288.04,0.0,0.0,4288.04,0.0,0.0,4419.07,4227.43,4035.79,0.0,0.0,0.0,2,4780.24,3832.81
