time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,1999.04,2011.4,2012.17,1978.68,25.2,1.27,1285.31,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,2001.78,2013.63,2019.43,1994.85,2.23,0.11,1301.9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,2013.39,2006.46,2022.27,2002.17,-7.17,-0.36,871.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,2003.26,2011.89,2027.62,1993.96,5.43,0.27,1103.41,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,2010.53,1990.92,2018.8,1990.1,-20.97,-1.04,966.58,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,1985.84,2009.02,2011.68,1980.54,18.1,0.91,987.47,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,2013.27,2017.42,2022.24,1994.09,8.4,0.42,943.43,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,2023.19,2025.92,2036.89,2015.74,8.5,0.42,1064.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,2019.7,2007.7,2019.71,1998.87,-18.22,-0.9,951.69,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,1997.53,1954.89,2007.42,1953.95,-52.81,-2.63,1258.11,0.0,0.0,0.0,0.0,0.0,0.0,2,2225.47,1784.38
2011-01-18,1948.71,1947.77,1955.43,1937.57,-7.12,-0.36,769.63,0.0,0.0,0.0,0.0,0.0,0.0,2,2218.4,1778.72
2011-01-19,1948.61,1994.1,1994.67,1944.92,46.33,2.38,1119.2,0.0,0.0,0.0,0.0,0.0,0.0,2,2216.24,1776.98
2011-01-20,1989.6,1946.84,1996.0,1946.29,-47.26,-2.37,1105.91,0.0,0.0,0.0,0.0,0.0,0.0,2,2209.62,1771.68
2011-01-21,1944.55,1997.47,2012.72,1944.55,50.63,2.6,1705.18,0.0,0.0,0.0,0.0,0.0,0.0,2,2208.02,1770.39
2011-01-24,2000.61,2011.18,2044.37,2000.61,13.71,0.69,1951.08,0.0,0.0,0.0,0.0,0.0,0.0,2,2210.27,1772.2
2011-01-25,2006.14,1991.02,2014.84,1979.33,-20.16,-1.0,1066.06,0.0,0.0,0.0,0.0,0.0,0.0,2,2208.27,1770.59
2011-01-26,1990.22,2019.88,2022.76,1990.22,28.86,1.45,977.87,0.0,0.0,0.0,58.02,43.36,87.32,2,2208.54,1770.81
2011-01-27,2006.31,2054.22,2063.89,1996.5,34.34,1.7,1903.27,0.0,0.0,0.0,69.46,52.06,104.25,2,2211.68,1773.33
2011-01-28,2047.32,2057.89,2063.2,2044.53,3.67,0.18,1435.65,0.0,0.0,0.0,78.06,60.73,112.71,2,2217.25,1777.8
2011-01-31,2057.09,2096.64,2097.74,2057.09,38.75,1.88,1583.98,2077.85,2008.31,1938.78,85.13,68.86,117.67,2,2232.99,1790.41
2011-02-01,2097.9,2085.17,2098.21,2078.4,-11.47,-0.55,1018.93,2089.2,2012.0,1934.8,87.26,74.99,111.79,2,2248.24,1802.64
2011-02-09,2070.7,2070.63,2091.81,2062.81,-14.54,-0.7,1183.86,2096.18,2014.85,1933.52,85.52,78.5,99.56,2,2256.73,1809.45
2011-02-10,2063.18,2081.12,2081.67,2052.37,10.49,0.51,1164.22,2104.74,2018.58,1932.43,85.56,80.85,94.96,2,2271.64,1821.4
2011-02-11,2077.43,2085.15,2093.64,2070.63,4.03,0.19,1437.87,2113.06,2022.25,1931.44,86.71,82.81,94.52,2,2281.37,1829.21
2011-02-14,2086.01,2130.09,2137.12,2086.01,44.94,2.16,2309.03,2130.12,2029.21,1928.3,89.54,85.05,98.53,2,2294.57,1839.79
2011-02-15,2130.84,2133.32,2157.81,2125.1,3.23,0.15,2258.5,2145.49,2035.42,1925.35,87.97,86.02,91.86,2,2310.37,1852.46
2011-02-16,2128.62,2149.11,2149.28,2122.06,15.79,0.74,1723.5,2162.26,2042.01,1921.75,89.42,87.16,93.95,2,2324.71,1863.96
2011-02-17,2151.12,2144.22,2157.62,2132.89,-4.89,-0.23,1574.57,2175.82,2047.92,1920.02,88.65,87.65,90.64,2,2334.7,1871.97
2011-02-18,2141.8,2119.71,2141.8,2112.95,-24.51,-1.14,1340.57,2183.68,2053.52,1923.36,80.39,85.23,70.7,2,2341.56,1877.47
2011-02-21,2113.12,2148.0,2148.22,2111.62,28.29,1.33,1535.02,2191.27,2063.18,1935.08,83.82,84.76,81.95,2,2347.26,1882.04
2011-02-22,2153.42,2084.13,2154.23,2082.1,-63.87,-2.97,1979.17,2186.81,2069.99,1953.18,65.92,78.48,40.8,2,2347.15,1881.95
2011-02-23,2077.21,2085.16,2089.73,2067.88,1.03,0.05,1393.76,2186.16,2074.55,1962.94,50.35,69.11,12.85,2,2348.76,1883.24
2011-02-24,2081.47,2092.1,2094.47,2075.31,6.94,0.33,1088.51,2176.92,2081.81,1986.7,42.55,60.25,7.13,2,2349.98,1884.22
2011-02-25,2090.44,2089.4,2095.76,2068.46,-2.7,-0.13,1004.33,2173.3,2086.41,1999.51,36.34,52.28,4.46,2,2350.45,1884.6
2011-02-28,2088.73,2107.21,2107.21,2074.96,17.81,0.85,1354.49,2171.29,2091.21,2011.13,38.84,47.8,20.91,2,2347.91,1882.56
2011-03-01,2107.28,2111.55,2117.6,2099.82,4.34,0.21,1492.38,2163.13,2097.24,2031.34,42.11,45.9,34.53,2,2345.5,1880.62
2011-03-02,2099.67,2094.68,2106.17,2080.0,-16.87,-0.8,1538.24,2156.57,2100.98,2045.38,38.42,43.41,28.44,2,2339.45,1875.78
2011-03-03,2095.61,2087.66,2104.01,2085.16,-7.02,-0.34,1528.28,2154.4,2102.65,2050.89,33.25,40.02,19.7,2,2333.18,1870.74
2011-03-04,2087.74,2113.09,2114.51,2086.43,25.43,1.22,1381.78,2153.04,2105.41,2057.77,39.62,39.89,39.08,2,2332.44,1870.16
2011-03-07,2119.33,2142.57,2144.2,2119.33,29.48,1.4,1905.96,2157.79,2107.7,2057.61,59.03,46.27,84.56,2,2331.84,1869.67
2011-03-08,2141.83,2143.06,2144.82,2129.49,0.49,0.02,1332.1,2161.82,2110.6,2059.37,71.92,54.82,106.12,2,2338.38,1874.92
2011-03-09,2145.45,2145.27,2154.4,2138.35,2.21,0.1,1422.94,2164.22,2114.33,2064.44,77.74,62.46,108.3,2,2345.05,1880.27
2011-03-10,2141.49,2111.41,2141.49,2109.29,-33.86,-1.58,1322.04,2163.39,2115.84,2068.29,67.12,64.01,73.34,2,2347.19,1881.99
2011-03-11,2101.11,2094.15,2116.03,2090.58,-17.26,-0.82,1161.38,2162.83,2116.29,2069.76,51.09,59.7,33.85,2,2347.72,1882.41
2011-03-14,2087.38,2093.64,2101.32,2083.8,-0.51,-0.02,1058.67,2161.56,2114.47,2067.39,40.17,53.19,14.12,2,2346.22,1881.2
2011-03-15,2087.73,2055.89,2087.73,2026.72,-37.75,-1.8,1573.69,2163.26,2110.6,2057.95,34.39,46.93,9.33,2,2340.04,1876.25
2011-03-16,2056.1,2076.34,2078.28,2056.1,20.45,0.99,1101.77,2158.52,2106.96,2055.41,35.88,43.25,21.16,2,2338.0,1874.61
