time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,3556.94,3590.46,3593.44,3541.88,63.05,1.79,4159.47,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,3574.09,3596.35,3609.87,3558.6,5.89,0.16,4128.57,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,3597.6,3575.73,3619.54,3567.83,-20.62,-0.57,3026.74,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,3571.48,3573.97,3623.41,3550.52,-1.76,-0.05,3953.34,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,3567.93,3485.33,3587.45,3478.36,-88.64,-2.48,3206.27,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,3471.94,3488.95,3496.04,3444.4,3.62,0.1,2824.03,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,3498.87,3510.73,3521.72,3455.47,21.78,0.62,2802.26,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,3523.23,3512.37,3528.33,3496.26,1.64,0.05,2357.66,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,3501.69,3448.53,3501.69,3440.65,-63.84,-1.82,2503.11,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,3420.09,3299.8,3425.19,3292.28,-148.73,-4.31,2994.82,0.0,0.0,0.0,0.0,0.0,0.0,2,3894.13,3122.32
2011-01-18,3289.73,3311.78,3318.99,3270.31,11.98,0.36,2011.6,0.0,0.0,0.0,0.0,0.0,0.0,2,3863.19,3097.52
2011-01-19,3311.81,3394.86,3394.86,3299.91,83.08,2.51,2604.94,0.0,0.0,0.0,0.0,0.0,0.0,2,3840.83,3079.58
2011-01-20,3384.82,3275.49,3384.82,3275.28,-119.37,-3.52,2602.65,0.0,0.0,0.0,0.0,0.0,0.0,2,3807.5,3052.86
2011-01-21,3264.77,3310.08,3358.3,3257.86,34.59,1.06,3134.79,0.0,0.0,0.0,0.0,0.0,0.0,2,3778.21,3029.37
2011-01-24,3310.18,3250.2,3323.91,3243.56,-59.88,-1.81,2760.84,0.0,0.0,0.0,0.0,0.0,0.0,2,3752.11,3008.45
2011-01-25,3242.04,3221.05,3245.8,3196.09,-29.15,-0.9,2090.46,0.0,0.0,0.0,0.0,0.0,0.0,2,3722.37,2984.61
2011-01-26,3219.97,3271.67,3274.86,3219.97,50.62,1.57,1945.96,0.0,0.0,0.0,14.35,11.67,19.71,2,3695.84,2963.33
