time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,7982.83,0.0,0.0,7982.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,7817.9,0.0,0.0,7817.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,7813.16,0.0,0.0,7813.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,7617.46,0.0,0.0,7617.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,7459.29,0.0,0.0,7459.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,7475.87,0.0,0.0,7475.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,7447.57,0.0,0.0,7447.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,7388.26,0.0,0.0,7388.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,7051.51,0.0,0.0,7051.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,6859.1,0.0,0.0,6859.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8315.34,6667.25
2011-01-18,0.0,6887.4,0.0,0.0,6887.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8193.74,6569.76
2011-01-19,0.0,7124.39,0.0,0.0,7124.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8116.77,6508.04
2011-01-20,0.0,6800.31,0.0,0.0,6800.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8004.34,6417.89
2011-01-21,0.0,6780.75,0.0,0.0,6780.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7911.46,6343.43
2011-01-24,0.0,6589.72,0.0,0.0,6589.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7814.94,6266.03
2011-01-25,0.0,6433.33,0.0,0.0,6433.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7699.22,6173.25
2011-01-26,0.0,6506.48,0.0,0.0,6506.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7594.76,6089.49
2011-01-27,0.0,6708.16,0.0,0.0,6708.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7519.27,6028.96
2011-01-28,0.0,6757.5,0.0,0.0,6757.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7486.63,6002.8
2011-01-31,0.0,6923.73,0.0,0.0,6923.73,0.0,0.0,8037.02,7121.24,6205.45,0.0,0.0,0.0,2,7493.81,6008.55
2011-02-01,0.0,7038.66,0.0,0.0,7038.66,0.0,0.0,7900.25,7074.03,6247.81,0.0,0.0,0.0,2,7510.6,6022.01
2011-02-09,0.0,6831.16,0.0,0.0,6831.16,0.0,0.0,7782.34,7024.69,6267.04,0.0,0.0,0.0,2,7478.05,5995.91
2011-02-10,0.0,6988.32,0.0,0.0,6988.32,0.0,0.0,7649.15,6983.45,6317.75,0.0,0.0,0.0,2,7498.92,6012.65
2011-02-11,0.0,6995.24,0.0,0.0,6995.24,0.0,0.0,7551.44,6952.34,6353.24,0.0,0.0,0.0,2,7522.73,6031.73
2011-02-14,0.0,7288.61,0.0,0.0,7288.61,0.0,0.0,7518.12,6943.8,6369.48,0.0,0.0,0.0,2,7600.3,6093.94
2011-02-15,0.0,7464.86,0.0,0.0,7464.86,0.0,0.0,7515.55,6943.25,6370.96,0.0,0.0,0.0,2,7714.8,6185.74
2011-02-16,0.0,7641.05,0.0,0.0,7641.05,0.0,0.0,7564.21,6952.93,6341.64,0.0,0.0,0.0,0,7840.74,6286.72
2011-02-17,0.0,7621.01,0.0,0.0,7621.01,0.0,0.0,7616.09,6964.56,6313.04,0.0,0.0,0.0,0,7942.07,6367.96
2011-02-18,0.0,7536.53,0.0,0.0,7536.53,0.0,0.0,7685.99,6988.82,6291.64,0.0,0.0,0.0,0,8028.54,6437.3
2011-02-21,0.0,7672.75,0.0,0.0,7672.75,0.0,0.0,7784.23,7029.5,6274.77,0.0,0.0,0.0,0,8111.68,6503.96
2011-02-22,0.0,7504.88,0.0,0.0,7504.88,0.0,0.0,7839.45,7060.37,6281.29,0.0,0.0,0.0,2,8163.43,6545.45
2011-02-23,0.0,7631.3,0.0,0.0,7631.3,0.0,0.0,7903.5,7085.72,6267.93,0.0,0.0,0.0,2,8252.25,6616.66
2011-02-24,0.0,7662.75,0.0,0.0,7662.75,0.0,0.0,7972.42,7128.84,6285.26,0.0,0.0,0.0,2,8327.11,6676.69
2011-02-25,0.0,7685.03,0.0,0.0,7685.03,0.0,0.0,8034.92,7174.05,6313.19,0.0,0.0,0.0,2,8403.67,6738.08
2011-02-28,0.0,7733.03,0.0,0.0,7733.03,0.0,0.0,8081.06,7231.22,6381.38,0.0,0.0,0.0,2,8453.0,6777.63
2011-03-01,0.0,7799.55,0.0,0.0,7799.55,0.0,0.0,8100.05,7299.53,6499.01,0.0,0.0,0.0,2,8490.15,6807.42
2011-03-02,0.0,7745.35,0.0,0.0,7745.35,0.0,0.0,8095.95,7361.47,6627.0,0.0,0.0,0.0,2,8501.73,6816.7
2011-03-03,0.0,7598.62,0.0,0.0,7598.62,0.0,0.0,8082.31,7406.0,6729.68,0.0,0.0,0.0,2,8499.25,6814.71
2011-03-04,0.0,7709.31,0.0,0.0,7709.31,0.0,0.0,8072.16,7453.59,6835.01,0.0,0.0,0.0,2,8518.43,6830.09
2011-03-07,0.0,7953.72,0.0,0.0,7953.72,0.0,0.0,8109.99,7505.09,6900.19,0.0,0.0,0.0,2,8549.61,6855.1
2011-03-08,0.0,7988.36,0.0,0.0,7988.36,0.0,0.0,8152.64,7552.57,6952.5,0.0,0.0,0.0,2,8603.28,6898.12
2011-03-09,0.0,7923.95,0.0,0.0,7923.95,0.0,0.0,8128.4,7607.21,7086.02,0.0,0.0,0.0,2,8635.76,6924.17
2011-03-10,0.0,7712.91,0.0,0.0,7712.91,0.0,0.0,8081.64,7643.44,7205.24,0.0,0.0,0.0,2,8641.33,6928.63
2011-03-11,0.0,7678.67,0.0,0.0,7678.67,0.0,0.0,7999.42,7677.61,7355.8,0.0,0.0,0.0,2,8640.63,6928.07
2011-03-14,0.0,7617.44,0.0,0.0,7617.44,0.0,0.0,7964.13,7694.05,7423.98,0.0,0.0,0.0,2,8627.79,6917.78
2011-03-15,0.0,7490.81,0.0,0.0,7490.81,0.0,0.0,7961.23,7695.35,7429.48,0.0,0.0,0.0,2,8593.52,6890.3
2011-03-16,0.0,7777.17,0.0,0.0,7777.17,0.0,0.0,7969.09,7702.16,7435.22,0.0,0.0,0.0,2,8597.06,6893.14
2011-03-17,0.0,7570.65,0.0,0.0,7570.65,0.0,0.0,7970.51,7699.64,7428.77,0.0,0.0,0.0,2,8593.95,6890.65
2011-03-18,0.0,7600.81,0.0,0.0,7600.81,0.0,0.0,7967.36,7702.85,7438.35,0.0,0.0,0.0,2,8581.91,6880.99
2011-03-21,0.0,7596.84,0.0,0.0,7596.84,0.0,0.0,7967.33,7699.06,7430.78,0.0,0.0,0.0,2,8542.29,6849.23
2011-03-22,0.0,7669.55,0.0,0.0,7669.55,0.0,0.0,7960.93,7707.29,7453.65,0.0,0.0,0.0,2,8506.91,6820.85
