time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,2222.78,2229.64,2242.01,2213.49,36.71,1.67,2035.99,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,2214.16,2244.28,2245.11,2206.9,14.64,0.66,1902.81,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,2243.28,2224.32,2253.68,2219.92,-19.96,-0.89,1277.17,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,2221.02,2207.07,2233.05,2193.12,-17.25,-0.78,1510.89,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,2203.01,2176.67,2216.69,2172.23,-30.4,-1.38,1331.2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,2170.34,2190.27,2191.57,2151.59,13.6,0.62,1302.44,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,2199.56,2199.78,2211.11,2171.3,9.51,0.43,1275.04,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,2207.85,2210.0,2221.71,2191.02,10.22,0.46,1452.66,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,2202.19,2166.91,2202.19,2163.21,-43.09,-1.95,1336.52,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,2149.12,2091.74,2157.73,2089.67,-75.17,-3.47,1714.66,0.0,0.0,0.0,0.0,0.0,0.0,2,2435.42,1952.72
2011-01-18,2084.91,2081.04,2088.03,2066.47,-10.7,-0.51,1073.46,0.0,0.0,0.0,0.0,0.0,0.0,2,2418.92,1939.5
2011-01-19,2083.58,2137.32,2137.59,2079.95,56.28,2.7,1376.4,0.0,0.0,0.0,0.0,0.0,0.0,2,2407.05,1929.98
2011-01-20,2131.68,2060.99,2131.68,2060.82,-76.33,-3.57,1567.66,0.0,0.0,0.0,0.0,0.0,0.0,2,2388.92,1915.44
2011-01-21,2054.77,2089.95,2111.5,2054.48,28.96,1.41,1623.2,0.0,0.0,0.0,0.0,0.0,0.0,2,2375.92,1905.02
2011-01-24,2092.13,2064.25,2109.94,2063.65,-25.7,-1.23,1673.55,0.0,0.0,0.0,0.0,0.0,0.0,2,2363.44,1895.01
2011-01-25,2063.25,2051.89,2068.15,2038.63,-12.36,-0.6,1216.47,0.0,0.0,0.0,0.0,0.0,0.0,2,2348.08,1882.69
2011-01-26,2052.3,2083.43,2086.49,2052.3,31.54,1.54,1155.04,0.0,0.0,0.0,16.33,13.81,21.39,2,2335.16,1872.34
2011-01-27,2067.32,2122.85,2133.9,2058.14,39.42,1.89,1989.57,0.0,0.0,0.0,34.46,20.69,62.0,2,2325.49,1864.58
2011-01-28,2118.68,2127.62,2131.9,2110.35,4.77,0.22,1316.67,0.0,0.0,0.0,52.95,31.44,95.96,2,2321.13,1861.09
2011-01-31,2126.19,2158.22,2158.22,2126.19,30.6,1.44,1606.15,2268.33,2145.91,2023.5,68.63,43.84,118.22,2,2328.51,1867.0
2011-02-01,2164.95,2161.39,2174.75,2155.04,3.17,0.15,1180.62,2259.05,2142.5,2025.94,75.82,54.5,118.45,2,2337.43,1874.15
2011-02-09,2141.92,2121.77,2163.33,2113.34,-39.62,-1.83,1453.91,2243.37,2136.37,2029.37,70.9,59.97,92.78,2,2335.7,1872.77
2011-02-10,2116.39,2158.91,2159.34,2104.64,37.14,1.75,1487.41,2232.91,2133.1,2033.3,76.72,65.55,99.07,2,2346.57,1881.48
2011-02-11,2156.09,2157.33,2165.05,2146.02,-1.58,-0.07,1646.73,2225.27,2130.62,2035.96,80.22,70.44,99.77,2,2354.05,1887.48
2011-02-14,2162.98,2227.94,2233.85,2162.98,70.61,3.27,2721.49,2235.18,2133.18,2031.18,85.73,75.54,106.11,2,2372.22,1902.05
2011-02-15,2230.93,2228.99,2260.64,2219.97,1.05,0.05,2669.17,2242.69,2135.12,2027.54,85.27,78.78,98.26,2,2391.88,1917.81
2011-02-16,2222.36,2258.03,2258.03,2217.91,29.04,1.3,2002.48,2255.18,2138.03,2020.88,89.63,82.4,104.08,2,2411.26,1933.35
2011-02-17,2263.96,2255.16,2267.13,2232.75,-2.87,-0.13,1954.43,2264.43,2140.29,2016.14,90.63,85.14,101.6,2,2425.94,1945.13
2011-02-18,2252.34,2220.38,2252.34,2215.47,-34.78,-1.54,1632.01,2271.51,2142.96,2014.41,84.16,84.81,82.86,2,2436.24,1953.38
2011-02-21,2209.79,2254.69,2254.91,2208.33,34.31,1.55,1889.3,2286.13,2151.11,2016.09,86.89,85.51,89.66,2,2446.95,1961.97
2011-02-22,2270.39,2195.24,2273.55,2193.35,-59.45,-2.64,2569.07,2289.13,2156.82,2024.5,75.81,82.27,62.87,2,2450.71,1964.98
2011-02-23,2187.92,2201.57,2208.49,2183.43,6.33,0.29,1569.84,2293.41,2160.03,2026.65,65.06,76.53,42.1,2,2459.56,1972.08
2011-02-24,2201.73,2220.33,2226.82,2197.17,18.76,0.85,1521.18,2295.68,2168.0,2040.32,60.66,71.24,39.5,2,2466.38,1977.55
2011-02-25,2220.0,2215.06,2221.88,2188.75,-5.27,-0.24,1416.44,2298.23,2174.25,2050.27,52.14,64.87,26.67,2,2472.79,1982.69
2011-02-28,2217.85,2238.23,2239.66,2197.67,23.17,1.05,1798.08,2299.0,2182.95,2066.91,55.03,61.59,41.9,2,2473.93,1983.6
2011-03-01,2238.87,2245.1,2257.77,2230.93,6.87,0.31,1972.29,2294.74,2192.61,2090.48,59.5,60.89,56.7,2,2475.72,1985.04
2011-03-02,2233.73,2230.47,2244.53,2208.74,-14.63,-0.65,1701.28,2290.06,2199.96,2109.87,57.06,59.62,51.96,2,2472.66,1982.58
2011-03-03,2235.68,2203.76,2242.72,2203.19,-26.71,-1.2,1970.55,2286.86,2204.01,2121.16,45.56,54.93,26.82,2,2466.96,1978.01
2011-03-04,2204.18,2242.43,2244.02,2199.41,38.67,1.75,1910.88,2286.31,2209.75,2133.19,52.2,54.02,48.55,2,2469.4,1979.97
2011-03-07,2255.09,2325.55,2326.55,2255.09,83.12,3.71,3265.42,2306.05,2218.12,2130.19,67.9,58.65,86.4,2,2477.27,1986.28
2011-03-08,2332.19,2321.94,2332.19,2302.62,-3.61,-0.16,2265.25,2320.94,2226.14,2131.35,76.22,64.5,99.64,2,2491.33,1997.56
2011-03-09,2320.65,2319.15,2325.87,2303.92,-2.79,-0.12,1957.37,2326.28,2236.01,2145.75,81.11,70.04,103.26,2,2504.38,2008.02
2011-03-10,2313.03,2266.8,2313.03,2264.38,-52.35,-2.26,1901.35,2325.27,2241.41,2157.55,71.21,70.43,72.76,2,2509.54,2012.16
2011-03-11,2253.68,2247.77,2280.13,2243.61,-19.03,-0.84,1727.52,2320.39,2245.93,2171.47,59.61,66.82,45.19,2,2513.17,2015.07
2011-03-14,2241.2,2254.99,2258.89,2230.23,7.22,0.32,1655.9,2321.37,2247.28,2173.19,53.69,62.45,36.19,2,2515.03,2016.56
2011-03-15,2243.02,2201.22,2243.02,2167.09,-53.77,-2.38,2147.05,2322.31,2245.89,2169.48,42.69,55.86,16.34,2,2510.16,2012.65
2011-03-16,2200.93,2230.66,2235.91,2200.93,29.44,1.34,1728.01,2321.0,2244.53,2168.05,41.29,51.0,21.87,2,2510.18,2012.67
2011-03-17,2212.84,2218.79,2263.57,2197.85,-11.87,-0.53,2347.59,2319.81,2242.71,2165.6,37.97,46.66,20.58,2,2511.85,2014.01
2011-03-18,2243.38,2227.59,2251.44,2223.09,8.8,0.4,1407.99,2319.82,2243.07,2166.32,37.53,43.61,25.35,2,2510.21,2012.69
2011-03-21,2231.87,2221.23,2245.45,2212.49,-6.36,-0.29,1370.53,2318.51,2241.39,2164.27,36.38,41.2,26.74,2,2498.63,2003.4
2011-03-22,2231.03,2224.0,2233.66,2198.03,2.77,0.12,1352.04,2317.49,2242.83,2168.17,37.25,39.89,31.99,2,2487.75,1994.69
2011-03-23,2226.73,2255.86,2256.11,2222.38,31.86,1.43,1816.76,2317.92,2245.55,2173.17,51.01,43.6,65.85,2,2480.73,1989.05
2011-03-24,2259.15,2248.38,2263.76,2246.88,-7.48,-0.33,1604.17,2318.39,2246.95,2175.5,62.04,49.74,86.63,2,2478.68,1987.41
2011-03-25,2250.74,2272.86,2278.98,2247.54,24.48,1.09,1951.54,2320.56,2249.84,2179.12,72.87,57.45,103.7,2,2481.47,1989.65
2011-03-28,2276.9,2282.52,2305.17,2276.88,9.66,0.43,2353.55,2323.95,2252.05,2180.16,74.88,63.26,98.11,2,2484.53,1992.1
2011-03-29,2279.03,2256.18,2288.72,2253.36,-26.34,-1.15,2266.35,2324.45,2252.61,2180.77,68.04,64.85,74.4,2,2490.63,1996.99
