time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,4275.59,4311.57,4320.22,4249.13,68.8,1.62,2891.88,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,4288.86,4302.87,4320.06,4275.72,-8.7,-0.2,2545.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,4309.5,4286.43,4338.12,4278.72,-16.44,-0.38,1804.46,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,4280.01,4317.19,4376.56,4258.59,30.76,0.72,2937.99,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,4310.82,4248.03,4337.6,4240.77,-69.16,-1.6,2402.06,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,4231.51,4282.82,4292.8,4225.11,34.79,0.82,2071.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,4295.51,4300.98,4317.23,4246.47,18.16,0.42,2095.32,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,4314.94,4296.86,4318.13,4277.71,-4.12,-0.1,1787.67,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,4283.32,4243.06,4283.32,4227.25,-53.8,-1.25,1793.53,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,4208.38,4086.22,4223.93,4073.46,-156.84,-3.7,2393.55,0.0,0.0,0.0,0.0,0.0,0.0,2,4737.04,3798.17
2011-01-18,4077.6,4094.54,4102.04,4058.06,8.32,0.2,1526.58,0.0,0.0,0.0,0.0,0.0,0.0,2,4712.95,3778.85
2011-01-19,4095.87,4172.06,4172.61,4080.91,77.52,1.89,1671.46,0.0,0.0,0.0,0.0,0.0,0.0,2,4698.43,3767.21
2011-01-20,4161.33,4041.85,4161.33,4040.19,-130.21,-3.12,1775.89,0.0,0.0,0.0,0.0,0.0,0.0,2,4671.28,3745.44
2011-01-21,4032.5,4099.85,4165.71,4032.5,58.0,1.43,2086.6,0.0,0.0,0.0,0.0,0.0,0.0,2,4647.16,3726.1
2011-01-24,4102.92,4069.27,4124.76,4057.15,-30.58,-0.75,1974.49,0.0,0.0,0.0,0.0,0.0,0.0,2,4627.31,3710.19
2011-01-25,4064.79,4062.96,4087.3,4038.78,-6.31,-0.16,1678.64,0.0,0.0,0.0,0.0,0.0,0.0,2,4602.91,3690.62
2011-01-26,4065.33,4102.95,4109.57,4065.33,39.99,0.98,1294.49,0.0,0.0,0.0,18.49,15.31,24.86,2,4580.93,3673.0
2011-01-27,4070.17,4158.27,4165.65,4043.74,55.32,1.35,2660.41,0.0,0.0,0.0,34.23,21.61,59.45,2,4565.54,3660.66
2011-01-28,4151.58,4173.78,4185.4,4137.31,15.51,0.37,2096.12,0.0,0.0,0.0,53.62,32.28,96.29,2,4557.85,3654.5
2011-01-31,4171.67,4213.33,4217.41,4162.49,39.55,0.95,1978.91,4383.88,4193.24,4002.61,68.34,44.3,116.42,2,4571.96,3665.81
2011-02-01,4224.4,4214.85,4229.72,4196.51,1.52,0.04,1501.56,4371.55,4188.41,4005.27,76.38,55.0,119.16,2,4585.32,3676.52
2011-02-09,4187.54,4172.46,4235.68,4162.35,-42.39,-1.01,1850.97,4357.39,4181.89,4006.39,73.88,61.29,99.07,2,4585.36,3676.55
2011-02-10,4163.92,4259.06,4261.26,4156.37,86.6,2.08,2033.09,4353.14,4180.52,4007.9,82.26,68.28,110.22,2,4609.47,3695.88
2011-02-11,4254.76,4283.52,4300.75,4245.93,24.46,0.57,2488.32,4346.69,4178.84,4010.99,85.98,74.18,109.58,2,4629.86,3712.23
2011-02-14,4287.41,4422.36,4429.6,4287.41,138.84,3.24,4173.92,4384.46,4187.55,3990.64,90.03,79.46,111.16,0,4669.05,3743.66
2011-02-15,4428.59,4413.36,4470.86,4410.45,-9.0,-0.2,3546.73,4410.84,4194.08,3977.32,88.86,82.6,101.4,0,4707.95,3774.84
2011-02-16,4404.37,4452.41,4452.41,4382.82,39.05,0.88,3264.37,4442.1,4201.65,3961.2,90.73,85.31,101.58,0,4746.74,3805.94
2011-02-17,4460.26,4442.62,4480.72,4408.97,-9.79,-0.22,3014.42,4468.56,4208.94,3949.31,89.91,86.84,96.04,0,4778.3,3831.25
2011-02-18,4436.15,4393.87,4436.15,4382.22,-48.75,-1.1,2425.35,4488.11,4216.48,3944.85,84.35,86.01,81.02,2,4802.73,3850.84
2011-02-21,4368.48,4450.42,4451.02,4366.47,56.55,1.29,2744.11,4517.55,4234.69,3951.83,86.45,86.16,87.04,2,4829.05,3871.94
2011-02-22,4463.57,4324.45,4464.22,4322.34,-125.97,-2.83,3603.33,4523.97,4246.18,3968.4,74.91,82.41,59.91,2,4841.21,3881.69
2011-02-23,4310.79,4334.53,4347.23,4303.99,10.08,0.23,2329.91,4532.45,4254.31,3976.17,62.52,75.78,36.0,2,4859.2,3896.12
2011-02-24,4327.53,4354.67,4358.13,4306.89,20.14,0.46,2298.5,4533.33,4269.95,4006.57,53.28,68.28,23.27,2,4869.82,3904.63
2011-02-25,4356.02,4373.82,4395.55,4317.99,19.15,0.44,2127.39,4538.58,4283.65,4028.71,48.69,61.75,22.57,2,4879.84,3912.66
2011-02-28,4381.46,4447.46,4449.4,4353.6,73.64,1.68,2707.63,4546.97,4302.56,4058.15,59.52,61.0,56.55,2,4882.62,3914.9
2011-03-01,4449.29,4469.76,4495.2,4441.6,22.3,0.5,3172.54,4551.35,4322.9,4094.44,68.58,63.53,78.68,2,4888.89,3919.92
2011-03-02,4447.25,4478.64,4489.3,4418.12,8.88,0.2,3080.0,4556.06,4341.68,4127.31,76.16,67.74,93.01,2,4891.8,3922.25
2011-03-03,4485.65,4477.71,4541.53,4475.46,-0.93,-0.02,3959.36,4562.37,4357.65,4152.94,75.15,70.21,85.04,2,4895.69,3925.37
2011-03-04,4482.64,4537.11,4544.1,4472.09,59.4,1.33,2996.98,4576.49,4375.82,4175.15,82.47,74.3,98.8,2,4911.59,3938.12
2011-03-07,4558.29,4615.51,4623.28,4558.29,78.4,1.73,4211.77,4607.73,4395.93,4184.13,87.5,78.7,105.1,2,4929.92,3952.82
2011-03-08,4611.87,4616.81,4626.54,4583.95,1.3,0.03,2973.06,4631.53,4416.03,4200.52,90.65,82.68,106.59,2,4962.37,3978.84
2011-03-09,4627.33,4618.4,4649.48,4601.86,1.59,0.03,2660.84,4640.27,4438.32,4236.38,90.64,85.34,101.26,2,4993.88,4004.1
2011-03-10,4606.62,4534.87,4606.62,4533.38,-83.53,-1.81,2802.69,4640.42,4452.11,4263.81,80.85,83.84,74.87,2,5013.88,4020.14
2011-03-11,4510.87,4488.33,4546.6,4477.73,-46.54,-1.03,2303.07,4634.45,4462.36,4290.27,64.02,77.23,37.58,2,5026.59,4030.33
2011-03-14,4483.99,4514.89,4515.66,4472.49,26.56,0.59,2247.83,4639.5,4466.98,4294.47,56.62,70.36,29.14,2,5034.08,4036.33
2011-03-15,4495.49,4433.0,4495.49,4363.03,-81.89,-1.81,3085.29,4639.47,4467.96,4296.46,45.89,62.2,13.26,2,5029.99,4033.06
2011-03-16,4432.56,4487.27,4493.34,4423.77,54.27,1.22,2530.14,4641.25,4469.71,4298.16,45.05,56.49,22.18,2,5030.95,4033.83
2011-03-17,4443.0,4419.19,4475.07,4403.08,-68.08,-1.52,2624.62,4641.12,4468.54,4295.95,36.57,49.85,10.01,2,5024.46,4028.62
2011-03-18,4464.28,4441.09,4478.42,4429.21,21.9,0.5,2130.51,4640.6,4470.9,4301.19,33.46,44.39,11.62,2,5013.8,4020.07
2011-03-21,4451.57,4434.9,4474.77,4420.08,-6.19,-0.14,2000.11,4640.33,4470.12,4299.91,30.67,39.81,12.39,2,4993.75,4004.0
2011-03-22,4449.8,4472.45,4481.0,4394.94,37.55,0.85,2010.76,4634.08,4477.52,4320.96,35.42,38.35,29.56,2,4977.73,3991.15
2011-03-23,4469.58,4526.94,4531.85,4465.47,54.49,1.22,2304.4,4630.45,4487.14,4343.83,53.38,43.36,73.41,2,4967.58,3983.01
2011-03-24,4534.76,4513.78,4539.15,4511.78,-13.16,-0.29,1991.69,4625.17,4495.1,4365.03,64.12,50.28,91.79,2,4965.23,3981.13
2011-03-25,4521.39,4572.46,4587.62,4519.75,58.68,1.3,2888.44,4626.6,4505.03,4383.46,73.83,58.13,105.23,2,4974.57,3988.62
2011-03-28,4596.08,4567.73,4625.25,4563.69,-4.73,-0.1,3166.04,4632.52,4511.04,4389.56,74.23,63.49,95.69,2,4980.44,3993.32
2011-03-29,4566.49,4538.55,4606.72,4534.66,-29.18,-0.64,3442.53,4634.98,4514.48,4393.98,70.27,65.75,79.3,2,4992.15,4002.72
2011-03-30,4536.71,4542.72,4571.92,4507.73,4.17,0.09,2591.71,4637.61,4517.69,4397.76,68.23,66.58,71.54,2,4998.31,4007.65
2011-03-31,4543.43,4497.78,4555.67,4475.94,-44.94,-0.99,2035.16,4637.59,4518.69,4399.79,60.37,64.51,52.1,2,5007.03,4014.65
2011-04-01,4496.23,4571.99,4572.33,4496.23,74.21,1.65,2226.71,4641.37,4520.43,4399.49,65.87,64.97,67.69,2,5021.56,4026.3
2011-04-06,4567.7,4632.43,4638.59,4566.71,60.44,1.32,3675.85,4645.07,4521.28,4397.49,76.06,68.67,90.86,2,5043.49,4043.88
2011-04-07,4636.14,4663.82,4675.37,4626.87,31.39,0.68,3179.09,4656.07,4523.63,4391.19,82.11,73.15,100.04,2,5064.73,4060.91
2011-04-08,4656.6,4700.04,4701.84,4643.2,36.22,0.78,2657.35,4675.7,4527.71,4379.72,87.81,78.03,107.36,2,5083.94,4076.32
2011-04-11,4712.56,4672.51,4749.95,4669.31,-27.53,-0.59,3977.73,4695.51,4534.59,4373.67,82.45,79.51,88.34,2,5101.56,4090.44
2011-04-12,4664.11,4660.39,4696.43,4636.39,-12.12,-0.26,3767.81,4711.53,4543.2,4374.86,77.41,78.81,74.61,2,5111.32,4098.27
2011-04-13,4637.86,4725.93,4725.93,4617.59,65.54,1.41,2983.08,4739.24,4553.75,4368.25,82.02,79.88,86.29,2,5128.88,4112.35
2011-04-14,4734.59,4699.63,4739.83,4689.83,-26.3,-0.56,2964.76,4754.26,4567.08,4379.9,81.89,80.55,84.57,2,5146.76,4126.68
2011-04-15,4686.26,4706.8,4733.14,4656.16,7.17,0.15,2771.23,4770.89,4578.06,4385.22,82.26,81.12,84.54,2,5164.98,4141.29
2011-04-18,4688.26,4706.29,4722.01,4674.32,-0.51,-0.01,2964.8,4778.43,4592.41,4406.39,80.23,80.82,79.05,2,5188.12,4159.84
2011-04-19,4671.62,4624.32,4677.51,4619.39,-81.97,-1.74,2920.76,4774.46,4601.57,4428.68,55.18,72.27,20.99,2,5193.93,4164.5
2011-04-20,4624.39,4607.57,4641.27,4589.62,-16.75,-0.36,2515.88,4765.27,4610.21,4455.14,40.52,61.69,-1.82,2,5191.17,4162.29
2011-04-21,4629.42,4635.74,4659.73,4617.33,28.17,0.61,2646.42,4760.19,4618.37,4476.55,36.6,53.33,3.15,2,5188.05,4159.79
2011-04-22,4636.47,4612.38,4650.92,4601.89,-23.36,-0.5,2302.77,4758.2,4622.64,4487.09,29.45,45.37,-2.38,2,5178.32,4151.99
2011-04-25,4598.25,4552.46,4600.3,4543.9,-59.92,-1.3,2574.28,4754.87,4624.58,4494.29,21.09,37.28,-11.28,2,5165.0,4141.3
2011-04-26,4549.1,4535.6,4569.52,4512.35,-16.86,-0.37,2168.86,4756.9,4622.73,4488.56,17.47,30.67,-8.94,2,5151.15,4130.2
2011-04-27,4551.45,4510.27,4575.1,4480.47,-25.33,-0.56,2260.89,4760.9,4619.86,4478.82,15.58,25.64,-4.55,2,5127.21,4111.0
2011-04-28,4534.73,4465.85,4560.46,4463.25,-44.42,-0.98,2284.54,4768.74,4616.23,4463.71,10.72,20.67,-9.18,2,5101.26,4090.2
2011-04-29,4465.33,4490.03,4492.88,4429.57,24.18,0.54,1889.72,4772.77,4613.59,4454.41,15.27,18.87,8.08,1,5077.2,4070.91
2011-05-03,4491.62,4516.42,4519.78,4459.02,26.39,0.59,1782.63,4771.18,4614.52,4457.87,22.76,20.17,27.95,1,5056.12,4054.01
2011-05-04,4494.14,4403.8,4494.14,4389.72,-112.62,-2.49,2224.54,4787.16,4606.11,4425.07,16.91,19.08,12.57,1,5031.64,4034.38
2011-05-05,4376.79,4398.56,4412.8,4367.03,-5.24,-0.12,2018.68,4796.18,4594.42,4392.66,14.98,17.71,9.5,1,5008.44,4015.78
2011-05-06,4352.55,4379.94,4412.25,4337.0,-18.62,-0.42,1833.82,4799.63,4580.23,4360.82,15.42,16.95,12.36,1,4980.05,3993.01
2011-05-09,4385.27,4391.94,4423.02,4376.43,12.0,0.27,1513.88,4791.56,4564.82,4338.09,17.97,17.29,19.34,1,4955.58,3973.39
2011-05-10,4401.47,4430.65,4430.91,4380.96,38.71,0.88,1295.15,4780.99,4552.73,4324.46,25.09,19.89,35.49,2,4942.06,3962.55
2011-05-11,4431.36,4411.21,4439.49,4394.02,-19.44,-0.44,1306.89,4770.86,4540.27,4309.68,27.8,22.53,38.34,2,4928.25,3951.48
2011-05-12,4381.95,4359.63,4411.66,4359.18,-51.58,-1.17,1644.15,4748.81,4521.95,4295.1,22.66,22.57,22.84,2,4911.53,3938.07
2011-05-13,4363.7,4386.23,4387.07,4318.93,26.6,0.61,1683.2,4725.03,4506.28,4287.54,26.28,23.81,31.21,2,4902.69,3930.99
2011-05-16,4369.85,4338.13,4400.14,4336.3,-48.1,-1.1,1464.97,4697.86,4487.85,4277.84,21.17,22.93,17.65,2,4885.83,3917.47
2011-05-17,4334.63,4367.4,4396.54,4317.86,29.27,0.67,1623.99,4661.47,4470.91,4280.34,27.69,24.51,34.04,2,4869.29,3904.21
2011-05-18,4359.56,4408.98,4417.59,4357.15,41.58,0.95,1387.55,4638.78,4460.14,4281.5,43.43,30.82,68.65,2,4869.87,3904.67
2011-05-19,4421.65,4387.29,4435.97,4385.36,-21.69,-0.49,1368.75,4616.88,4449.13,4281.38,47.98,36.54,70.86,2,4868.62,3903.66
2011-05-20,4387.37,4392.14,4412.29,4380.29,4.85,0.11,1186.37,4582.65,4436.95,4291.24,52.34,41.81,73.42,2,4869.97,3904.75
2011-05-23,4384.19,4257.95,4384.37,4253.0,-134.19,-3.06,1871.7,4561.45,4419.22,4277.0,35.78,39.8,27.74,2,4855.1,3892.83
2011-05-24,4247.35,4257.27,4262.6,4227.7,-0.68,-0.02,1287.99,4549.56,4404.46,4259.37,28.59,36.06,13.64,2,4835.85,3877.39
2011-05-25,4250.81,4201.05,4260.56,4198.04,-56.22,-1.32,1228.91,4545.12,4387.74,4230.36,19.48,30.53,-2.63,2,4812.52,3858.69
2011-05-26,4227.63,4186.91,4239.71,4186.88,-14.14,-0.34,1047.35,4541.23,4371.57,4201.9,12.99,24.69,-10.4,2,4793.35,3843.32
2011-05-27,4192.97,4189.34,4230.49,4183.22,2.43,0.06,1419.57,4539.09,4357.74,4176.4,9.47,19.61,-10.82,2,4771.5,3825.79
2011-05-30,4177.86,4186.89,4215.77,4162.16,-2.45,-0.06,1225.28,4527.8,4342.59,4157.37,9.32,16.18,-4.4,2,4754.71,3812.33
2011-05-31,4192.77,4255.58,4255.58,4178.11,68.69,1.64,1334.89,4500.12,4329.54,4158.97,17.59,16.65,19.46,2,4742.3,3802.38
2011-06-01,4249.14,4247.49,4252.1,4231.34,-8.09,-0.19,1296.68,4492.3,4321.73,4151.16,23.1,18.8,31.69,2,4724.37,3788.01
