time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,2736.44,2750.84,2755.5,2707.0,27.41,1.01,759.21,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,2740.17,2737.33,2751.83,2726.14,-13.51,-0.49,883.36,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,2734.93,2737.16,2750.19,2721.44,-0.17,-0.01,579.32,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,2733.5,2742.32,2767.3,2718.46,5.16,0.19,613.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,2739.85,2700.43,2747.04,2692.05,-41.89,-1.53,648.1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,2693.43,2713.38,2720.83,2671.51,12.95,0.48,672.24,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,2714.15,2734.71,2735.0,2693.02,21.33,0.79,553.3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,2745.73,2757.82,2770.48,2739.76,23.11,0.85,731.4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,2750.56,2728.88,2751.88,2720.77,-28.94,-1.05,586.16,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,2710.49,2643.0,2722.75,2638.24,-85.88,-3.15,712.74,0.0,0.0,0.0,0.0,0.0,0.0,2,3024.29,2424.88
2011-01-18,2629.81,2648.63,2648.82,2613.26,5.63,0.21,562.89,0.0,0.0,0.0,0.0,0.0,0.0,2,3012.95,2415.79
2011-01-19,2644.93,2711.73,2712.07,2636.38,63.1,2.38,728.27,0.0,0.0,0.0,0.0,0.0,0.0,2,3010.1,2413.51
2011-01-20,2702.53,2626.15,2702.53,2625.85,-85.58,-3.16,770.24,0.0,0.0,0.0,0.0,0.0,0.0,2,2997.78,2403.63
2011-01-21,2611.39,2664.18,2691.32,2611.39,38.03,1.45,860.16,0.0,0.0,0.0,0.0,0.0,0.0,2,2989.11,2396.67
2011-01-24,2662.72,2644.6,2694.84,2643.94,-19.58,-0.73,816.34,0.0,0.0,0.0,0.0,0.0,0.0,2,2982.91,2391.7
2011-01-25,2646.01,2626.7,2649.8,2605.87,-17.9,-0.68,620.63,0.0,0.0,0.0,0.0,0.0,0.0,2,2973.29,2383.99
2011-01-26,2627.81,2686.02,2690.25,2627.79,59.32,2.26,627.64,0.0,0.0,0.0,33.6,29.47,41.86,2,2967.89,2379.66
2011-01-27,2667.14,2720.26,2741.24,2652.83,34.24,1.27,905.91,0.0,0.0,0.0,50.57,36.5,78.7,2,2963.72,2376.31
2011-01-28,2717.34,2722.78,2728.75,2704.65,2.52,0.09,553.77,0.0,0.0,0.0,62.5,45.17,97.16,2,2963.04,2375.77
2011-01-31,2714.17,2750.71,2750.71,2712.12,27.93,1.03,632.39,2788.98,2702.38,2615.78,75.0,55.11,114.78,2,2975.0,2385.36
2011-02-01,2751.19,2738.14,2753.33,2713.08,-12.57,-0.46,483.84,2787.09,2701.75,2616.4,79.9,63.37,112.95,2,2984.93,2393.32
2011-02-09,2720.99,2712.48,2758.18,2706.34,-25.66,-0.94,683.94,2784.46,2700.5,2616.55,76.6,67.78,94.23,2,2985.01,2393.39
2011-02-10,2708.49,2762.63,2764.09,2698.82,50.15,1.85,721.09,2788.64,2701.78,2614.92,84.09,73.22,105.84,2,3000.16,2405.54
2011-02-11,2762.24,2786.83,2800.08,2751.61,24.2,0.88,844.43,2796.97,2704.0,2611.04,87.12,77.85,105.66,2,3013.78,2416.45
2011-02-14,2798.7,2863.87,2873.59,2798.7,77.04,2.76,1429.97,2828.3,2712.18,2596.05,90.1,81.93,106.42,2,3038.12,2435.97
2011-02-15,2866.22,2861.02,2904.13,2857.82,-2.85,-0.1,1322.83,2852.59,2719.56,2586.53,87.68,83.85,95.34,2,3064.13,2456.82
2011-02-16,2853.5,2885.09,2885.09,2848.49,24.07,0.84,939.83,2878.42,2727.08,2575.73,88.69,85.46,95.16,2,3086.22,2474.54
2011-02-17,2892.12,2882.66,2906.35,2857.54,-2.43,-0.08,971.28,2898.85,2733.32,2567.78,88.66,86.53,92.92,2,3104.25,2488.99
2011-02-18,2880.14,2841.58,2880.14,2832.03,-41.08,-1.43,700.28,2911.04,2738.95,2566.86,82.04,85.03,76.04,2,3117.44,2499.57
2011-02-21,2820.28,2871.66,2872.1,2816.26,30.08,1.06,796.14,2925.81,2750.39,2574.96,82.45,84.17,79.01,2,3130.86,2510.33
2011-02-22,2873.51,2784.69,2876.08,2783.74,-86.97,-3.03,1161.37,2926.75,2757.19,2587.62,68.76,79.03,48.21,2,3136.03,2514.47
2011-02-23,2778.11,2797.19,2802.73,2772.82,12.5,0.45,788.04,2930.54,2761.46,2592.39,55.66,71.24,24.49,2,3145.43,2522.01
2011-02-24,2788.72,2833.13,2833.91,2771.2,35.94,1.28,745.08,2931.57,2771.81,2612.05,52.38,64.95,27.23,2,3153.26,2528.29
2011-02-25,2828.12,2821.48,2834.42,2799.26,-11.65,-0.41,715.89,2932.82,2779.68,2626.54,47.32,59.08,23.81,2,3157.1,2531.37
2011-02-28,2819.94,2861.96,2862.6,2802.53,40.48,1.43,901.38,2934.37,2790.54,2646.72,53.93,57.36,47.07,2,3156.89,2531.2
2011-03-01,2861.97,2866.44,2879.62,2849.91,4.48,0.16,863.68,2928.6,2802.53,2676.46,59.44,58.06,62.22,2,3157.49,2531.68
2011-03-02,2853.01,2842.9,2859.3,2814.27,-23.54,-0.82,727.59,2925.52,2810.38,2695.23,61.57,59.23,66.25,2,3152.81,2527.93
2011-03-03,2842.49,2819.73,2854.96,2817.51,-23.17,-0.82,846.31,2922.83,2815.35,2707.87,55.97,58.14,51.62,2,3145.82,2522.33
2011-03-04,2819.98,2867.27,2867.27,2819.98,47.54,1.69,750.35,2923.41,2822.57,2721.73,66.85,61.04,78.46,2,3148.68,2524.61
2011-03-07,2875.17,2916.72,2918.76,2875.17,49.45,1.72,1136.51,2933.99,2830.87,2727.76,77.44,66.51,99.3,2,3153.68,2528.62
2011-03-08,2916.88,2928.91,2929.53,2898.26,12.19,0.42,813.62,2942.74,2840.41,2738.08,84.83,72.61,109.25,2,3169.69,2541.46
2011-03-09,2937.63,2925.12,2949.13,2913.58,-3.79,-0.13,778.72,2941.49,2851.04,2760.59,84.54,76.59,100.45,2,3183.89,2552.85
2011-03-10,2923.95,2877.88,2923.95,2875.99,-47.24,-1.61,712.19,2938.23,2856.81,2775.39,73.5,75.56,69.37,2,3188.85,2556.83
2011-03-11,2861.93,2850.2,2887.38,2845.45,-27.68,-0.96,691.18,2934.93,2859.98,2785.02,57.88,69.67,34.3,2,3192.04,2559.38
2011-03-14,2837.14,2848.66,2849.8,2817.24,-1.54,-0.05,661.13,2934.3,2859.21,2784.12,47.09,62.14,16.98,2,3190.57,2558.2
2011-03-15,2837.34,2785.48,2837.45,2744.04,-63.18,-2.22,841.98,2937.1,2855.44,2773.78,38.13,54.13,6.11,2,3181.58,2551.0
2011-03-16,2786.14,2811.78,2812.28,2784.36,26.3,0.94,648.75,2934.35,2851.77,2769.19,36.43,48.23,12.82,2,3178.12,2548.23
2011-03-17,2788.95,2757.62,2793.38,2752.61,-54.16,-1.93,609.14,2936.32,2845.52,2754.72,26.49,40.99,-2.5,2,3171.23,2542.7
2011-03-18,2780.75,2772.95,2791.67,2765.73,15.33,0.56,404.36,2938.26,2842.09,2745.92,22.36,34.78,-2.47,2,3160.76,2534.3
2011-03-21,2772.12,2760.25,2783.06,2749.21,-12.7,-0.46,457.92,2937.95,2836.52,2735.08,17.54,29.03,-5.44,2,3143.39,2520.38
2011-03-22,2768.35,2764.82,2774.77,2740.72,4.57,0.17,535.12,2939.33,2835.52,2731.72,16.08,24.71,-1.19,2,3125.18,2505.77
2011-03-23,2763.75,2791.73,2792.92,2754.31,26.91,0.97,488.54,2939.49,2835.25,2731.01,22.31,23.91,19.11,2,3110.37,2493.9
2011-03-24,2793.74,2778.32,2793.74,2775.76,-13.41,-0.48,487.82,2939.67,2832.51,2725.35,26.37,24.73,29.63,2,3099.32,2485.04
2011-03-25,2784.86,2801.82,2813.78,2781.1,23.5,0.85,752.48,2939.43,2831.53,2723.63,38.63,29.36,57.17,2,3093.95,2480.74
2011-03-28,2805.68,2788.14,2811.32,2783.41,-13.68,-0.49,784.55,2936.37,2827.84,2719.3,47.39,35.37,71.42,2,3087.23,2475.35
2011-03-29,2786.67,2749.03,2790.53,2747.26,-39.11,-1.4,750.72,2934.15,2821.97,2709.78,35.38,35.38,35.4,2,3083.19,2472.1
2011-03-30,2749.37,2744.81,2755.58,2736.35,-4.22,-0.15,683.07,2933.65,2817.06,2700.47,27.23,32.66,16.37,2,3075.75,2466.14
2011-03-31,2749.83,2717.1,2755.6,2706.98,-27.71,-1.01,544.5,2936.37,2811.93,2687.49,21.31,28.88,6.18,2,3071.26,2462.54
2011-04-01,2719.35,2745.57,2745.74,2709.45,28.47,1.05,497.58,2930.76,2805.85,2680.93,26.25,28.0,22.75,2,3068.22,2460.1
2011-04-06,2739.46,2755.51,2759.96,2728.44,9.94,0.36,684.3,2913.51,2797.79,2682.06,32.65,29.55,38.84,2,3067.69,2459.68
2011-04-07,2753.87,2770.01,2770.37,2732.76,14.5,0.53,662.14,2889.12,2789.84,2690.56,41.44,33.51,57.29,2,3068.27,2460.14
2011-04-08,2767.02,2779.06,2779.58,2757.8,9.05,0.33,585.37,2860.03,2782.54,2705.04,50.12,39.05,72.27,2,3066.86,2459.01
2011-04-11,2786.27,2753.38,2793.55,2749.59,-25.68,-0.92,706.3,2841.14,2776.31,2711.49,48.24,42.11,60.49,2,3064.09,2456.79
2011-04-12,2751.37,2792.72,2801.53,2748.27,39.34,1.43,1205.22,2829.4,2773.44,2717.48,62.39,48.87,89.42,2,3063.08,2455.98
2011-04-13,2789.24,2830.09,2830.53,2782.07,37.37,1.34,1151.9,2823.87,2772.51,2721.15,74.81,57.52,109.39,2,3067.74,2459.72
2011-04-14,2830.37,2815.98,2833.98,2809.75,-14.11,-0.5,844.42,2828.56,2774.03,2719.51,78.48,64.5,106.43,2,3075.17,2465.68
2011-04-15,2810.72,2814.34,2823.97,2785.5,-1.64,-0.06,623.25,2829.05,2774.16,2719.27,80.4,69.8,101.59,2,3082.89,2471.86
2011-04-18,2804.76,2823.4,2828.52,2801.54,9.06,0.32,808.15,2835.76,2777.45,2719.14,83.59,74.4,101.97,0,3094.69,2481.33
2011-04-19,2808.99,2788.47,2808.99,2776.68,-34.93,-1.24,741.56,2836.69,2778.23,2719.77,74.07,74.29,73.64,2,3099.45,2485.14
2011-04-20,2796.61,2804.6,2806.62,2782.13,16.13,0.58,708.6,2839.37,2780.44,2721.52,71.29,73.29,67.29,2,3104.9,2489.51
2011-04-21,2810.98,2815.24,2819.51,2804.81,10.64,0.38,857.13,2843.3,2782.97,2722.63,73.57,73.38,73.95,2,3109.92,2493.54
