time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,3337.44,3358.97,3370.41,3319.32,51.13,1.55,1758.77,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,3340.05,3360.31,3365.09,3330.41,1.34,0.04,1400.92,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,3359.76,3344.39,3382.7,3339.41,-15.92,-0.47,1020.19,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,3341.18,3360.02,3400.82,3321.48,15.63,0.47,1758.16,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,3354.7,3327.75,3382.47,3322.62,-32.27,-0.96,1478.89,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,3317.5,3365.4,3366.95,3312.49,37.65,1.13,1267.51,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,3376.88,3373.76,3389.84,3340.12,8.36,0.25,1347.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,3385.12,3379.51,3392.81,3355.5,5.75,0.17,1187.6,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,3369.7,3337.64,3369.7,3325.77,-41.87,-1.24,1077.63,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,3312.04,3239.7,3329.18,3228.47,-97.94,-2.93,1459.87,0.0,0.0,0.0,0.0,0.0,0.0,2,3712.67,2976.82
2011-01-18,3226.88,3238.44,3242.94,3212.75,-1.26,-0.04,928.86,0.0,0.0,0.0,0.0,0.0,0.0,2,3699.29,2966.1
2011-01-19,3238.4,3298.84,3301.44,3228.95,60.4,1.87,1098.86,0.0,0.0,0.0,0.0,0.0,0.0,2,3692.46,2960.63
2011-01-20,3290.37,3206.72,3290.37,3205.18,-92.12,-2.79,1114.99,0.0,0.0,0.0,0.0,0.0,0.0,2,3677.18,2948.37
2011-01-21,3199.33,3250.2,3296.64,3199.33,43.48,1.36,1231.62,0.0,0.0,0.0,0.0,0.0,0.0,2,3664.99,2938.6
2011-01-24,3251.0,3223.12,3266.03,3214.04,-27.08,-0.83,1102.47,0.0,0.0,0.0,0.0,0.0,0.0,2,3653.38,2929.29
2011-01-25,3221.56,3214.26,3241.27,3198.15,-8.86,-0.27,1103.16,0.0,0.0,0.0,0.0,0.0,0.0,2,3636.6,2915.83
2011-01-26,3216.88,3236.63,3242.31,3213.35,22.37,0.7,750.43,0.0,0.0,0.0,17.5,18.29,15.91,2,3621.38,2903.63
2011-01-27,3216.2,3284.2,3287.06,3204.11,47.57,1.47,1330.52,0.0,0.0,0.0,33.56,23.38,53.91,2,3610.8,2895.15
