time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,1173.39,1181.0,1184.57,1167.32,19.73,1.7,1683.3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,1174.56,1184.13,1188.89,1170.42,3.13,0.27,1539.2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,1184.55,1177.96,1192.35,1175.52,-6.17,-0.52,1126.35,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,1175.91,1176.55,1195.22,1169.16,-1.41,-0.12,1628.89,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,1174.8,1156.12,1184.62,1153.38,-20.43,-1.74,1256.29,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,1151.66,1159.0,1161.58,1141.56,2.88,0.25,1116.53,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,1163.81,1163.09,1167.63,1145.6,4.09,0.35,1082.05,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,1167.9,1161.22,1169.55,1154.23,-1.87,-0.16,964.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,1157.48,1138.95,1157.48,1136.19,-22.27,-1.92,1048.78,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,1128.98,1093.35,1133.4,1090.63,-45.6,-4.0,1312.65,0.0,0.0,0.0,0.0,0.0,0.0,2,1286.64,1031.63
2011-01-18,1090.37,1093.39,1094.66,1082.27,0.04,0.0,822.86,0.0,0.0,0.0,0.0,0.0,0.0,2,1276.92,1023.83
2011-01-19,1094.25,1123.53,1123.53,1089.54,30.14,2.76,1034.52,0.0,0.0,0.0,0.0,0.0,0.0,2,1270.19,1018.44
2011-01-20,1120.35,1083.59,1120.35,1083.07,-39.94,-3.55,1092.35,0.0,0.0,0.0,0.0,0.0,0.0,2,1259.72,1010.04
2011-01-21,1080.12,1095.61,1114.45,1078.22,12.02,1.11,1240.1,0.0,0.0,0.0,0.0,0.0,0.0,2,1250.73,1002.84
2011-01-24,1096.67,1080.13,1101.51,1079.16,-15.48,-1.41,1049.84,0.0,0.0,0.0,0.0,0.0,0.0,2,1242.3,996.08
2011-01-25,1078.06,1072.13,1081.0,1064.12,-8.0,-0.74,925.17,0.0,0.0,0.0,0.0,0.0,0.0,2,1232.65,988.34
2011-01-26,1072.44,1085.24,1086.47,1072.44,13.11,1.22,840.71,0.0,0.0,0.0,13.59,11.43,17.92,2,1224.01,981.42
2011-01-27,1076.94,1109.01,1113.39,1070.48,23.77,2.19,1419.64,0.0,0.0,0.0,30.66,17.84,56.3,2,1218.22,976.77
2011-01-28,1107.79,1119.41,1123.31,1106.26,10.4,0.94,1194.97,0.0,0.0,0.0,51.46,29.05,96.29,2,1216.05,975.03
2011-01-31,1120.2,1136.72,1137.53,1117.84,17.31,1.55,1341.38,1204.56,1129.51,1054.45,67.27,41.79,118.24,2,1220.86,978.89
2011-02-01,1140.27,1141.13,1144.1,1134.94,4.41,0.39,995.54,1199.02,1127.51,1056.0,76.94,53.51,123.82,2,1226.16,983.14
2011-02-09,1130.63,1126.61,1145.36,1122.82,-14.52,-1.27,1177.2,1191.27,1124.64,1058.0,76.94,61.32,108.18,2,1226.5,983.41
2011-02-10,1123.77,1153.62,1153.91,1120.6,27.01,2.4,1352.31,1186.93,1123.42,1059.91,84.52,69.05,115.45,2,1234.28,989.65
2011-02-11,1152.62,1161.18,1166.99,1149.83,7.56,0.66,1528.63,1183.9,1122.65,1061.4,87.79,75.3,112.79,2,1241.55,995.48
2011-02-14,1163.83,1196.99,1200.37,1163.83,35.81,3.08,2216.14,1192.64,1124.7,1056.75,91.0,80.53,111.93,0,1254.53,1005.88
