time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,6278.27,6271.9,6294.89,6183.67,13.27,0.21,335.07,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,6237.84,6238.39,6255.34,6190.74,-33.51,-0.53,341.38,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,6227.99,6250.12,6278.89,6220.49,11.73,0.19,330.41,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,6232.47,6234.13,6284.83,6192.39,-15.99,-0.26,267.35,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,6230.29,6090.96,6249.15,6072.22,-143.17,-2.3,282.04,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,6075.62,6059.06,6091.18,6001.7,-31.9,-0.52,243.84,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,6063.52,6078.13,6088.3,6008.68,19.07,0.31,205.13,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,6090.0,6104.49,6117.86,6060.49,26.36,0.43,186.53,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,6093.35,6048.41,6093.85,6005.12,-56.08,-0.92,221.45,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,6010.96,5809.56,6015.15,5808.8,-238.85,-3.95,222.38,0.0,0.0,0.0,0.0,0.0,0.0,2,6791.55,5445.48
2011-01-18,5794.0,5885.69,5885.69,5773.17,76.13,1.31,189.34,0.0,0.0,0.0,0.0,0.0,0.0,2,6748.68,5411.11
2011-01-19,5878.69,5975.37,5976.42,5859.8,89.68,1.52,204.11,0.0,0.0,0.0,0.0,0.0,0.0,2,6719.49,5387.7
2011-01-20,5963.51,5765.24,5963.51,5759.25,-210.13,-3.52,212.27,0.0,0.0,0.0,0.0,0.0,0.0,2,6665.67,5344.54
2011-01-21,5756.08,5759.99,5831.3,5736.14,-5.25,-0.09,180.02,0.0,0.0,0.0,0.0,0.0,0.0,1,6613.04,5302.34
2011-01-24,5755.53,5602.58,5769.89,5596.09,-157.41,-2.73,195.3,0.0,0.0,0.0,0.0,0.0,0.0,1,6558.83,5258.88
2011-01-25,5596.05,5585.62,5613.96,5537.98,-16.96,-0.3,182.96,0.0,0.0,0.0,0.0,0.0,0.0,1,6506.27,5216.74
2011-01-26,5578.96,5700.85,5707.35,5578.96,115.23,2.06,168.32,0.0,0.0,0.0,15.51,12.26,22.01,1,6464.4,5183.16
2011-01-27,5672.6,5761.09,5783.22,5629.8,60.24,1.06,185.3,0.0,0.0,0.0,25.92,16.81,44.15,2,6426.28,5152.6
2011-01-28,5754.82,5814.33,5833.0,5750.53,53.24,0.92,180.55,0.0,0.0,0.0,38.29,23.97,66.93,2,6400.3,5131.77
2011-01-31,5797.78,5890.51,5892.5,5794.03,76.18,1.31,191.52,6372.23,5946.32,5520.42,52.33,33.43,90.14,2,6409.28,5138.97
2011-02-01,5888.82,5902.38,5919.63,5856.44,11.87,0.2,164.23,6326.86,5927.84,5528.83,63.43,43.43,103.44,2,6411.13,5140.46
2011-02-09,5866.59,5845.96,5931.53,5833.27,-56.42,-0.96,222.92,6282.03,5908.22,5534.42,68.37,51.74,101.63,2,6396.77,5128.94
2011-02-10,5845.91,5977.19,5978.39,5827.91,131.23,2.24,241.28,6235.98,5894.58,5553.17,78.82,60.77,114.93,2,6420.3,5147.8
2011-02-11,5980.97,6115.04,6122.62,5977.87,137.85,2.31,367.96,6209.68,5888.62,5567.57,85.45,69.0,118.36,2,6459.71,5179.4
2011-02-14,6127.65,6219.4,6233.94,6127.65,104.36,1.71,400.65,6236.52,5895.04,5553.57,89.56,75.85,116.98,2,6528.17,5234.3
2011-02-15,6220.99,6159.77,6239.88,6159.27,-59.63,-0.96,333.87,6253.83,5900.08,5546.33,88.66,80.12,105.75,0,6591.9,5285.4
2011-02-16,6147.36,6176.5,6176.6,6110.74,16.73,0.27,289.46,6271.04,5905.0,5538.96,88.13,82.79,98.8,0,6644.7,5327.73
2011-02-17,6188.3,6136.84,6193.71,6095.7,-39.66,-0.64,405.98,6276.43,5906.62,5536.8,84.38,83.32,86.5,0,6686.41,5361.17
2011-02-18,6128.41,6065.07,6128.41,6041.12,-71.77,-1.17,307.93,6278.61,5907.45,5536.28,75.44,80.69,64.94,2,6714.24,5383.49
