time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2840.2,2877.29,2892.37,2838.29,29.15,1.02,175.73,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2878.41,2971.58,2977.07,2874.3,94.29,3.28,305.29,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2957.89,2935.36,2982.0,2927.65,-36.22,-1.22,163.93,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2934.39,2969.06,2973.96,2931.95,33.7,1.15,180.92,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2972.83,2975.49,2995.77,2955.74,6.43,0.22,172.04,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2997.79,3072.23,3128.61,2997.79,96.74,3.25,530.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,3079.48,3066.74,3098.26,3041.85,-5.49,-0.18,277.84,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,3052.02,3033.11,3052.02,3006.41,-33.63,-1.1,194.53,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,3042.22,3033.94,3075.03,2998.54,0.83,0.03,219.14,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,3022.11,3010.84,3051.23,3008.12,-23.1,-0.76,153.45,0.0,0.0,0.0,0.0,0.0,0.0,2,3323.97,2665.16
2012-09-14,3029.52,3001.55,3042.4,2961.88,-9.29,-0.31,304.86,0.0,0.0,0.0,0.0,0.0,0.0,2,3337.76,2676.22
2012-09-17,2988.0,2886.52,2989.76,2882.41,-115.03,-3.83,313.35,0.0,0.0,0.0,0.0,0.0,0.0,2,3328.32,2668.65
2012-09-18,2874.1,2887.48,2906.23,2869.11,0.97,0.03,156.19,0.0,0.0,0.0,0.0,0.0,0.0,2,3323.0,2664.39
2012-09-19,2886.29,2881.6,2894.38,2861.19,-5.89,-0.2,170.43,0.0,0.0,0.0,0.0,0.0,0.0,2,3313.29,2656.61
2012-09-20,2869.51,2817.97,2871.01,2812.3,-63.63,-2.21,196.48,0.0,0.0,0.0,0.0,0.0,0.0,2,3295.81,2642.59
2012-09-21,2804.98,2835.92,2879.84,2804.94,17.95,0.64,190.41,0.0,0.0,0.0,0.0,0.0,0.0,2,3269.58,2621.55
