time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-01-04,3059.9,2963.98,3067.92,2963.98,0.0,-2.83,223.93,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-05,2946.84,2893.94,2953.69,2887.01,0.0,-2.36,247.35,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-06,2900.34,2897.32,2903.11,2836.42,0.0,0.12,250.6,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-09,2893.05,3019.84,3019.84,2867.27,0.0,4.23,347.32,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-10,3010.65,3102.15,3108.49,3010.65,0.0,2.73,483.94,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-11,3082.85,3094.37,3103.09,3063.45,0.0,-0.25,273.37,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-12,3080.54,3113.91,3165.08,3080.54,0.0,0.63,297.95,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-13,3115.95,3042.08,3115.95,3013.94,0.0,-2.31,227.06,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-16,3014.29,2965.7,3030.3,2965.7,0.0,-2.51,182.29,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-17,2961.62,3102.23,3122.75,2949.69,0.0,4.6,379.82,0.0,0.0,0.0,0.0,0.0,0.0,2,3351.7,2687.4
2012-01-18,3091.67,3064.56,3118.87,3053.05,0.0,-1.21,284.35,0.0,0.0,0.0,0.0,0.0,0.0,2,3362.87,2696.35
2012-01-19,3072.65,3122.67,3122.67,3062.83,0.0,1.9,326.08,0.0,0.0,0.0,0.0,0.0,0.0,2,3388.26,2716.71
2012-01-20,3121.15,3167.9,3178.45,3121.15,0.0,1.45,310.66,0.0,0.0,0.0,0.0,0.0,0.0,2,3418.29,2740.79
2012-01-30,3164.84,3077.86,3164.84,3077.86,0.0,-2.84,294.96,0.0,0.0,0.0,0.0,0.0,0.0,2,3424.73,2745.96
2012-01-31,3089.53,3094.8,3101.92,3071.36,0.0,0.55,172.3,0.0,0.0,0.0,0.0,0.0,0.0,2,3423.91,2745.3
2012-02-01,3081.84,3043.35,3116.57,3039.9,0.0,-1.66,191.45,0.0,0.0,0.0,0.0,0.0,0.0,2,3418.25,2740.76
2012-02-02,3054.68,3116.87,3116.87,3037.39,0.0,2.42,225.26,0.0,0.0,0.0,63.04,65.97,57.16,2,3418.58,2741.02
2012-02-03,3103.77,3156.67,3157.12,3103.77,0.0,1.28,270.04,0.0,0.0,0.0,72.18,68.04,80.46,2,3431.3,2751.22
2012-02-06,3153.49,3118.79,3155.14,3104.53,0.0,-1.2,277.72,0.0,0.0,0.0,67.36,67.82,66.44,2,3448.29,2764.85
2012-02-07,3098.15,3035.84,3098.15,3023.46,0.0,-2.66,295.17,3211.89,3059.74,2907.59,47.57,61.07,20.57,2,3440.92,2758.94
2012-02-08,3034.54,3127.97,3136.64,3034.54,0.0,3.04,302.99,3216.19,3067.94,2919.69,54.19,58.77,45.02,2,3447.96,2764.58
2012-02-09,3122.48,3185.65,3199.71,3113.83,0.0,1.84,530.78,3216.1,3082.53,2948.95,66.8,61.45,77.5,2,3454.95,2770.19
2012-02-10,3194.3,3265.13,3311.96,3194.3,0.0,2.5,680.66,3228.58,3100.92,2973.25,72.46,65.12,87.13,2,3465.75,2778.84
2012-02-13,3172.73,3211.94,3235.24,3165.61,0.0,-1.63,438.7,3241.21,3110.52,2979.83,70.08,66.77,76.7,2,3480.63,2790.77
2012-02-14,3196.08,3219.11,3219.11,3176.08,0.0,0.22,305.16,3255.25,3116.37,2977.49,69.33,67.62,72.73,2,3494.43,2801.84
2012-02-15,3204.89,3245.12,3265.6,3191.15,0.0,0.81,303.13,3273.17,3123.91,2974.65,71.83,69.03,77.43,2,3516.82,2819.8
2012-02-16,3234.23,3239.35,3257.3,3217.57,0.0,-0.18,261.36,3287.55,3130.18,2972.8,72.83,70.29,77.9,2,3530.42,2830.7
2012-02-17,3263.37,3236.41,3263.37,3204.26,0.0,-0.09,258.72,3298.31,3139.9,2981.49,73.16,71.25,76.98,2,3539.27,2837.79
2012-02-20,3293.09,3273.2,3326.91,3272.28,0.0,1.14,398.0,3302.35,3155.27,3008.19,75.98,72.83,82.29,2,3556.41,2851.54
2012-02-21,3278.24,3341.81,3341.81,3241.02,0.0,2.1,270.35,3332.95,3167.25,3001.55,83.99,76.55,98.87,2,3590.37,2878.77
2012-02-22,3350.81,3475.03,3475.06,3350.81,0.0,3.99,634.95,3394.19,3187.77,2981.36,89.32,80.8,106.36,2,3628.9,2909.65
2012-02-23,3464.49,3468.74,3499.17,3443.59,0.0,-0.18,411.55,3442.46,3205.08,2967.69,89.84,83.82,101.89,2,3660.32,2934.85
2012-02-24,3464.75,3619.03,3626.41,3464.75,0.0,4.33,703.62,3524.81,3227.63,2930.46,92.68,86.77,104.5,2,3699.6,2966.35
2012-02-27,3621.33,3608.26,3667.49,3608.26,0.0,-0.3,638.06,3585.8,3254.15,2922.51,90.98,88.17,96.58,2,3743.59,3001.62
2012-02-28,3591.48,3591.5,3609.35,3552.57,0.0,-0.46,434.19,3632.83,3278.99,2925.15,88.52,88.29,88.97,2,3784.93,3034.76
2012-02-29,3527.56,3490.24,3536.74,3481.12,0.0,-2.82,466.77,3649.22,3301.33,2953.45,79.59,85.39,67.99,0,3812.14,3056.58
