time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,747.94,747.54,752.89,747.13,-1.25,-0.17,874.42,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,747.63,758.67,761.03,746.84,11.12,1.49,1349.9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,762.85,751.37,763.39,749.58,-7.3,-0.96,1152.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,749.34,748.94,752.85,745.0,-2.43,-0.32,1093.84,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,750.09,753.76,755.53,747.76,4.82,0.64,889.55,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,760.08,792.34,801.08,760.08,38.57,5.12,3208.13,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,795.06,797.64,801.58,793.42,5.3,0.67,2556.05,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,793.2,792.11,793.2,785.42,-5.53,-0.69,1594.86,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,797.35,796.66,803.42,789.11,4.55,0.57,1606.49,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,795.99,785.98,797.72,785.96,-10.68,-1.34,1302.35,0.0,0.0,0.0,0.0,0.0,0.0,2,857.48,687.53
2012-09-14,798.2,796.22,802.28,788.74,10.24,1.3,2424.71,0.0,0.0,0.0,0.0,0.0,0.0,2,862.88,691.86
2012-09-17,795.47,775.72,796.56,775.64,-20.5,-2.58,1805.15,0.0,0.0,0.0,0.0,0.0,0.0,2,864.77,693.38
2012-09-18,771.81,765.72,773.54,763.12,-10.0,-1.29,1227.17,0.0,0.0,0.0,0.0,0.0,0.0,2,866.36,694.65
2012-09-19,766.49,770.45,771.55,762.16,4.73,0.62,1324.53,0.0,0.0,0.0,0.0,0.0,0.0,2,868.75,696.57
2012-09-20,766.13,750.58,766.13,750.21,-19.87,-2.58,1432.6,0.0,0.0,0.0,0.0,0.0,0.0,2,868.4,696.28
2012-09-21,748.94,753.13,761.15,748.11,2.56,0.34,1322.87,0.0,0.0,0.0,0.0,0.0,0.0,2,864.05,692.79
2012-09-24,746.65,759.69,764.12,742.28,6.55,0.87,1337.09,0.0,0.0,0.0,27.06,41.34,-1.52,2,859.83,689.42
2012-09-25,757.56,758.79,764.58,755.19,-0.9,-0.12,1060.34,0.0,0.0,0.0,27.21,36.63,8.36,1,856.14,686.45
2012-09-26,758.03,750.32,761.89,748.87,-8.48,-1.12,978.05,0.0,0.0,0.0,22.61,31.96,3.9,1,850.99,682.33
2012-09-27,749.78,774.7,780.05,749.77,24.39,3.25,1886.97,804.87,769.02,733.16,34.98,32.96,39.01,2,849.74,681.32
2012-09-28,769.04,789.44,790.41,768.55,14.74,1.9,2011.56,806.6,771.11,735.63,55.98,40.64,86.67,2,848.99,680.72
2012-10-08,788.57,778.1,792.15,774.2,-11.34,-1.44,1153.6,807.21,772.08,736.95,61.26,47.51,88.76,2,849.25,680.93
2012-10-09,782.21,796.51,799.12,782.21,18.4,2.36,1734.76,809.66,774.34,739.02,72.64,55.89,106.15,2,852.67,683.67
2012-10-10,794.09,798.52,799.09,790.59,2.02,0.25,1570.29,811.61,776.82,742.02,81.41,64.4,115.44,2,855.79,686.17
2012-10-11,794.98,789.21,797.39,788.88,-9.32,-1.17,1372.6,812.09,778.59,745.09,81.8,70.2,104.99,2,860.07,689.61
2012-10-12,792.09,790.46,799.71,783.45,1.26,0.16,1211.26,811.86,778.5,745.14,81.8,74.06,97.27,2,864.22,692.93
2012-10-15,791.6,788.3,792.62,781.62,-2.17,-0.27,1033.23,810.56,778.03,745.51,80.39,76.17,88.81,2,867.39,695.48
