time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-01-04,3007.3,2910.54,3007.3,2910.54,0.0,-2.63,241.11,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-05,2892.42,2828.64,2895.06,2821.94,0.0,-2.81,273.8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-06,2823.28,2833.66,2838.75,2784.51,0.0,0.18,226.3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-09,2836.97,2927.25,2927.92,2818.19,0.0,3.3,346.6,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-10,2927.75,3060.83,3060.85,2927.75,0.0,4.56,648.18,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-11,3057.87,3057.87,3071.89,3035.89,0.0,-0.1,368.15,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-12,3050.79,3051.97,3109.14,3050.79,0.0,-0.19,367.3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-13,3049.93,2977.33,3052.71,2963.98,0.0,-2.45,279.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-16,2946.69,2902.76,2955.69,2902.76,0.0,-2.51,186.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-17,2892.35,3061.39,3061.39,2892.35,0.0,5.47,405.04,0.0,0.0,0.0,0.0,0.0,0.0,2,3286.96,2635.49
2012-01-18,3060.97,3026.22,3085.75,3018.42,0.0,-1.15,393.9,0.0,0.0,0.0,0.0,0.0,0.0,2,3299.8,2645.78
2012-01-19,3020.11,3057.93,3068.81,3015.29,0.0,1.05,316.74,0.0,0.0,0.0,0.0,0.0,0.0,2,3325.25,2666.19
2012-01-20,3064.76,3113.48,3116.48,3064.76,0.0,1.82,431.42,0.0,0.0,0.0,0.0,0.0,0.0,2,3356.31,2691.1
2012-01-30,3118.35,3064.21,3118.35,3064.21,0.0,-1.58,271.1,0.0,0.0,0.0,0.0,0.0,0.0,2,3371.51,2703.29
2012-01-31,3064.6,3069.54,3070.61,3047.94,0.0,0.17,171.18,0.0,0.0,0.0,0.0,0.0,0.0,2,3372.48,2704.06
2012-02-01,3063.87,3048.22,3089.9,3046.84,0.0,-0.69,212.23,0.0,0.0,0.0,0.0,0.0,0.0,2,3371.41,2703.2
2012-02-02,3055.23,3100.47,3100.47,3046.86,0.0,1.71,277.79,0.0,0.0,0.0,80.05,76.35,87.46,2,3376.79,2707.52
2012-02-03,3100.05,3140.91,3145.66,3096.39,0.0,1.3,355.87,0.0,0.0,0.0,86.08,79.59,99.05,2,3394.95,2722.08
2012-02-06,3146.18,3148.9,3162.23,3132.49,0.0,0.26,349.74,0.0,0.0,0.0,87.69,82.29,98.5,2,3422.27,2743.98
2012-02-07,3132.95,3098.9,3132.95,3075.19,0.0,-1.59,310.1,3209.71,3024.05,2838.39,77.43,80.67,70.95,2,3426.43,2747.32
2012-02-08,3092.25,3167.68,3167.68,3084.5,0.0,2.22,391.49,3224.95,3036.91,2848.87,84.95,82.1,90.66,2,3442.14,2759.91
2012-02-09,3160.13,3180.18,3196.94,3151.51,0.0,0.4,451.8,3226.4,3054.49,2882.57,86.25,83.48,91.78,2,3455.71,2770.79
2012-02-10,3173.62,3212.96,3243.92,3173.62,0.0,1.03,718.96,3226.37,3073.45,2920.53,85.59,84.19,88.41,2,3466.75,2779.65
2012-02-13,3180.36,3220.12,3227.28,3174.53,0.0,0.22,403.02,3238.28,3088.09,2937.91,86.37,84.91,89.28,2,3484.05,2793.52
2012-02-14,3215.37,3201.04,3215.37,3185.19,0.0,-0.59,282.59,3252.46,3095.1,2937.75,83.66,84.5,81.99,2,3498.65,2805.22
2012-02-15,3197.54,3247.24,3247.24,3192.65,0.0,1.44,401.69,3274.14,3104.57,2935.0,89.11,86.03,95.25,0,3520.74,2822.94
2012-02-16,3241.07,3240.37,3263.49,3215.12,0.0,-0.21,387.15,3291.57,3113.99,2936.42,88.65,86.9,92.13,0,3536.27,2835.39
2012-02-17,3250.38,3228.49,3256.16,3216.63,0.0,-0.37,313.36,3299.15,3126.55,2953.95,86.23,86.68,85.34,0,3545.99,2843.18
2012-02-20,3265.39,3237.42,3265.63,3232.2,0.0,0.28,391.15,3288.58,3143.28,2997.99,85.63,86.33,84.23,0,3555.82,2851.06
2012-02-21,3243.15,3268.17,3268.17,3212.51,0.0,0.95,382.5,3303.5,3153.62,3003.75,90.42,87.69,95.87,0,3574.61,2866.13
2012-02-22,3269.02,3336.73,3337.32,3269.02,0.0,2.1,598.07,3327.13,3169.15,3011.17,93.49,89.63,101.23,0,3593.37,2881.17
2012-02-23,3332.41,3349.16,3356.31,3327.75,0.0,0.37,487.67,3351.39,3183.71,3016.03,94.35,91.2,100.65,0,3612.13,2896.21
2012-02-24,3353.51,3411.71,3411.71,3340.71,0.0,1.87,735.42,3390.03,3198.62,3007.21,96.23,92.88,102.94,0,3634.19,2913.9
2012-02-27,3416.77,3420.18,3469.38,3416.77,0.0,0.25,809.55,3420.32,3216.42,3012.52,91.56,92.44,89.81,0,3656.4,2931.71
2012-02-28,3408.51,3421.66,3427.56,3379.55,0.0,0.04,615.33,3444.84,3234.03,3023.21,88.18,91.02,82.51,0,3680.89,2951.34
2012-02-29,3404.32,3352.21,3404.32,3352.21,0.0,-2.03,458.41,3447.74,3249.23,3050.71,76.92,86.32,58.11,0,3692.54,2960.68
2012-03-01,3336.98,3356.05,3370.3,3336.98,0.0,0.11,258.08,3453.35,3262.0,3070.66,69.9,80.85,48.02,2,3705.38,2970.98
2012-03-02,3370.71,3424.34,3424.34,3370.71,0.0,2.04,488.66,3471.49,3276.18,3080.86,74.09,78.6,65.08,2,3727.12,2988.41
2012-03-05,3431.73,3398.36,3435.83,3397.22,0.0,-0.76,378.87,3481.7,3288.65,3095.59,70.91,76.03,60.67,2,3744.98,3002.73
2012-03-06,3389.73,3341.3,3389.73,3332.45,0.0,-1.68,406.57,3474.08,3300.77,3127.46,50.46,67.51,16.37,2,3753.1,3009.24
2012-03-07,3311.76,3318.77,3354.18,3311.76,0.0,-0.67,355.35,3470.59,3308.32,3146.06,35.13,56.72,-8.06,2,3751.11,3007.64
2012-03-08,3328.82,3376.36,3386.84,3328.82,0.0,1.74,481.75,3471.71,3318.13,3164.55,37.08,50.17,10.89,2,3754.12,3010.06
2012-03-09,3385.97,3412.9,3412.9,3368.45,0.0,1.08,440.77,3479.03,3328.13,3177.23,51.89,50.74,54.19,2,3754.26,3010.17
2012-03-12,3411.14,3409.38,3411.7,3380.66,0.0,-0.1,452.14,3483.88,3337.59,3191.3,60.82,54.1,74.26,2,3753.06,3009.21
2012-03-13,3409.73,3441.5,3442.97,3408.74,0.0,0.94,390.49,3488.37,3349.61,3210.86,73.51,60.57,99.38,2,3755.26,3010.97
2012-03-14,3453.47,3324.38,3473.67,3301.1,0.0,-3.4,804.98,3484.71,3353.47,3222.23,53.5,58.21,44.08,2,3752.17,3008.5
2012-03-15,3319.36,3277.18,3332.54,3247.18,0.0,-1.42,521.67,3481.08,3355.31,3229.55,40.08,52.17,15.91,2,3743.42,3001.48
2012-03-16,3278.8,3333.46,3333.46,3271.02,0.0,1.72,394.09,3472.74,3360.56,3248.38,39.42,47.92,22.42,2,3733.33,2993.39
2012-03-19,3335.77,3359.32,3361.64,3304.03,0.0,0.78,467.42,3463.63,3366.66,3269.68,42.78,46.21,35.94,2,3729.0,2989.91
2012-03-20,3348.8,3304.45,3348.8,3301.72,0.0,-1.63,422.68,3459.16,3368.47,3277.78,36.95,43.12,24.61,2,3724.9,2986.64
2012-03-21,3311.14,3318.56,3335.17,3286.57,0.0,0.43,446.73,3459.86,3367.56,3275.27,35.14,40.46,24.5,2,3724.88,2986.62
2012-03-22,3318.44,3324.34,3338.46,3303.51,0.0,0.17,425.67,3460.22,3366.32,3272.42,34.78,38.57,27.21,2,3719.11,2981.99
2012-03-23,3313.72,3281.77,3323.88,3277.1,0.0,-1.28,384.96,3458.14,3359.82,3261.5,28.28,35.14,14.56,2,3704.55,2970.32
2012-03-26,3272.09,3268.22,3285.02,3252.18,0.0,-0.41,273.42,3454.14,3352.23,3250.32,21.95,30.74,4.36,2,3688.88,2957.75
2012-03-27,3283.26,3269.61,3294.44,3262.56,0.0,0.04,295.88,3447.36,3344.62,3241.88,21.16,27.55,8.4,2,3669.8,2942.45
2012-03-28,3260.75,3146.28,3260.75,3146.28,0.0,-3.77,391.64,3468.44,3334.33,3200.21,14.11,23.07,-3.81,2,3650.03,2926.6
2012-03-29,3133.83,3095.85,3144.15,3076.86,0.0,-1.6,324.48,3490.4,3321.32,3152.23,11.63,19.26,-3.62,2,3629.91,2910.47
2012-03-30,3098.13,3109.2,3109.2,3081.18,0.0,0.43,305.17,3491.23,3305.56,3119.89,11.72,16.74,1.66,2,3605.01,2890.51
2012-04-05,3120.28,3208.75,3208.75,3120.28,0.0,3.2,434.24,3481.19,3296.08,3110.97,24.62,19.37,35.12,2,3588.3,2877.11
2012-04-06,3203.4,3229.0,3236.76,3195.04,0.0,0.63,351.46,3476.56,3290.46,3104.37,35.8,24.84,57.7,2,3579.93,2870.39
2012-04-09,3221.02,3196.92,3232.02,3191.7,0.0,-0.99,284.37,3474.3,3284.37,3094.45,40.07,29.92,60.36,2,3566.42,2859.56
2012-04-10,3188.09,3218.9,3219.41,3144.11,0.0,0.69,307.89,3463.55,3276.5,3089.45,48.47,36.1,73.21,2,3554.72,2850.18
2012-04-11,3193.68,3226.03,3245.23,3193.31,0.0,0.22,356.18,3444.43,3267.16,3089.88,55.17,42.46,80.59,2,3548.53,2845.22
2012-04-12,3231.21,3280.17,3280.17,3221.39,0.0,1.68,453.99,3425.77,3260.69,3095.62,70.11,51.68,106.98,2,3549.86,2846.28
2012-04-13,3289.82,3306.94,3330.9,3289.82,0.0,0.82,503.68,3398.73,3253.97,3109.2,76.93,60.09,110.6,2,3554.0,2849.61
2012-04-16,3295.77,3338.12,3352.35,3295.77,0.0,0.94,556.57,3400.88,3254.65,3108.43,82.87,67.69,113.24,2,3575.3,2866.68
2012-04-17,3335.56,3301.14,3348.02,3301.14,0.0,-1.11,490.71,3403.18,3255.85,3108.52,81.23,72.2,99.28,2,3598.08,2884.95
2012-04-18,3306.82,3378.03,3380.66,3305.4,0.0,2.33,673.45,3411.27,3258.08,3104.89,87.11,77.17,107.0,0,3627.92,2908.88
2012-04-19,3376.0,3377.05,3390.56,3358.98,0.0,-0.03,485.07,3414.67,3258.97,3103.26,89.58,81.31,106.13,0,3646.61,2923.85
