time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2496.12,2495.24,2509.51,2493.37,-7.67,-0.31,3530.88,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2489.79,2513.28,2522.65,2486.08,18.04,0.72,5069.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2513.34,2482.68,2516.31,2477.76,-30.6,-1.22,4575.62,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2478.12,2478.0,2487.33,2462.48,-4.67,-0.19,4559.64,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2483.07,2500.6,2501.33,2480.58,22.6,0.91,4337.34,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2517.25,2603.74,2630.82,2517.25,103.14,4.12,12290.52,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2606.87,2614.19,2622.26,2596.62,10.46,0.4,8991.55,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2603.33,2596.05,2603.33,2578.59,-18.14,-0.69,6403.05,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2608.9,2604.52,2620.87,2581.49,8.47,0.33,6824.74,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2601.79,2582.09,2610.67,2582.09,-22.43,-0.86,6018.57,0.0,0.0,0.0,0.0,0.0,0.0,2,2827.21,2266.86
2012-09-14,2605.93,2599.56,2616.57,2581.66,17.47,0.68,8040.98,0.0,0.0,0.0,0.0,0.0,0.0,2,2838.79,2276.15
2012-09-17,2595.34,2535.29,2596.77,2534.54,-64.27,-2.47,6427.97,0.0,0.0,0.0,0.0,0.0,0.0,2,2841.24,2278.11
2012-09-18,2525.68,2509.68,2528.53,2501.98,-25.61,-1.01,4388.42,0.0,0.0,0.0,0.0,0.0,0.0,2,2844.23,2280.51
2012-09-19,2512.12,2522.46,2525.75,2506.16,12.78,0.51,4462.06,0.0,0.0,0.0,0.0,0.0,0.0,2,2849.17,2284.47
2012-09-20,2515.06,2466.5,2515.06,2465.5,-55.95,-2.22,5606.91,0.0,0.0,0.0,0.0,0.0,0.0,2,2845.38,2281.43
2012-09-21,2461.4,2468.28,2488.52,2458.25,1.77,0.07,5038.16,0.0,0.0,0.0,0.0,0.0,0.0,2,2830.35,2269.38
2012-09-24,2454.64,2481.3,2491.94,2439.59,13.03,0.53,4932.08,0.0,0.0,0.0,22.54,36.07,-4.52,2,2815.6,2257.55
2012-09-25,2475.33,2473.04,2489.04,2464.39,-8.27,-0.33,3788.65,0.0,0.0,0.0,21.32,31.15,1.67,1,2801.94,2246.6
2012-09-26,2470.79,2444.01,2477.92,2440.27,-29.03,-1.17,3779.76,0.0,0.0,0.0,15.05,25.78,-6.42,1,2784.13,2232.32
2012-09-27,2444.69,2514.22,2528.47,2444.21,70.22,2.87,6727.57,2632.15,2524.24,2416.33,25.86,25.81,25.96,2,2776.59,2226.28
2012-09-28,2496.93,2557.21,2561.27,2494.9,42.99,1.71,7269.65,2635.3,2527.34,2419.37,49.46,33.69,81.0,2,2771.89,2222.51
2012-10-08,2556.48,2535.01,2570.01,2522.42,-22.21,-0.87,4611.18,2636.23,2528.42,2420.61,57.36,41.58,88.92,2,2771.86,2222.48
2012-10-09,2545.49,2590.08,2595.38,2545.49,55.07,2.17,6879.78,2642.65,2533.79,2424.94,70.44,51.2,108.92,2,2780.78,2229.64
2012-10-10,2583.85,2597.81,2600.92,2574.43,7.73,0.3,6144.13,2648.88,2539.78,2430.68,79.65,60.68,117.58,2,2789.15,2236.34
2012-10-11,2590.3,2573.57,2594.71,2571.6,-24.24,-0.93,5744.55,2651.93,2543.43,2434.94,80.78,67.38,107.58,2,2801.03,2245.87
2012-10-12,2581.81,2576.65,2604.92,2558.47,3.08,0.12,5202.18,2648.18,2542.08,2435.98,81.47,72.08,100.24,2,2813.06,2255.52
2012-10-15,2576.65,2562.64,2577.13,2545.78,-14.01,-0.54,4134.09,2640.86,2539.5,2438.13,79.08,74.41,88.43,2,2822.09,2262.76
2012-10-16,2560.29,2562.05,2579.57,2552.07,-0.59,-0.02,4347.09,2636.42,2537.8,2439.18,77.16,75.33,80.83,2,2831.97,2270.68
2012-10-17,2570.48,2567.52,2577.81,2544.96,5.47,0.21,4528.93,2630.81,2535.95,2441.09,73.44,74.7,70.93,2,2845.68,2281.67
2012-10-18,2573.42,2608.1,2614.04,2572.19,40.58,1.58,7129.85,2635.26,2537.25,2439.23,80.14,76.51,87.38,2,2856.1,2290.03
2012-10-19,2605.99,2604.54,2615.23,2600.76,-3.56,-0.14,5294.33,2636.17,2537.5,2438.83,81.69,78.24,88.58,2,2861.35,2294.24
2012-10-22,2592.04,2614.63,2621.01,2586.96,10.09,0.39,4929.79,2645.68,2541.46,2437.25,84.99,80.49,94.0,2,2870.19,2301.33
2012-10-23,2614.51,2589.18,2618.69,2586.09,-25.45,-0.97,5539.01,2650.57,2545.44,2440.31,76.04,79.01,70.12,2,2870.09,2301.25
2012-10-24,2579.07,2592.49,2603.79,2577.48,3.31,0.13,5698.01,2655.43,2548.94,2442.45,71.53,76.52,61.56,2,2869.5,2300.77
2012-10-25,2590.78,2577.94,2615.67,2576.15,-14.56,-0.56,6795.58,2654.64,2554.51,2454.39,62.14,71.72,42.98,2,2869.99,2301.16
2012-10-26,2575.97,2526.89,2577.37,2515.73,-51.04,-1.98,5962.03,2650.48,2557.44,2464.41,44.96,62.8,9.28,2,2864.46,2296.73
2012-10-29,2520.92,2514.18,2526.44,2504.78,-12.71,-0.5,4053.33,2647.74,2559.09,2470.43,32.67,52.76,-7.51,2,2859.08,2292.42
2012-10-30,2514.94,2518.21,2535.82,2507.86,4.03,0.16,4760.9,2643.15,2561.35,2479.54,25.63,43.72,-10.54,2,2854.22,2288.52
2012-10-31,2519.1,2531.99,2533.32,2509.19,13.78,0.55,5016.85,2629.26,2565.75,2502.23,24.89,37.44,-0.21,2,2850.27,2285.36
2012-11-01,2532.96,2577.34,2585.41,2532.77,45.35,1.79,7159.51,2627.98,2568.9,2509.83,37.4,37.43,37.35,2,2846.86,2282.62
2012-11-02,2578.16,2591.91,2594.91,2565.89,14.57,0.57,6071.83,2630.27,2570.64,2511.0,50.43,41.76,67.77,2,2845.46,2281.49
2012-11-05,2588.5,2590.61,2605.03,2577.9,-1.3,-0.05,5814.42,2631.31,2573.42,2515.53,59.42,47.65,82.97,2,2842.79,2279.36
2012-11-06,2590.3,2578.41,2592.17,2544.47,-12.2,-0.47,5750.58,2630.27,2572.83,2515.39,61.75,52.35,80.55,2,2841.6,2278.4
2012-11-07,2574.69,2573.73,2586.07,2561.19,-4.68,-0.18,4819.09,2627.92,2571.63,2515.33,64.09,56.26,79.75,2,2839.51,2276.73
2012-11-08,2554.65,2526.79,2559.1,2526.79,-46.95,-1.82,5332.46,2628.86,2569.29,2509.72,50.05,54.19,41.76,2,2833.84,2272.18
2012-11-09,2522.39,2523.9,2535.48,2516.51,-2.88,-0.11,4320.04,2629.28,2566.65,2504.03,38.87,49.08,18.43,2,2833.5,2271.91
2012-11-12,2525.99,2541.55,2541.72,2520.87,17.65,0.7,4782.29,2629.16,2565.6,2502.03,37.17,45.11,21.28,2,2836.54,2274.35
2012-11-13,2540.42,2497.05,2540.42,2492.88,-44.5,-1.75,4789.4,2632.6,2562.35,2492.1,26.02,38.75,0.56,2,2834.19,2272.46
2012-11-14,2497.05,2505.94,2508.78,2488.81,8.89,0.36,3772.21,2633.62,2559.27,2484.92,22.26,33.25,0.27,2,2831.3,2270.14
2012-11-15,2494.1,2471.43,2503.05,2471.19,-34.51,-1.38,4016.13,2632.48,2552.44,2472.39,14.9,27.13,-9.57,2,2819.55,2260.72
2012-11-16,2467.18,2455.92,2469.55,2441.15,-15.51,-0.63,4162.73,2631.65,2545.0,2458.36,13.19,22.49,-5.39,2,2804.45,2248.61
2012-11-19,2454.01,2459.67,2461.13,2433.71,3.75,0.15,3687.55,2625.31,2537.26,2449.2,14.47,19.82,3.79,1,2789.92,2236.96
2012-11-20,2465.76,2448.54,2469.51,2447.12,-11.14,-0.45,3416.7,2622.91,2530.22,2437.54,13.59,17.74,5.29,1,2775.5,2225.4
2012-11-21,2449.24,2482.63,2482.98,2435.94,34.1,1.39,4340.34,2615.0,2524.73,2434.47,24.16,19.88,32.72,2,2765.39,2217.29
2012-11-22,2471.24,2465.31,2474.07,2457.6,-17.33,-0.7,3251.85,2609.44,2519.1,2428.76,25.86,21.87,33.83,2,2758.57,2211.82
2012-11-23,2472.2,2480.5,2491.08,2467.66,15.2,0.62,3814.48,2608.57,2516.78,2424.99,31.85,25.2,45.16,2,2753.75,2207.96
