time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,3476.46,3481.65,3489.5,3476.46,0.32,0.01,697.38,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,3476.46,3501.83,3489.5,3476.46,20.18,0.58,1000.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,3505.06,3473.52,3513.02,3471.61,-28.31,-0.81,570.21,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,3471.75,3466.88,3475.44,3453.52,-6.64,-0.19,702.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,3468.52,3493.45,3493.77,3468.52,26.56,0.77,704.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,3505.98,3632.63,3661.57,3505.98,139.18,3.98,2311.66,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,3635.11,3634.69,3641.99,3622.86,2.06,0.06,1081.27,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,3621.03,3609.59,3621.03,3591.25,-25.1,-0.69,876.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,3624.41,3621.27,3640.44,3596.97,11.69,0.32,938.84,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,3616.69,3596.29,3622.34,3595.93,-24.98,-0.69,660.83,0.0,0.0,0.0,0.0,0.0,0.0,2,3941.81,3160.55
2012-09-14,3618.84,3619.67,3636.36,3596.83,23.38,0.65,1177.79,0.0,0.0,0.0,0.0,0.0,0.0,2,3957.13,3172.83
2012-09-17,3612.02,3550.06,3613.76,3547.0,-69.61,-1.92,1299.9,0.0,0.0,0.0,0.0,0.0,0.0,2,3962.48,3177.13
2012-09-18,3536.79,3516.87,3536.79,3507.43,-33.18,-0.93,937.73,0.0,0.0,0.0,0.0,0.0,0.0,2,3967.3,3180.98
2012-09-19,3515.19,3527.15,3529.62,3508.83,10.28,0.29,744.84,0.0,0.0,0.0,0.0,0.0,0.0,2,3973.99,3186.35
2012-09-20,3522.55,3468.14,3522.55,3465.17,-59.01,-1.67,1059.27,0.0,0.0,0.0,0.0,0.0,0.0,2,3971.18,3184.1
2012-09-21,3460.26,3468.65,3487.26,3455.25,0.51,0.01,1172.71,0.0,0.0,0.0,0.0,0.0,0.0,2,3952.97,3169.5
2012-09-24,3453.95,3486.58,3498.33,3435.9,17.94,0.52,992.2,0.0,0.0,0.0,23.33,36.19,-2.39,2,3936.53,3156.32
2012-09-25,3481.26,3483.56,3496.26,3472.74,-3.02,-0.09,732.35,0.0,0.0,0.0,23.48,31.96,6.53,1,3922.54,3145.1
2012-09-26,3482.06,3452.32,3487.0,3449.39,-31.24,-0.9,777.43,0.0,0.0,0.0,18.38,27.43,0.29,1,3903.79,3130.07
2012-09-27,3453.03,3532.01,3568.1,3452.98,79.7,2.31,2125.4,3656.12,3530.84,3405.56,30.27,28.38,34.05,2,3896.66,3124.35
2012-09-28,3518.51,3597.47,3598.65,3511.69,65.46,1.85,1718.71,3662.98,3536.63,3410.28,53.27,36.68,86.46,2,3894.19,3122.37
2012-10-08,3594.8,3558.96,3604.41,3546.27,-38.51,-1.07,731.76,3665.14,3539.49,3413.83,59.86,44.4,90.76,2,3895.18,3123.16
2012-10-09,3569.0,3627.84,3635.7,3569.0,68.88,1.94,1380.57,3674.65,3547.2,3419.76,71.93,53.58,108.63,2,3907.5,3133.04
2012-10-10,3621.78,3627.13,3629.49,3606.82,-0.71,-0.02,772.27,3681.6,3555.22,3428.83,79.85,62.34,114.89,2,3918.6,3141.94
2012-10-11,3621.04,3604.84,3621.97,3602.75,-22.29,-0.61,792.88,3685.6,3560.79,3435.97,81.42,68.7,106.87,2,3933.77,3154.1
2012-10-12,3611.78,3603.19,3638.44,3587.24,-1.65,-0.05,1217.33,3681.37,3559.31,3437.26,81.4,72.93,98.33,2,3948.7,3166.08
2012-10-15,3609.55,3587.98,3609.55,3573.88,-15.22,-0.42,611.29,3674.89,3556.98,3439.07,78.7,74.86,86.4,2,3959.96,3175.1
2012-10-16,3588.27,3592.39,3613.23,3580.85,4.41,0.12,1284.17,3672.72,3556.12,3439.51,77.52,75.74,81.08,2,3972.04,3184.79
2012-10-17,3604.81,3601.98,3609.26,3576.53,9.6,0.27,925.69,3669.89,3555.15,3440.42,75.43,75.64,75.01,2,3988.65,3198.11
2012-10-18,3606.08,3644.97,3651.61,3605.14,42.99,1.19,1363.59,3677.66,3557.59,3437.52,81.52,77.6,89.36,2,4001.19,3208.16
2012-10-19,3642.21,3641.53,3648.6,3636.47,-3.45,-0.09,755.22,3681.36,3558.68,3436.0,83.61,79.6,91.63,2,4006.08,3212.08
2012-10-22,3633.05,3653.23,3656.85,3619.6,11.7,0.32,963.06,3693.13,3563.84,3434.55,87.62,82.28,98.31,2,4016.54,3220.47
2012-10-23,3652.48,3620.57,3653.65,3617.79,-32.66,-0.89,774.54,3698.68,3569.02,3439.37,77.17,80.57,70.37,2,4015.74,3219.83
2012-10-24,3613.48,3614.99,3626.74,3608.27,-5.57,-0.15,682.44,3703.05,3573.42,3443.78,67.96,76.37,51.15,2,4014.39,3218.74
2012-10-25,3615.4,3592.06,3626.71,3590.87,-22.94,-0.63,879.04,3700.05,3579.61,3459.17,52.61,68.45,20.94,2,4012.97,3217.61
2012-10-26,3593.62,3528.7,3594.58,3520.44,-63.35,-1.76,943.86,3694.53,3582.62,3470.7,37.09,58.0,-4.72,2,4004.7,3210.98
2012-10-29,3525.63,3511.98,3529.04,3504.42,-16.73,-0.47,957.27,3691.92,3583.89,3475.85,26.38,47.46,-15.77,2,3996.27,3204.21
2012-10-30,3513.82,3517.78,3533.21,3506.67,5.8,0.17,1238.26,3688.17,3585.6,3483.02,20.51,38.48,-15.42,2,3987.98,3197.57
2012-10-31,3519.89,3532.67,3533.16,3513.15,14.89,0.42,770.1,3676.01,3589.61,3503.22,19.85,32.27,-4.98,2,3980.29,3191.4
2012-11-01,3535.84,3589.99,3598.01,3535.14,57.32,1.62,1163.07,3674.78,3592.51,3510.25,31.95,32.16,31.52,2,3974.19,3186.51
2012-11-02,3590.92,3601.86,3604.85,3575.61,11.87,0.33,803.81,3675.07,3592.73,3510.39,43.06,35.79,57.6,2,3969.79,3182.98
2012-11-05,3597.54,3593.08,3614.34,3582.71,-8.78,-0.24,707.81,3675.31,3594.44,3513.57,52.87,41.49,75.63,2,3963.11,3177.63
