time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2014-01-02,998.35,1001.46,1001.56,995.28,0.0,0.15,414.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2014-01-03,998.07,988.24,998.4,987.2,0.0,-1.32,469.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2014-01-06,984.13,951.51,984.13,951.51,0.0,-3.72,539.21,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2014-01-07,946.15,953.33,956.83,946.15,0.0,0.19,434.06,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2014-01-08,953.88,951.83,961.66,950.82,0.0,-0.16,371.21,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2014-01-09,949.72,943.98,960.44,943.8,0.0,-0.82,488.76,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2014-01-10,939.46,930.18,940.71,928.76,0.0,-1.46,468.12,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2014-01-13,930.99,929.02,938.37,923.94,0.0,-0.12,367.03,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2014-01-14,930.68,942.99,942.99,927.33,0.0,1.5,391.37,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2014-01-15,942.03,952.22,952.31,940.51,0.0,0.98,465.79,0.0,0.0,0.0,0.0,0.0,0.0,2,1059.47,849.48
2014-01-16,951.9,957.06,961.09,951.9,0.0,0.51,392.48,0.0,0.0,0.0,0.0,0.0,0.0,2,1054.54,845.53
2014-01-17,955.63,941.27,956.17,940.98,0.0,-1.65,361.61,0.0,0.0,0.0,0.0,0.0,0.0,2,1049.33,841.35
2014-01-20,943.48,929.22,950.48,926.95,0.0,-1.28,354.4,0.0,0.0,0.0,0.0,0.0,0.0,2,1046.85,839.37
2014-01-21,926.1,938.99,938.99,926.1,0.0,1.05,318.9,0.0,0.0,0.0,0.0,0.0,0.0,2,1045.26,838.09
2014-01-22,939.31,960.96,960.96,939.31,0.0,2.34,548.85,0.0,0.0,0.0,0.0,0.0,0.0,2,1046.27,838.9
2014-01-23,959.29,955.36,963.91,954.97,0.0,-0.58,449.98,0.0,0.0,0.0,0.0,0.0,0.0,2,1047.54,839.92
2014-01-24,953.59,962.5,965.63,953.59,0.0,0.75,527.83,0.0,0.0,0.0,73.94,53.89,114.03,2,1051.12,842.79
2014-01-27,958.74,952.95,958.74,949.58,0.0,-0.99,526.23,0.0,0.0,0.0,71.93,59.91,95.99,2,1053.78,844.92
2014-01-28,949.48,943.0,952.06,938.68,0.0,-1.04,397.55,0.0,0.0,0.0,62.21,60.67,65.27,2,1053.78,844.92
2014-01-29,942.91,942.37,946.33,939.77,0.0,-0.07,417.75,986.38,951.42,916.46,55.19,58.85,47.88,2,1052.69,844.05
2014-01-30,941.53,927.69,941.53,927.69,0.0,-1.56,341.29,975.65,947.73,919.81,38.13,51.94,10.52,2,1049.43,841.43
2014-02-07,923.04,940.71,940.71,923.04,0.0,1.4,358.39,966.3,945.36,924.41,39.25,47.71,22.33,2,1049.37,841.38
2014-02-10,943.65,970.25,970.25,943.65,0.0,3.14,653.61,969.78,946.29,922.81,59.5,51.64,75.22,2,1053.92,845.04
2014-02-11,971.61,971.5,975.16,965.39,0.0,0.13,650.09,973.0,947.2,921.41,70.66,57.98,96.02,2,1057.53,847.93
2014-02-12,971.98,991.6,991.6,967.52,0.0,2.07,827.26,981.43,949.19,916.95,80.44,65.47,110.39,2,1060.93,850.66
2014-02-13,988.58,974.37,988.58,973.66,0.0,-1.74,728.94,984.65,950.71,916.78,78.58,69.84,96.07,2,1063.04,852.35
2014-02-14,974.11,981.46,981.85,973.56,0.0,0.73,547.23,988.35,953.27,918.2,80.79,73.49,95.4,2,1065.14,854.04
2014-02-17,985.29,987.57,987.57,979.73,0.0,0.62,646.2,992.44,956.2,919.96,85.24,77.41,100.9,2,1068.99,857.12
2014-02-18,989.2,983.79,991.19,981.81,0.0,-0.38,829.19,995.85,958.24,920.64,86.36,80.39,98.3,2,1073.52,860.75
2014-02-19,981.6,992.4,992.64,981.47,0.0,0.88,805.09,1000.55,960.25,919.95,90.79,83.86,104.66,2,1079.07,865.2
2014-02-20,992.94,984.54,995.76,978.77,0.0,-0.79,756.43,1003.25,961.62,920.0,86.68,84.8,90.45,2,1085.38,870.26
2014-02-21,982.62,976.78,984.75,972.13,0.0,-0.79,603.21,1004.42,963.4,922.38,70.29,79.96,50.95,2,1089.38,873.47
2014-02-24,971.13,959.88,971.13,951.2,0.0,-1.73,663.15,1002.91,964.93,926.96,53.35,71.09,17.87,2,1088.23,872.55
