time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,3357.56,3358.69,3379.15,3344.41,-9.06,-0.27,435.23,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,3358.52,3409.14,3419.19,3353.78,50.44,1.5,673.02,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,3412.15,3369.15,3421.66,3364.36,-39.98,-1.17,603.16,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,3357.18,3374.26,3392.37,3344.62,5.1,0.15,588.13,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,3383.7,3418.56,3419.32,3379.93,44.3,1.31,565.52,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,3447.02,3593.88,3635.33,3447.02,175.33,5.13,1819.37,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,3608.47,3644.72,3664.68,3590.23,50.83,1.41,1527.98,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,3621.48,3621.47,3621.59,3587.17,-23.25,-0.64,975.69,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,3648.29,3665.48,3694.74,3623.38,44.01,1.22,1206.83,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,3662.75,3597.61,3672.04,3597.39,-67.87,-1.85,885.38,0.0,0.0,0.0,0.0,0.0,0.0,2,3890.88,3119.71
2012-09-14,3689.42,3656.65,3719.33,3630.81,59.04,1.64,1597.7,0.0,0.0,0.0,0.0,0.0,0.0,2,3923.95,3146.23
2012-09-17,3654.83,3564.85,3675.69,3563.8,-91.81,-2.51,1169.12,0.0,0.0,0.0,0.0,0.0,0.0,2,3941.24,3160.09
2012-09-18,3533.28,3502.97,3537.02,3484.15,-61.87,-1.74,776.82,0.0,0.0,0.0,0.0,0.0,0.0,2,3956.09,3172.0
2012-09-19,3506.59,3561.69,3563.3,3487.29,58.72,1.68,914.1,0.0,0.0,0.0,0.0,0.0,0.0,2,3976.89,3188.68
