time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2013-01-04,1006.7,988.01,1006.7,977.61,-11.99,-1.2,339.29,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-07,983.77,997.14,998.37,980.68,9.13,0.92,443.24,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-08,996.09,1020.88,1024.84,995.48,23.74,2.38,422.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-09,1019.67,1034.65,1040.88,1018.91,13.77,1.35,418.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-10,1030.68,1039.66,1042.51,1029.84,5.01,0.48,304.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-11,1044.58,1038.04,1055.8,1035.1,-1.62,-0.16,524.65,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-14,1035.71,1080.46,1080.46,1035.71,42.42,4.09,522.1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-15,1084.42,1101.97,1105.41,1084.42,21.51,1.99,478.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-16,1098.31,1102.66,1108.31,1082.66,0.69,0.06,612.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-17,1096.76,1077.37,1097.19,1075.05,-25.29,-2.29,345.33,0.0,0.0,0.0,0.0,0.0,0.0,2,1163.37,932.79
2013-01-18,1084.45,1091.19,1094.18,1074.77,13.82,1.28,382.59,0.0,0.0,0.0,0.0,0.0,0.0,2,1174.83,941.98
2013-01-21,1089.58,1095.51,1100.15,1083.56,4.32,0.4,320.97,0.0,0.0,0.0,0.0,0.0,0.0,2,1185.75,950.73
2013-01-22,1094.8,1077.92,1096.0,1069.22,-17.59,-1.61,366.63,0.0,0.0,0.0,0.0,0.0,0.0,2,1192.08,955.81
2013-01-23,1075.23,1089.72,1089.72,1066.59,11.8,1.09,307.06,0.0,0.0,0.0,0.0,0.0,0.0,2,1198.19,960.71
2013-01-24,1087.8,1062.57,1095.74,1055.12,-27.15,-2.49,353.81,0.0,0.0,0.0,0.0,0.0,0.0,2,1200.73,962.75
2013-01-25,1062.75,1060.0,1067.27,1056.45,-2.57,-0.24,186.83,0.0,0.0,0.0,0.0,0.0,0.0,2,1203.17,964.7
2013-01-28,1064.1,1092.09,1092.34,1063.68,32.09,3.03,249.03,0.0,0.0,0.0,53.99,64.85,32.26,2,1204.46,965.74
