time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,3229.35,3260.66,3264.84,3212.31,63.16,1.98,1918.45,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,3244.83,3262.41,3277.79,3230.72,1.75,0.05,2151.12,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,3265.84,3246.12,3290.23,3238.03,-16.29,-0.5,1403.29,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,3244.48,3259.78,3311.27,3230.59,13.66,0.42,2128.87,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,3253.64,3192.15,3279.27,3187.02,-67.63,-2.07,1444.81,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,3180.09,3212.16,3219.57,3164.78,20.01,0.63,1327.24,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,3223.2,3237.28,3244.73,3182.12,25.12,0.78,1345.77,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,3248.48,3238.36,3255.77,3222.73,1.08,0.03,1052.85,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,3226.89,3187.55,3226.89,3177.08,-50.81,-1.57,1064.99,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,3156.9,3049.31,3165.75,3041.18,-138.24,-4.34,1405.75,0.0,0.0,0.0,0.0,0.0,0.0,2,3568.18,2860.97
2011-01-18,3042.35,3063.14,3068.08,3023.45,13.83,0.45,910.48,0.0,0.0,0.0,0.0,0.0,0.0,2,3546.26,2843.4
2011-01-19,3065.33,3137.25,3137.25,3050.88,74.11,2.42,1212.79,0.0,0.0,0.0,0.0,0.0,0.0,2,3532.36,2832.26
2011-01-20,3125.65,3025.72,3125.65,3025.26,-111.53,-3.56,1106.66,0.0,0.0,0.0,0.0,0.0,0.0,2,3507.9,2812.64
2011-01-21,3017.08,3064.45,3120.19,3010.61,38.73,1.28,1568.14,0.0,0.0,0.0,0.0,0.0,0.0,2,3486.22,2795.26
2011-01-24,3065.7,3027.72,3081.51,3014.79,-36.73,-1.2,1308.51,0.0,0.0,0.0,0.0,0.0,0.0,2,3467.97,2780.62
2011-01-25,3021.41,3015.12,3032.84,2990.45,-12.6,-0.42,913.38,0.0,0.0,0.0,0.0,0.0,0.0,2,3446.09,2763.09
2011-01-26,3017.07,3055.81,3060.82,3017.07,40.69,1.35,843.51,0.0,0.0,0.0,17.36,14.97,22.14,2,3425.95,2746.93
2011-01-27,3025.62,3105.58,3120.1,3000.95,49.77,1.63,1718.65,0.0,0.0,0.0,33.46,21.13,58.13,2,3411.21,2735.12
2011-01-28,3098.11,3123.18,3133.88,3093.2,17.6,0.57,1582.87,0.0,0.0,0.0,52.45,31.57,94.2,2,3404.07,2729.39
2011-01-31,3123.66,3160.85,3161.93,3113.38,37.67,1.21,1501.66,3321.62,3146.23,2970.84,68.09,43.74,116.78,2,3416.45,2739.31
2011-02-01,3164.7,3159.82,3173.71,3141.6,-1.03,-0.03,1072.05,3308.75,3141.19,2973.63,76.2,54.56,119.47,2,3427.18,2747.92
2011-02-09,3131.18,3102.4,3164.1,3098.1,-57.42,-1.82,1270.25,3291.88,3133.19,2974.5,71.16,60.1,93.3,2,3423.31,2744.82
2011-02-10,3096.3,3184.43,3186.65,3084.78,82.03,2.64,1494.78,3282.15,3130.1,2978.05,80.4,66.86,107.47,2,3440.93,2758.94
2011-02-11,3178.34,3215.35,3230.25,3171.71,30.92,0.97,1785.1,3273.45,3127.88,2982.32,84.86,72.86,108.86,2,3457.68,2772.37
2011-02-14,3220.07,3306.97,3318.35,3220.07,91.62,2.85,2326.46,3296.86,3133.62,2970.39,88.71,78.15,109.85,2,3488.68,2797.23
2011-02-15,3311.9,3292.33,3333.74,3291.0,-14.64,-0.44,2090.96,3311.95,3137.63,2963.32,88.33,81.54,101.9,2,3519.45,2821.9
2011-02-16,3284.01,3326.64,3326.64,3267.96,34.31,1.04,1973.31,3330.42,3142.1,2953.78,91.27,84.78,104.24,2,3549.51,2846.0
2011-02-17,3331.96,3321.11,3341.18,3291.21,-5.53,-0.17,1813.8,3346.12,3146.24,2946.36,91.57,87.04,100.62,2,3573.43,2865.18
2011-02-18,3314.77,3283.37,3321.84,3277.55,-37.74,-1.14,1526.65,3359.07,3151.03,2942.99,86.86,86.98,86.62,2,3591.21,2879.44
2011-02-21,3260.69,3320.18,3321.6,3257.8,36.81,1.12,1521.34,3379.51,3164.57,2949.63,88.51,87.49,90.55,2,3608.9,2893.62
2011-02-22,3331.51,3223.46,3332.01,3221.69,-96.72,-2.91,2112.11,3383.72,3172.59,2961.45,77.04,84.01,63.1,2,3615.96,2899.29
2011-02-23,3215.55,3231.33,3240.02,3203.37,7.87,0.24,1506.99,3389.26,3177.29,2965.32,63.09,77.03,35.19,2,3630.27,2910.76
2011-02-24,3228.87,3243.63,3251.98,3212.05,12.3,0.38,1243.51,3390.03,3188.19,2986.34,51.79,68.62,18.14,2,3636.85,2916.03
2011-02-25,3244.28,3248.42,3269.08,3215.46,4.79,0.15,1173.8,3392.49,3197.39,3002.28,45.43,60.89,14.5,2,3640.52,2918.97
2011-02-28,3250.94,3302.1,3304.61,3229.73,53.68,1.65,1684.19,3394.81,3211.1,3027.4,54.17,58.65,45.2,2,3639.98,2918.54
2011-03-01,3305.86,3325.35,3344.9,3299.04,23.25,0.7,2190.86,3393.09,3226.62,3060.14,64.84,60.71,73.09,2,3643.64,2921.48
2011-03-02,3311.61,3324.94,3333.95,3275.74,-0.41,-0.01,2116.9,3392.02,3240.07,3088.12,71.86,64.43,86.72,2,3643.45,2921.33
2011-03-03,3329.3,3296.39,3348.61,3295.55,-28.55,-0.86,2109.31,3390.12,3249.61,3109.11,69.25,66.04,75.69,2,3640.71,2919.13
2011-03-04,3294.74,3339.57,3346.87,3288.06,43.18,1.31,1774.79,3393.45,3260.43,3127.41,77.43,69.83,92.62,2,3646.95,2924.13
2011-03-07,3358.39,3405.38,3406.12,3358.39,65.81,1.97,2557.26,3411.64,3272.66,3133.68,84.83,74.83,104.83,2,3656.4,2931.71
