time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,1038.16,1037.23,1043.83,1036.2,-4.57,-0.44,1051.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,1035.88,1045.0,1049.85,1033.77,7.77,0.75,1557.65,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,1043.92,1033.39,1046.18,1030.86,-11.61,-1.11,1350.89,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,1031.34,1032.79,1036.65,1027.16,-0.6,-0.06,1342.98,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,1035.22,1040.41,1041.4,1033.95,7.61,0.74,1300.23,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,1047.02,1084.24,1095.06,1047.02,43.84,4.21,3976.86,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,1083.62,1084.46,1088.46,1079.41,0.22,0.02,2224.22,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,1081.32,1076.64,1081.32,1069.3,-7.82,-0.72,1670.64,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,1082.29,1078.13,1087.69,1068.88,1.49,0.14,1962.12,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,1076.12,1073.31,1082.83,1073.03,-4.82,-0.45,1767.87,0.0,0.0,0.0,0.0,0.0,0.0,2,1175.0,942.12
2012-09-14,1081.7,1078.09,1086.28,1071.29,4.79,0.45,2225.19,0.0,0.0,0.0,0.0,0.0,0.0,2,1179.54,945.75
2012-09-17,1076.38,1052.86,1077.58,1052.25,-25.24,-2.34,1795.36,0.0,0.0,0.0,0.0,0.0,0.0,2,1180.41,946.45
2012-09-18,1049.25,1041.44,1050.24,1038.97,-11.42,-1.08,1209.94,0.0,0.0,0.0,0.0,0.0,0.0,2,1181.3,947.17
2012-09-19,1042.39,1044.63,1047.22,1038.46,3.19,0.31,1243.43,0.0,0.0,0.0,0.0,0.0,0.0,2,1182.62,948.22
2012-09-20,1040.99,1024.56,1041.14,1023.69,-20.07,-1.92,1669.03,0.0,0.0,0.0,0.0,0.0,0.0,2,1180.86,946.81
2012-09-21,1021.97,1027.64,1034.49,1021.14,3.08,0.3,1533.24,0.0,0.0,0.0,0.0,0.0,0.0,2,1174.58,941.78
2012-09-24,1022.16,1032.3,1037.11,1016.39,4.66,0.45,1405.71,0.0,0.0,0.0,21.48,32.45,-0.47,2,1168.79,937.13
2012-09-25,1029.67,1030.81,1035.15,1027.02,-1.5,-0.14,1011.8,0.0,0.0,0.0,21.2,28.7,6.19,1,1163.7,933.06
2012-09-26,1030.38,1020.55,1032.85,1018.97,-10.26,-1.0,1024.55,0.0,0.0,0.0,16.11,24.5,-0.67,1,1157.31,927.93
2012-09-27,1021.06,1052.31,1057.87,1020.76,31.76,3.11,2062.92,1091.62,1049.54,1007.46,30.31,26.44,38.05,2,1154.98,926.06
2012-09-28,1043.83,1069.47,1071.93,1043.47,17.17,1.63,2236.58,1093.69,1051.15,1008.62,52.06,34.98,86.23,2,1154.02,925.29
2012-10-08,1068.67,1059.22,1076.1,1053.04,-10.26,-0.96,1297.14,1094.44,1051.86,1009.29,58.62,42.86,90.14,2,1154.73,925.86
2012-10-09,1064.91,1080.88,1085.35,1064.6,21.67,2.05,1991.25,1097.71,1054.24,1010.76,70.25,51.99,106.77,2,1159.1,929.37
2012-10-10,1078.73,1081.36,1082.43,1072.39,0.48,0.04,1490.88,1100.5,1056.67,1012.83,78.24,60.74,113.24,2,1163.18,932.64
2012-10-11,1078.37,1073.94,1081.36,1071.77,-7.42,-0.69,1549.42,1102.13,1058.34,1014.55,79.98,67.15,105.63,2,1168.66,937.03
2012-10-12,1077.81,1075.48,1087.2,1067.83,1.54,0.14,1406.38,1100.81,1057.9,1014.99,80.93,71.74,99.29,2,1173.97,941.29
2012-10-15,1076.01,1071.33,1076.43,1064.64,-4.15,-0.39,1017.37,1098.9,1057.25,1015.6,79.53,74.34,89.91,2,1178.3,944.77
2012-10-16,1070.95,1069.55,1076.82,1066.58,-1.78,-0.17,1050.69,1097.99,1056.89,1015.79,77.5,75.39,81.71,2,1182.6,948.21
2012-10-17,1073.95,1071.49,1076.68,1062.45,1.94,0.18,1254.01,1097.07,1056.56,1016.05,73.02,74.6,69.87,2,1188.26,952.75
2012-10-18,1074.96,1087.93,1090.93,1073.79,16.43,1.53,1896.92,1099.48,1057.29,1015.11,79.38,76.19,85.74,2,1192.21,955.92
2012-10-19,1086.84,1087.01,1090.44,1085.33,-0.91,-0.08,1340.54,1100.97,1057.74,1014.51,81.66,78.02,88.96,2,1194.16,957.48
2012-10-22,1082.28,1090.7,1094.22,1079.72,3.69,0.34,1310.41,1105.1,1059.63,1014.16,84.08,80.04,92.17,2,1197.65,960.28
2012-10-23,1090.44,1080.2,1093.27,1078.78,-10.5,-0.96,1348.01,1107.07,1061.57,1016.06,74.68,78.25,67.53,2,1197.58,960.22
2012-10-24,1076.84,1081.84,1086.45,1076.13,1.64,0.15,1367.07,1109.05,1063.43,1017.8,70.13,75.54,59.3,2,1197.63,960.26
2012-10-25,1081.11,1076.04,1090.69,1075.39,-5.81,-0.54,1908.22,1108.25,1066.0,1023.76,61.01,70.7,41.63,2,1197.86,960.45
2012-10-26,1075.42,1057.51,1076.3,1052.15,-18.53,-1.72,1631.62,1106.17,1067.5,1028.82,44.92,62.11,10.55,2,1195.87,958.85
2012-10-29,1055.28,1050.73,1056.96,1047.06,-6.78,-0.64,1045.76,1104.49,1068.42,1032.35,32.54,52.25,-6.88,2,1193.58,957.02
2012-10-30,1051.14,1053.52,1060.59,1047.91,2.79,0.27,1343.51,1102.07,1069.55,1037.04,26.26,43.59,-8.4,2,1191.8,955.59
2012-10-31,1053.34,1056.8,1057.97,1049.35,3.28,0.31,1493.42,1095.79,1071.37,1046.94,24.39,37.19,-1.2,2,1190.17,954.28
2012-11-01,1057.3,1076.98,1080.88,1057.29,20.18,1.91,2077.53,1095.49,1072.6,1049.71,37.41,37.26,37.7,2,1188.96,953.31
2012-11-02,1077.38,1084.1,1085.56,1072.37,7.13,0.66,1602.04,1096.71,1073.33,1049.95,51.66,42.06,70.85,2,1188.63,953.05
2012-11-05,1082.81,1082.5,1089.38,1076.34,-1.6,-0.15,1683.95,1097.25,1074.49,1051.73,61.51,48.55,87.45,2,1187.72,952.32
2012-11-06,1082.4,1078.2,1083.63,1062.91,-4.3,-0.4,1446.05,1097.0,1074.36,1051.72,64.8,53.96,86.47,2,1187.5,952.14
2012-11-07,1075.82,1073.93,1079.8,1068.73,-4.27,-0.4,1297.23,1096.4,1073.99,1051.58,64.36,57.43,78.23,2,1186.62,951.44
2012-11-08,1066.7,1056.96,1068.71,1056.29,-16.96,-1.58,1403.06,1096.75,1073.14,1049.53,50.71,55.19,41.74,2,1184.51,949.74
2012-11-09,1054.98,1054.54,1059.5,1051.57,-2.43,-0.23,1481.38,1097.01,1072.09,1047.17,39.13,49.84,17.73,2,1184.18,949.48
2012-11-12,1055.02,1061.98,1062.07,1053.13,7.44,0.71,1600.33,1096.93,1071.63,1046.32,36.61,45.43,18.96,2,1185.43,950.48
2012-11-13,1061.33,1045.07,1061.33,1042.08,-16.9,-1.59,1396.96,1098.24,1070.4,1042.57,26.51,39.12,1.29,2,1184.49,949.72
2012-11-14,1044.69,1047.99,1048.74,1040.46,2.92,0.28,1188.39,1098.71,1069.23,1039.74,22.81,33.68,1.05,2,1183.51,948.94
2012-11-15,1042.33,1033.63,1045.98,1033.37,-14.36,-1.37,1264.01,1098.5,1066.51,1034.52,15.36,27.57,-9.08,2,1178.7,945.08
2012-11-16,1031.65,1026.72,1032.9,1019.61,-6.91,-0.67,1324.47,1098.42,1063.5,1028.57,13.94,23.03,-4.24,2,1172.33,939.98
2012-11-19,1025.78,1026.63,1028.53,1017.67,-0.09,-0.01,1089.06,1096.38,1060.29,1024.2,14.1,20.05,2.2,1,1166.13,935.0
2012-11-20,1029.46,1022.14,1031.06,1020.91,-4.49,-0.44,931.14,1095.87,1057.39,1018.91,12.32,17.48,2.01,1,1159.9,930.01
2012-11-21,1022.5,1035.97,1036.64,1017.57,13.83,1.35,1154.62,1092.94,1055.1,1017.26,22.0,18.98,28.02,2,1155.69,926.64
2012-11-22,1031.55,1030.66,1034.33,1027.23,-5.32,-0.51,874.1,1090.81,1052.83,1014.84,24.47,20.81,31.78,2,1152.77,924.29
2012-11-23,1034.45,1037.14,1040.75,1030.77,6.48,0.63,1176.17,1090.33,1051.81,1013.29,31.22,24.28,45.1,2,1150.84,922.75
2012-11-26,1034.56,1032.5,1037.35,1030.07,-4.63,-0.45,947.32,1090.33,1050.9,1011.47,36.78,28.45,53.44,2,1147.57,920.12
2012-11-27,1029.66,1024.21,1032.47,1023.74,-8.29,-0.8,1342.21,1090.51,1049.43,1008.36,32.31,29.73,37.46,2,1145.25,918.27
2012-11-28,1020.79,1014.62,1021.92,1013.0,-9.59,-0.94,1269.83,1090.92,1047.32,1003.72,23.49,27.65,15.15,2,1141.55,915.3
2012-11-29,1014.36,1009.98,1018.8,1009.44,-4.64,-0.46,1280.55,1088.23,1043.97,999.71,16.23,23.85,1.01,2,1138.92,913.19
2012-11-30,1009.7,1021.4,1024.38,1008.44,11.42,1.13,1627.81,1082.06,1040.84,999.61,24.19,23.96,24.65,2,1138.33,912.72
2012-12-03,1020.46,1018.74,1030.69,1018.26,-2.66,-0.26,1813.34,1075.19,1037.65,1000.11,26.75,24.89,30.48,2,1137.46,912.02
2012-12-04,1018.41,1028.36,1030.03,1017.58,9.62,0.94,1570.83,1067.91,1035.16,1002.4,38.39,29.39,56.38,2,1138.15,912.57
2012-12-05,1027.39,1059.27,1066.32,1026.27,30.91,3.01,3557.68,1064.2,1034.43,1004.65,54.86,37.88,88.83,2,1140.73,914.64
2012-12-06,1058.73,1059.02,1064.14,1053.98,-0.25,-0.02,2024.41,1064.63,1034.53,1004.43,65.71,47.16,102.8,2,1143.88,917.17
2012-12-07,1058.87,1074.34,1076.72,1055.89,15.33,1.45,3217.13,1069.26,1035.52,1001.77,75.98,56.76,114.4,2,1148.01,920.48
2012-12-10,1079.24,1086.41,1088.96,1077.51,12.07,1.12,3135.3,1075.61,1036.74,997.87,82.93,65.48,117.81,2,1153.99,925.28
2012-12-11,1082.73,1079.32,1085.74,1077.14,-7.09,-0.65,2051.34,1081.44,1038.45,995.47,84.63,71.87,110.15,2,1160.11,930.18
2012-12-12,1078.92,1082.5,1086.58,1075.17,3.18,0.29,1873.71,1087.14,1040.18,993.21,87.08,76.94,107.36,2,1167.65,936.22
2012-12-13,1079.51,1074.07,1081.28,1073.45,-8.43,-0.78,1643.41,1091.3,1042.2,993.1,84.43,79.43,94.43,2,1174.76,941.93
2012-12-14,1076.4,1125.7,1127.0,1076.09,51.63,4.81,4764.89,1107.64,1047.15,986.66,89.23,82.7,102.28,2,1186.34,951.21
2012-12-17,1126.49,1127.41,1137.35,1125.4,1.72,0.15,4018.6,1121.19,1052.19,983.18,89.83,85.08,99.35,2,1198.4,960.88
2012-12-18,1125.37,1127.01,1141.64,1119.04,-0.41,-0.04,3598.67,1132.2,1057.43,982.66,87.66,85.94,91.1,2,1209.35,969.66
2012-12-19,1125.23,1127.75,1135.37,1120.65,0.74,0.07,2579.15,1142.04,1062.02,982.0,86.37,86.08,86.95,2,1216.95,975.75
2012-12-20,1123.28,1134.56,1138.36,1117.94,6.82,0.6,2524.93,1151.78,1067.22,982.65,87.45,86.54,89.28,2,1225.34,982.48
2012-12-21,1135.1,1125.2,1147.41,1123.05,-9.36,-0.82,2798.92,1158.6,1071.62,984.64,81.63,84.9,75.08,2,1230.98,987.0
2012-12-24,1125.34,1133.19,1140.38,1124.54,7.99,0.71,1936.83,1165.62,1076.65,987.68,81.34,83.72,76.6,2,1236.17,991.17
2012-12-25,1130.35,1167.92,1173.03,1127.23,34.72,3.06,3850.05,1177.78,1083.84,989.9,85.85,84.43,88.7,2,1246.01,999.05
2012-12-26,1166.88,1169.72,1172.14,1164.78,1.8,0.15,2753.07,1187.0,1091.59,996.19,89.43,86.09,96.1,2,1255.69,1006.82
2012-12-27,1173.02,1164.02,1180.82,1163.41,-5.7,-0.49,2777.87,1191.93,1099.3,1006.66,84.05,85.41,81.32,2,1265.68,1014.82
2012-12-28,1165.71,1181.79,1182.94,1162.97,17.78,1.53,2649.92,1199.36,1107.32,1015.27,88.77,86.53,93.26,2,1271.9,1019.81
2012-12-31,1183.04,1207.55,1207.77,1183.04,25.76,2.18,3595.5,1209.25,1116.76,1024.26,92.43,88.5,100.3,2,1280.8,1026.95
2013-01-04,1220.47,1212.82,1224.19,1199.56,5.27,0.44,4628.31,1218.16,1125.98,1033.79,91.39,89.46,95.24,2,1290.32,1034.58
2013-01-07,1210.1,1213.49,1220.82,1206.21,0.67,0.06,3064.05,1228.04,1133.69,1039.34,90.73,89.89,92.43,2,1299.84,1042.21
2013-01-08,1213.66,1205.89,1216.76,1198.07,-7.6,-0.63,2979.62,1233.84,1141.03,1048.22,87.7,89.16,84.79,0,1307.76,1048.56
2013-01-09,1202.69,1202.21,1207.83,1193.8,-3.68,-0.31,2824.68,1238.58,1147.43,1056.27,84.24,87.52,77.69,2,1316.3,1055.42
2013-01-10,1202.39,1205.92,1213.81,1197.31,3.72,0.31,2996.86,1243.43,1153.4,1063.37,79.55,84.86,68.92,2,1324.38,1061.89
2013-01-11,1206.8,1185.54,1209.35,1181.14,-20.39,-1.69,3143.39,1242.99,1158.71,1074.44,65.32,78.35,39.27,2,1326.33,1063.46
2013-01-14,1182.1,1225.81,1230.02,1181.73,40.27,3.4,4043.35,1247.34,1165.88,1084.42,74.79,77.16,70.04,2,1332.56,1068.45
2013-01-15,1226.18,1229.06,1233.13,1224.33,3.25,0.27,3979.15,1247.84,1173.63,1099.41,80.58,78.3,85.14,2,1339.78,1074.24
2013-01-16,1227.42,1219.05,1230.84,1203.35,-10.01,-0.81,3562.99,1251.6,1178.3,1104.99,78.03,78.21,77.66,2,1343.91,1077.55
2013-01-17,1216.54,1204.08,1217.16,1199.43,-14.97,-1.23,2772.49,1252.34,1182.13,1111.91,66.73,74.38,51.41,2,1343.53,1077.24
2013-01-18,1211.67,1222.26,1226.88,1205.03,18.18,1.51,3228.8,1254.37,1186.89,1119.41,70.85,73.2,66.14,2,1344.58,1078.08
2013-01-21,1231.27,1230.19,1232.9,1222.06,7.93,0.65,3604.99,1256.23,1192.01,1127.79,78.68,75.03,85.98,2,1346.43,1079.57
2013-01-22,1232.69,1228.76,1240.67,1218.73,-1.42,-0.12,5011.7,1257.1,1196.72,1136.35,79.12,76.39,84.57,2,1348.97,1081.61
2013-01-23,1226.23,1232.38,1236.63,1219.68,3.62,0.29,3435.35,1254.63,1202.08,1149.53,81.44,78.07,88.16,2,1352.32,1084.29
2013-01-24,1231.44,1224.64,1260.66,1216.64,-7.74,-0.63,4983.47,1249.44,1206.66,1163.87,72.41,76.19,64.86,2,1354.4,1085.96
2013-01-25,1225.0,1214.01,1227.67,1212.97,-10.63,-0.87,2623.67,1247.95,1208.96,1169.97,56.21,69.53,29.58,2,1357.56,1088.49
2013-01-28,1216.97,1248.82,1248.83,1216.91,34.81,2.87,3948.73,1251.22,1212.91,1174.61,64.36,67.81,57.47,2,1360.11,1090.54
2013-01-29,1250.56,1258.43,1261.98,1247.75,9.61,0.77,4421.87,1253.89,1217.63,1181.38,74.35,69.99,83.07,2,1363.37,1093.15
2013-01-30,1259.99,1269.86,1270.6,1252.39,11.43,0.91,4668.94,1261.1,1222.04,1182.98,82.52,74.17,99.24,2,1369.01,1097.68
2013-01-31,1270.57,1266.62,1273.39,1260.53,-3.23,-0.25,4753.93,1267.96,1224.99,1182.03,84.61,77.65,98.54,2,1375.95,1103.24
2013-02-01,1262.67,1285.9,1286.69,1257.23,19.28,1.52,4439.93,1278.7,1228.65,1178.6,89.39,81.56,105.03,2,1383.02,1108.91
2013-02-04,1287.66,1286.46,1293.22,1278.38,0.56,0.04,5399.11,1287.74,1232.29,1176.85,90.12,84.41,101.52,2,1389.26,1113.91
2013-02-05,1277.54,1294.2,1299.55,1274.33,7.74,0.6,5926.12,1296.9,1236.71,1176.52,91.35,86.73,100.6,2,1396.53,1119.74
2013-02-06,1294.11,1290.94,1297.11,1286.54,-3.26,-0.25,3776.77,1303.55,1241.15,1178.74,90.92,88.12,96.51,2,1403.03,1124.95
2013-02-07,1288.85,1283.22,1290.07,1268.99,-7.71,-0.6,3942.12,1307.79,1245.01,1182.24,87.36,87.87,86.34,2,1409.53,1130.16
2013-02-08,1281.67,1289.02,1296.08,1280.04,5.79,0.45,3260.35,1309.46,1250.19,1190.91,84.8,86.84,80.7,2,1417.86,1136.84
2013-02-18,1295.1,1275.12,1296.71,1273.17,-13.9,-1.08,3173.46,1311.77,1252.65,1193.53,72.6,82.1,53.6,2,1420.77,1139.18
2013-02-19,1274.67,1250.13,1277.51,1245.52,-24.99,-1.96,3403.46,1311.85,1253.7,1195.56,51.24,71.81,10.1,2,1419.85,1138.44
2013-02-20,1251.01,1259.04,1259.49,1241.45,8.91,0.71,2875.5,1311.65,1255.7,1199.76,44.25,62.63,7.51,2,1418.65,1137.48
2013-02-21,1247.91,1217.79,1247.91,1207.03,-41.25,-3.28,4096.84,1310.08,1256.39,1202.7,33.38,52.88,-5.62,2,1413.23,1133.13
2013-02-22,1217.43,1209.37,1220.87,1206.93,-8.42,-0.69,2422.98,1311.33,1255.74,1200.16,23.13,42.96,-16.53,2,1404.74,1126.32
2013-02-25,1214.33,1210.1,1222.58,1203.85,0.73,0.06,2134.99,1312.81,1254.74,1196.67,17.65,34.53,-16.09,2,1396.26,1119.52
2013-02-26,1202.02,1189.89,1220.15,1187.56,-20.21,-1.67,3160.87,1316.54,1252.8,1189.05,12.48,27.18,-16.91,2,1384.68,1110.24
2013-02-27,1193.59,1205.8,1210.86,1192.56,15.91,1.34,2568.24,1317.91,1251.47,1185.03,13.89,22.75,-3.82,2,1375.23,1102.66
2013-02-28,1212.38,1238.53,1239.06,1206.44,32.73,2.71,3434.0,1317.75,1252.16,1186.57,24.83,23.44,27.6,2,1370.27,1098.69
2013-03-01,1238.36,1232.53,1242.03,1214.9,-6.0,-0.48,2767.39,1317.0,1253.09,1189.18,33.22,26.7,46.25,2,1364.0,1093.66
2013-03-04,1207.81,1177.11,1211.66,1170.79,-55.42,-4.5,4755.43,1321.5,1249.5,1177.5,24.52,25.97,21.61,2,1353.12,1084.94
2013-03-05,1178.63,1208.9,1210.25,1174.31,31.79,2.7,3618.58,1321.01,1247.03,1173.04,32.82,28.25,41.95,2,1348.55,1081.27
2013-03-06,1213.8,1220.43,1223.52,1208.24,11.53,0.95,3505.73,1318.62,1244.55,1170.49,45.11,33.87,67.57,2,1344.26,1077.83
2013-03-07,1215.92,1205.79,1221.8,1195.17,-14.64,-1.2,3208.05,1316.7,1241.51,1166.33,46.45,38.06,63.21,2,1342.93,1076.76
2013-03-08,1207.84,1201.73,1212.04,1199.19,-4.06,-0.34,2016.41,1311.49,1237.3,1163.12,45.44,40.52,55.28,2,1342.08,1076.08
2013-03-11,1198.66,1198.65,1205.7,1189.5,-3.09,-0.26,1781.29,1305.32,1232.91,1160.51,43.33,41.46,47.07,2,1340.81,1075.06
2013-03-12,1197.74,1188.09,1213.08,1178.88,-10.55,-0.88,2706.66,1296.75,1227.61,1158.47,36.98,39.97,31.01,2,1340.61,1074.9
2013-03-13,1186.07,1170.57,1186.24,1164.91,-17.53,-1.48,2257.34,1288.55,1221.59,1154.63,27.1,35.68,9.95,2,1336.7,1071.77
2013-03-14,1164.65,1171.07,1177.74,1163.36,0.5,0.04,1754.2,1280.09,1215.98,1151.88,22.34,31.23,4.55,2,1329.21,1065.76
2013-03-15,1172.07,1171.0,1196.86,1156.24,-0.07,-0.01,3163.71,1267.59,1210.08,1152.57,22.21,28.22,10.17,2,1322.38,1060.29
2013-03-18,1165.79,1154.85,1173.58,1153.7,-16.15,-1.38,2410.1,1258.17,1204.07,1149.97,15.35,23.93,-1.81,2,1319.91,1058.31
2013-03-19,1157.03,1165.25,1170.16,1152.71,10.4,0.9,2166.13,1252.09,1199.82,1147.55,16.29,21.38,6.09,2,1315.06,1054.42
2013-03-20,1166.38,1198.86,1200.44,1166.1,33.61,2.88,3554.41,1241.48,1196.82,1152.15,36.34,26.37,56.28,2,1312.67,1052.5
2013-03-21,1200.04,1200.0,1206.74,1193.37,1.15,0.1,2730.35,1239.58,1195.93,1152.27,50.34,34.36,82.29,2,1312.03,1051.99
2013-03-22,1200.06,1202.17,1204.42,1194.2,2.17,0.18,2285.81,1238.89,1195.57,1152.24,60.87,43.19,96.21,2,1312.08,1052.03
2013-03-25,1206.86,1199.92,1211.76,1197.25,-2.25,-0.19,2174.94,1237.92,1195.06,1152.19,67.23,51.21,99.27,2,1312.22,1052.14
2013-03-26,1195.51,1182.64,1200.47,1174.8,-17.29,-1.44,2514.55,1237.85,1194.69,1151.54,61.71,54.71,75.72,2,1311.61,1051.65
2013-03-27,1183.43,1188.42,1200.04,1181.05,5.79,0.49,2187.4,1236.75,1193.83,1150.9,61.3,56.91,70.09,2,1313.59,1053.24
2013-03-28,1172.46,1154.47,1172.46,1151.79,-33.95,-2.86,3525.52,1230.63,1189.62,1148.61,42.36,52.06,22.96,2,1311.75,1051.76
2013-03-29,1157.58,1155.3,1161.7,1150.81,0.83,0.07,1921.56,1224.36,1185.76,1147.16,30.69,44.94,2.21,2,1310.01,1050.37
2013-04-01,1151.46,1156.11,1162.95,1150.67,0.81,0.07,1779.02,1225.28,1184.71,1144.14,23.43,37.77,-5.24,2,1310.15,1050.48
2013-04-02,1157.87,1157.44,1171.31,1152.89,1.34,0.12,2036.31,1222.78,1182.14,1141.5,19.31,31.62,-5.29,2,1309.28,1049.78
2013-04-03,1161.01,1157.76,1169.03,1153.26,0.32,0.03,1913.96,1216.92,1179.0,1141.09,16.74,26.66,-3.08,2,1304.72,1046.13
2013-04-08,1137.92,1147.32,1149.05,1130.92,-10.44,-0.9,2117.54,1214.3,1176.08,1137.86,17.93,23.75,6.28,2,1298.87,1041.44
2013-04-09,1150.73,1153.87,1161.89,1149.45,6.55,0.57,1802.33,1211.17,1173.69,1136.2,22.95,23.48,21.89,2,1293.51,1037.14
2013-04-10,1154.4,1153.22,1158.07,1146.25,-0.65,-0.06,1912.69,1208.07,1171.42,1134.76,26.05,24.34,29.48,2,1288.33,1032.98
2013-04-11,1161.22,1149.03,1164.12,1148.36,-4.19,-0.36,1677.6,1206.52,1169.46,1132.41,31.9,26.86,41.98,2,1284.6,1029.99
2013-04-12,1148.85,1141.35,1153.59,1139.37,-7.69,-0.67,1593.47,1207.02,1168.0,1128.99,29.88,27.87,33.9,2,1279.37,1025.8
2013-04-15,1139.11,1131.94,1143.09,1128.15,-9.4,-0.82,1890.23,1208.06,1166.05,1124.03,22.84,26.19,16.15,2,1276.87,1023.8
2013-04-16,1125.82,1145.25,1145.65,1124.83,13.31,1.18,2162.45,1207.65,1164.76,1121.86,29.87,27.42,34.78,2,1275.76,1022.9
2013-04-17,1145.42,1142.05,1148.81,1133.67,-3.2,-0.28,1706.85,1207.96,1164.12,1120.28,32.9,29.25,40.21,2,1274.19,1021.65
2013-04-18,1135.41,1143.64,1151.51,1133.48,1.59,0.14,1660.02,1207.77,1163.04,1118.31,37.89,32.13,49.42,2,1272.66,1020.42
2013-04-19,1146.2,1170.16,1173.92,1145.25,26.53,2.32,2870.59,1203.39,1161.6,1119.82,56.04,40.1,87.93,2,1274.04,1021.53
2013-04-22,1165.26,1165.9,1170.76,1159.34,-4.27,-0.36,2315.41,1197.89,1159.9,1121.91,65.25,48.48,98.78,2,1276.1,1023.18
2013-04-23,1165.0,1132.46,1165.0,1130.55,-33.44,-2.87,2325.06,1190.88,1156.41,1121.95,48.68,48.55,48.94,2,1273.73,1021.28
2013-04-24,1134.6,1150.93,1156.25,1129.77,18.47,1.63,2269.1,1182.09,1153.96,1125.83,50.18,49.09,52.35,2,1273.47,1021.07
2013-04-25,1147.78,1138.5,1153.12,1133.32,-12.43,-1.08,2098.59,1177.35,1151.76,1126.16,42.73,46.97,34.26,2,1272.3,1020.13
2013-04-26,1141.64,1129.93,1145.94,1127.21,-8.56,-0.75,1837.39,1169.98,1148.83,1127.68,31.95,41.97,11.92,2,1271.03,1019.12
2013-05-02,1126.1,1132.36,1134.73,1121.76,2.43,0.21,1884.92,1169.87,1147.73,1125.58,28.08,37.34,9.56,2,1271.08,1019.16
2013-05-03,1136.14,1151.03,1163.37,1136.14,18.67,1.65,2400.86,1169.44,1147.51,1125.58,37.42,37.36,37.54,2,1271.72,1019.67
2013-05-06,1155.18,1163.22,1166.88,1153.93,12.19,1.06,2277.12,1170.56,1147.87,1125.17,51.44,42.06,70.22,2,1274.07,1021.55
2013-05-07,1160.13,1166.42,1170.59,1158.05,3.21,0.28,2035.78,1172.08,1148.32,1124.55,64.68,49.6,94.84,2,1276.6,1023.58
2013-05-08,1171.72,1172.2,1181.2,1167.94,5.77,0.5,2158.71,1174.71,1149.04,1123.37,71.4,56.87,100.48,2,1276.83,1023.76
2013-05-09,1172.33,1163.84,1172.8,1157.04,-8.35,-0.71,2072.79,1176.31,1149.86,1123.42,71.2,61.64,90.31,2,1276.6,1023.58
