time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,3780.27,3792.95,3797.11,3749.03,40.31,1.07,1188.71,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,3769.89,3754.68,3777.96,3749.67,-38.27,-1.01,1112.45,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,3758.87,3730.77,3771.36,3714.94,-23.91,-0.64,927.64,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,3724.97,3714.77,3760.64,3694.98,-16.0,-0.43,1138.99,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,3713.3,3637.27,3730.31,3627.67,-77.5,-2.09,1167.45,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,3623.54,3640.44,3654.49,3619.44,3.17,0.09,912.14,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,3657.92,3654.34,3664.9,3610.02,13.9,0.38,913.63,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,3682.71,3664.66,3682.71,3653.23,10.32,0.28,726.35,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,3645.82,3617.2,3647.73,3599.41,-47.46,-1.3,755.81,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,3591.45,3476.24,3595.92,3468.99,-140.96,-3.9,967.91,0.0,0.0,0.0,0.0,0.0,0.0,2,4071.85,3264.82
2011-01-18,3463.94,3479.21,3484.64,3447.51,2.97,0.09,611.43,0.0,0.0,0.0,0.0,0.0,0.0,2,4037.02,3236.89
2011-01-19,3485.7,3543.72,3543.76,3472.06,64.51,1.85,691.33,0.0,0.0,0.0,0.0,0.0,0.0,2,4013.61,3218.12
2011-01-20,3528.58,3431.37,3533.81,3429.26,-112.35,-3.17,771.74,0.0,0.0,0.0,0.0,0.0,0.0,2,3980.37,3191.47
2011-01-21,3427.41,3442.94,3497.35,3407.86,11.57,0.34,784.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3950.2,3167.28
2011-01-24,3449.48,3381.79,3454.47,3373.96,-61.15,-1.78,696.74,0.0,0.0,0.0,0.0,0.0,0.0,1,3921.84,3144.54
