time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,4041.88,4067.69,4071.79,4005.51,44.04,1.09,239.6,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,4031.24,4027.71,4070.32,4026.31,-39.98,-0.98,209.86,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,4034.58,3980.13,4052.09,3976.64,-47.58,-1.18,173.33,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,3965.02,3921.1,3976.75,3897.1,-59.03,-1.48,158.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,3907.26,3794.2,3917.59,3781.24,-126.9,-3.24,148.13,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,3780.89,3734.2,3787.65,3708.85,-60.0,-1.58,136.69,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,3752.69,3715.07,3764.47,3666.59,-19.13,-0.51,131.87,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,3759.14,3768.02,3768.21,3736.3,52.95,1.43,132.11,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,3752.42,3682.93,3752.42,3677.81,-85.09,-2.26,151.98,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,3661.02,3548.97,3661.02,3519.32,-133.96,-3.64,180.88,0.0,0.0,0.0,0.0,0.0,0.0,2,4244.64,3403.36
2011-01-18,3514.66,3561.01,3567.55,3501.52,12.04,0.34,124.7,0.0,0.0,0.0,0.0,0.0,0.0,2,4188.4,3358.27
2011-01-19,3569.24,3640.64,3646.34,3558.1,79.63,2.24,149.2,0.0,0.0,0.0,0.0,0.0,0.0,2,4145.44,3323.82
2011-01-20,3622.86,3532.84,3628.91,3530.46,-107.8,-2.96,158.35,0.0,0.0,0.0,0.0,0.0,0.0,2,4095.79,3284.01
2011-01-21,3512.15,3547.02,3592.0,3512.15,14.18,0.4,247.09,0.0,0.0,0.0,0.0,0.0,0.0,1,4054.26,3250.72
2011-01-24,3556.93,3416.36,3561.5,3413.54,-130.66,-3.68,271.77,0.0,0.0,0.0,0.0,0.0,0.0,1,4012.32,3217.09
2011-01-25,3398.26,3387.51,3402.58,3352.17,-28.85,-0.84,142.36,0.0,0.0,0.0,0.0,0.0,0.0,1,3973.84,3186.23
2011-01-26,3393.66,3457.33,3458.7,3393.66,69.82,2.06,155.99,0.0,0.0,0.0,14.59,11.3,21.16,1,3945.23,3163.29
2011-01-27,3411.5,3578.21,3588.04,3411.5,120.88,3.5,294.6,0.0,0.0,0.0,34.12,18.91,64.55,2,3924.16,3146.4
2011-01-28,3577.49,3612.34,3627.83,3577.49,34.13,0.95,230.83,0.0,0.0,0.0,52.23,30.01,96.65,2,3916.33,3140.12
2011-01-31,3609.76,3665.76,3669.95,3593.76,53.42,1.48,218.84,4065.7,3681.95,3298.21,67.71,42.58,117.98,2,3929.29,3150.51
2011-02-01,3663.31,3672.07,3681.72,3651.96,6.31,0.17,188.61,4002.69,3662.17,3321.65,77.5,54.22,124.06,2,3941.62,3160.4
2011-02-09,3638.58,3638.46,3692.22,3633.29,-33.61,-0.92,195.45,3939.07,3642.71,3346.35,79.73,62.72,113.74,2,3941.38,3160.2
2011-02-10,3623.85,3741.26,3741.89,3623.85,102.8,2.83,193.47,3888.51,3630.76,3373.02,86.43,70.63,118.04,2,3964.51,3178.75
2011-02-11,3741.82,3789.71,3803.96,3741.82,48.45,1.3,232.98,3857.54,3624.2,3390.85,89.9,77.05,115.61,2,3991.45,3200.35
2011-02-14,3814.88,3858.93,3868.98,3814.88,69.22,1.83,309.43,3871.66,3627.43,3383.2,92.56,82.22,113.25,2,4040.58,3239.74
2011-02-15,3874.38,3864.78,3893.66,3853.41,5.85,0.15,307.84,3895.62,3633.96,3372.3,93.05,85.83,107.48,0,4093.55,3282.22
2011-02-16,3864.7,3943.89,3943.89,3855.88,79.11,2.05,283.68,3938.38,3645.4,3352.42,95.36,89.01,108.08,0,4147.56,3325.52
2011-02-17,3952.82,3987.4,3987.4,3934.11,43.51,1.1,249.75,3981.55,3656.37,3331.19,96.91,91.64,107.44,0,4192.98,3361.94
2011-02-18,3972.5,3945.02,3986.42,3936.24,-42.38,-1.06,200.51,4018.15,3669.48,3320.8,94.05,92.45,97.27,0,4229.91,3391.55
2011-02-21,3923.68,4006.37,4007.14,3923.68,61.35,1.56,193.23,4065.55,3692.35,3319.14,95.97,93.62,100.67,0,4267.72,3421.86
2011-02-22,4015.14,3907.22,4027.57,3903.45,-99.15,-2.47,304.61,4088.95,3709.66,3330.36,87.38,91.54,79.05,2,4293.82,3442.79
2011-02-23,3901.48,3988.0,3993.92,3901.48,80.78,2.07,231.87,4123.51,3727.02,3330.54,86.97,90.02,80.87,2,4332.62,3473.9
2011-02-24,3979.46,3999.22,4026.56,3974.57,11.22,0.28,290.0,4153.21,3750.34,3347.47,86.87,88.97,82.67,2,4361.25,3496.86
2011-02-25,3993.66,3959.95,3993.66,3940.53,-39.27,-0.98,206.54,4172.38,3770.99,3369.6,78.3,85.41,64.09,2,4380.15,3512.01
2011-02-28,3971.52,4006.74,4006.74,3925.14,46.79,1.18,206.19,4179.45,3800.51,3421.57,81.49,84.11,76.26,2,4396.55,3525.16
2011-03-01,4013.27,4031.4,4045.25,4003.81,24.66,0.62,241.93,4173.29,3832.7,3492.12,84.45,84.22,84.91,2,4415.05,3539.99
2011-03-02,3991.68,3989.26,4002.55,3926.17,-42.14,-1.05,216.03,4159.12,3859.3,3559.48,76.65,81.7,66.56,2,4420.08,3544.03
2011-03-03,4000.41,3894.11,4009.03,3883.18,-95.15,-2.39,225.87,4145.89,3875.09,3604.3,53.35,72.25,15.55,2,4409.73,3535.73
2011-03-04,3901.98,3910.75,3910.88,3863.29,16.64,0.43,165.12,4132.68,3890.01,3647.35,44.26,62.92,6.94,2,4405.93,3532.68
2011-03-07,3928.28,3954.89,3954.89,3909.83,44.14,1.13,251.49,4125.46,3904.47,3683.48,46.29,57.37,24.11,2,4400.21,3528.1
2011-03-08,3956.77,3967.39,3967.39,3937.47,12.5,0.32,200.87,4114.05,3919.24,3724.42,49.93,54.89,40.0,2,4406.89,3533.45
2011-03-09,3982.09,3993.46,3993.46,3963.22,26.07,0.66,208.99,4085.4,3936.99,3788.57,57.13,55.64,60.12,2,4407.5,3533.94
2011-03-10,3985.8,3988.42,4007.06,3975.91,-5.04,-0.13,194.64,4068.86,3949.35,3829.83,61.01,57.43,68.17,2,4406.3,3532.98
