time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,4600.24,4636.49,4643.15,4559.41,83.61,1.84,510.87,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,4583.62,4651.49,4665.82,4583.62,15.0,0.32,480.36,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,4668.8,4608.04,4688.53,4606.62,-43.45,-0.93,407.67,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,4587.49,4546.14,4612.23,4524.56,-61.9,-1.34,435.89,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,4544.64,4417.29,4549.62,4405.91,-128.85,-2.83,341.15,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,4387.43,4375.89,4396.8,4330.07,-41.4,-0.94,276.97,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,4403.84,4370.24,4414.03,4312.08,-5.65,-0.13,286.65,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,4408.7,4392.16,4408.7,4364.09,21.92,0.5,241.97,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,4364.32,4281.45,4370.67,4264.66,-110.71,-2.52,304.15,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,4245.21,4133.15,4263.36,4096.48,-148.3,-3.46,351.1,0.0,0.0,0.0,0.0,0.0,0.0,2,4929.77,3952.7
2011-01-18,4112.35,4148.89,4155.22,4088.24,15.74,0.38,204.24,0.0,0.0,0.0,0.0,0.0,0.0,2,4875.65,3909.3
2011-01-19,4155.6,4281.91,4282.11,4145.13,133.02,3.21,299.93,0.0,0.0,0.0,0.0,0.0,0.0,2,4834.62,3876.41
2011-01-20,4254.82,4124.4,4267.22,4122.39,-157.51,-3.68,289.01,0.0,0.0,0.0,0.0,0.0,0.0,2,4780.94,3833.37
2011-01-21,4098.23,4124.72,4173.86,4066.16,0.32,0.01,314.3,0.0,0.0,0.0,0.0,0.0,0.0,1,4734.16,3795.86
2011-01-24,4131.18,3980.25,4136.97,3974.26,-144.47,-3.5,307.49,0.0,0.0,0.0,0.0,0.0,0.0,1,4685.65,3756.96
2011-01-25,3965.49,3933.94,3972.34,3907.41,-46.31,-1.16,238.13,0.0,0.0,0.0,0.0,0.0,0.0,1,4636.59,3717.63
2011-01-26,3958.61,4006.91,4013.31,3958.61,72.97,1.85,220.95,0.0,0.0,0.0,12.77,11.69,14.93,1,4596.26,3685.29
