time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,3135.22,3168.19,3171.72,3116.33,55.42,1.78,915.64,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,3141.19,3134.18,3169.55,3130.49,-34.01,-1.07,832.84,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,3136.54,3107.13,3150.39,3095.11,-27.05,-0.86,706.27,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,3103.99,3128.49,3170.77,3094.33,21.36,0.69,1216.8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,3121.89,3055.46,3146.46,3054.04,-73.03,-2.33,784.85,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,3043.74,3054.96,3064.56,3029.79,-0.5,-0.02,625.6,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,3063.61,3082.93,3091.71,3040.5,27.97,0.92,642.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,3096.86,3092.42,3102.48,3080.22,9.49,0.31,542.72,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,3075.67,3068.49,3080.91,3050.49,-23.93,-0.77,524.3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,3053.17,2958.21,3058.23,2952.18,-110.28,-3.59,729.21,0.0,0.0,0.0,0.0,0.0,0.0,2,3424.4,2745.69
2011-01-18,2947.27,2973.13,2976.74,2935.21,14.92,0.5,452.27,0.0,0.0,0.0,0.0,0.0,0.0,2,3402.75,2728.33
2011-01-19,2970.27,3022.4,3022.4,2961.98,49.27,1.66,547.39,0.0,0.0,0.0,0.0,0.0,0.0,2,3390.34,2718.38
2011-01-20,3007.28,2927.62,3011.12,2927.3,-94.78,-3.14,554.61,0.0,0.0,0.0,0.0,0.0,0.0,2,3370.42,2702.41
2011-01-21,2927.35,2967.01,3010.51,2921.47,39.39,1.35,633.57,0.0,0.0,0.0,0.0,0.0,0.0,2,3352.49,2688.03
2011-01-24,2965.21,2918.55,2972.83,2912.5,-48.46,-1.63,501.63,0.0,0.0,0.0,0.0,0.0,0.0,2,3337.29,2675.85
2011-01-25,2912.57,2915.52,2921.81,2895.37,-3.03,-0.1,447.54,0.0,0.0,0.0,0.0,0.0,0.0,2,3321.82,2663.44
2011-01-26,2923.79,2952.39,2958.5,2922.9,36.87,1.26,375.17,0.0,0.0,0.0,18.65,16.29,23.37,2,3307.33,2651.82
2011-01-27,2910.31,2992.25,2997.2,2907.53,39.86,1.35,750.56,0.0,0.0,0.0,32.26,21.62,53.56,2,3296.21,2642.91
2011-01-28,2986.53,3000.29,3008.03,2979.66,8.04,0.27,583.61,0.0,0.0,0.0,49.04,30.76,85.61,2,3288.64,2636.84
2011-01-31,2991.92,3028.78,3030.66,2985.86,28.49,0.95,503.22,3176.87,3027.42,2877.97,65.56,42.36,111.97,2,3296.47,2643.12
2011-02-01,3028.74,3024.73,3032.91,3008.77,-4.05,-0.13,457.0,3155.03,3020.25,2885.46,75.06,53.26,118.66,2,3302.2,2647.71
2011-02-09,3002.04,2999.54,3038.34,2991.81,-25.19,-0.83,509.32,3137.91,3013.52,2889.12,74.33,60.28,102.42,2,3299.66,2645.67
2011-02-10,2993.06,3072.27,3073.03,2987.07,72.73,2.42,612.32,3131.77,3011.77,2891.77,82.74,67.77,112.69,2,3315.72,2658.55
2011-02-11,3062.86,3103.46,3117.26,3062.79,31.19,1.02,793.28,3126.07,3010.52,2894.97,86.42,73.99,111.29,2,3330.86,2670.69
2011-02-14,3113.97,3217.33,3217.82,3113.97,113.87,3.67,1340.72,3164.35,3018.61,2872.88,90.9,79.62,113.44,0,3364.03,2697.28
2011-02-15,3231.28,3196.1,3237.52,3194.94,-21.23,-0.66,1168.27,3190.22,3025.67,2861.12,89.75,83.0,103.24,0,3395.17,2722.26
2011-02-16,3190.38,3217.22,3217.22,3174.14,21.12,0.66,895.79,3215.63,3032.39,2849.14,90.54,85.51,100.6,0,3424.57,2745.83
2011-02-17,3222.75,3203.57,3229.9,3183.05,-13.65,-0.42,793.22,3234.4,3037.94,2841.49,89.2,86.74,94.11,0,3448.03,2764.63
2011-02-18,3187.09,3176.19,3201.1,3170.36,-27.38,-0.85,681.13,3248.55,3043.33,2838.11,84.64,86.04,81.83,2,3467.55,2780.29
2011-02-21,3161.86,3213.13,3214.39,3161.86,36.94,1.16,768.24,3270.04,3056.07,2842.11,86.51,86.2,87.14,2,3488.01,2796.7
2011-02-22,3217.63,3129.76,3218.46,3127.52,-83.37,-2.59,1011.98,3276.62,3063.91,2851.19,76.66,83.02,63.96,2,3499.67,2806.04
2011-02-23,3135.51,3140.43,3147.02,3119.91,10.67,0.34,601.44,3284.13,3069.81,2855.48,65.92,77.32,43.12,2,3515.31,2818.58
2011-02-24,3121.51,3172.83,3174.45,3121.51,32.4,1.03,709.1,3290.42,3082.07,2873.71,59.83,71.49,36.51,2,3526.47,2827.53
2011-02-25,3171.13,3192.21,3212.19,3155.08,19.38,0.61,773.21,3299.93,3093.33,2886.73,60.38,67.78,45.56,2,3536.32,2835.43
2011-02-28,3200.2,3236.96,3238.76,3172.43,44.75,1.4,806.05,3308.46,3109.25,2910.03,73.08,69.55,80.14,2,3538.5,2837.18
2011-03-01,3236.52,3242.63,3263.19,3225.11,5.67,0.18,993.44,3311.8,3125.6,2939.41,77.27,72.12,87.56,2,3543.67,2841.32
2011-03-02,3215.2,3241.75,3246.33,3197.53,-0.88,-0.03,912.38,3314.8,3140.07,2965.35,79.86,74.7,90.17,2,3546.39,2843.5
2011-03-03,3246.38,3228.85,3279.04,3227.83,-12.9,-0.4,1466.08,3316.75,3151.9,2987.05,76.06,75.15,77.87,2,3549.2,2845.75
2011-03-04,3230.72,3274.76,3278.2,3225.82,45.91,1.42,997.24,3323.24,3165.63,3008.01,83.14,77.82,93.79,2,3560.14,2854.52
2011-03-07,3298.93,3342.23,3346.76,3297.29,67.47,2.06,1400.88,3343.63,3181.3,3018.96,88.1,81.24,101.8,2,3574.47,2866.01
2011-03-08,3345.23,3351.01,3356.47,3325.42,8.78,0.26,1001.27,3359.31,3197.61,3035.91,91.29,84.59,104.68,2,3599.03,2885.71
2011-03-09,3372.09,3358.34,3378.62,3346.51,7.33,0.22,871.29,3364.48,3215.55,3066.62,91.17,86.78,99.94,2,3623.21,2905.1
2011-03-10,3338.59,3313.85,3340.59,3312.9,-44.49,-1.32,974.25,3366.99,3227.63,3088.27,83.64,85.74,79.45,0,3638.87,2917.65
2011-03-11,3305.46,3269.45,3314.67,3261.55,-44.4,-1.34,759.44,3364.04,3235.93,3107.82,69.0,80.16,46.68,2,3647.44,2924.52
2011-03-14,3273.07,3278.53,3279.43,3245.3,9.08,0.28,612.9,3368.1,3238.99,3109.88,60.91,73.74,35.24,2,3652.06,2928.22
2011-03-15,3258.63,3221.3,3258.63,3170.86,-57.23,-1.75,895.86,3368.15,3240.25,3112.35,48.7,65.39,15.31,2,3649.69,2926.33
2011-03-16,3230.26,3261.38,3266.89,3227.3,40.08,1.24,704.36,3370.21,3242.46,3114.7,46.99,59.26,22.45,2,3651.87,2928.07
2011-03-17,3216.74,3222.05,3257.37,3205.5,-39.33,-1.21,674.14,3370.26,3243.38,3116.5,39.54,52.69,13.25,2,3651.11,2927.47
2011-03-18,3261.7,3239.25,3261.7,3229.93,17.2,0.53,618.7,3369.66,3246.54,3123.41,37.33,47.57,16.86,2,3647.17,2924.31
2011-03-21,3252.73,3232.0,3268.94,3221.11,-7.25,-0.22,622.5,3369.85,3247.48,3125.11,34.7,43.28,17.54,2,3634.93,2914.5
2011-03-22,3247.32,3247.37,3255.79,3200.71,15.37,0.48,615.23,3363.2,3253.36,3143.52,38.16,41.57,31.33,2,3623.43,2905.27
2011-03-23,3249.96,3287.72,3290.95,3242.76,40.35,1.24,689.45,3358.36,3260.72,3163.08,52.52,45.22,67.13,2,3615.59,2898.99
2011-03-24,3288.26,3272.5,3292.94,3269.85,-15.22,-0.46,541.11,3354.68,3265.71,3176.73,62.77,51.07,86.16,2,3611.0,2895.31
2011-03-25,3277.76,3317.25,3329.97,3276.45,44.75,1.37,922.47,3356.88,3271.96,3187.04,72.51,58.22,101.11,2,3616.31,2899.56
2011-03-28,3332.87,3299.69,3344.29,3297.18,-17.56,-0.53,894.09,3359.24,3275.1,3190.95,71.32,62.59,88.79,2,3618.66,2901.45
2011-03-29,3298.68,3269.7,3318.03,3269.7,-29.99,-0.91,1015.53,3359.33,3276.45,3193.57,63.56,62.91,64.87,2,3624.03,2905.75
2011-03-30,3273.26,3256.74,3285.24,3240.49,-12.96,-0.4,757.27,3359.07,3277.2,3195.33,55.38,60.4,45.35,2,3623.51,2905.34
2011-03-31,3254.59,3225.69,3263.35,3213.76,-31.05,-0.95,522.14,3359.3,3277.04,3194.78,42.72,54.51,19.15,2,3623.92,2905.66
2011-04-01,3233.21,3276.52,3276.52,3225.14,50.83,1.58,643.01,3359.38,3277.13,3194.88,46.08,51.7,34.84,2,3628.05,2908.98
2011-04-06,3279.41,3305.02,3319.11,3279.41,28.5,0.87,1203.75,3353.11,3275.27,3197.43,54.03,52.48,57.13,2,3636.16,2915.48
2011-04-07,3297.36,3320.1,3321.71,3294.28,15.08,0.46,863.57,3346.55,3273.72,3200.89,63.17,56.04,77.44,2,3644.23,2921.95
2011-04-08,3311.1,3358.91,3362.54,3310.35,38.81,1.17,626.46,3346.72,3273.75,3200.79,74.64,62.24,99.43,2,3652.14,2928.29
2011-04-11,3375.49,3342.93,3392.13,3342.62,-15.98,-0.48,999.54,3352.35,3275.21,3198.06,73.9,66.12,89.44,2,3659.95,2934.56
2011-04-12,3343.08,3327.46,3356.5,3312.93,-15.47,-0.46,698.49,3358.46,3278.11,3197.75,70.51,67.59,76.36,2,3661.09,2935.47
