time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-06-29,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-02,1005.57,1015.98,1017.21,1003.42,15.98,1.6,79.48,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-03,1015.27,1029.15,1031.71,1013.17,13.17,1.3,99.36,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-04,1034.13,1026.6,1038.18,1022.3,-2.55,-0.25,117.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-05,1016.73,997.34,1016.73,995.31,-29.26,-2.85,77.29,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-06,1004.13,1013.57,1013.98,986.53,16.23,1.63,81.94,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-09,1005.67,988.58,1013.67,988.58,-24.99,-2.47,78.6,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-10,984.38,975.88,988.41,972.21,-12.7,-1.28,66.14,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-11,974.76,980.39,983.23,973.16,4.51,0.46,57.63,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-12,977.33,992.53,994.87,973.09,12.14,1.24,90.04,0.0,0.0,0.0,0.0,0.0,0.0,2,1112.22,891.78
2012-07-13,985.65,979.8,993.19,979.49,-12.73,-1.28,73.48,0.0,0.0,0.0,0.0,0.0,0.0,2,1109.98,889.98
2012-07-16,975.09,933.0,975.09,933.0,-46.8,-4.78,87.44,0.0,0.0,0.0,0.0,0.0,0.0,2,1100.77,882.6
2012-07-17,929.96,939.06,939.06,925.04,6.06,0.65,52.79,0.0,0.0,0.0,0.0,0.0,0.0,2,1090.77,874.58
2012-07-18,936.0,945.88,945.88,928.65,6.82,0.73,66.41,0.0,0.0,0.0,0.0,0.0,0.0,1,1081.81,867.4
2012-07-19,942.05,956.08,964.17,942.05,10.2,1.08,82.05,0.0,0.0,0.0,0.0,0.0,0.0,1,1077.23,863.72
2012-07-20,953.82,956.53,963.44,952.58,0.45,0.05,62.87,0.0,0.0,0.0,0.0,0.0,0.0,2,1070.9,858.65
2012-07-23,950.15,953.92,957.43,944.04,-2.61,-0.27,60.73,0.0,0.0,0.0,37.32,32.3,47.35,2,1067.05,855.56
2012-07-24,948.72,962.54,967.92,948.72,8.62,0.9,60.9,0.0,0.0,0.0,42.78,35.79,56.75,2,1065.57,854.38
2012-07-25,962.01,966.55,975.67,962.01,4.01,0.42,73.49,0.0,0.0,0.0,48.82,40.14,66.2,2,1064.03,853.14
2012-07-26,968.62,963.15,977.24,960.55,-3.4,-0.35,73.75,1034.6,978.83,923.06,56.88,45.72,79.22,2,1060.77,850.53
2012-07-27,970.85,958.66,970.85,952.03,-4.49,-0.47,74.39,1032.3,976.76,921.22,59.39,50.28,77.62,2,1058.43,848.65
2012-07-30,958.64,937.52,960.42,933.32,-21.14,-2.21,66.76,1027.82,972.84,917.85,45.68,48.74,39.55,2,1058.93,849.05
2012-07-31,934.59,924.44,936.01,918.96,-13.08,-1.4,61.41,1020.02,967.6,915.18,33.59,43.69,13.38,2,1057.3,847.75
2012-08-01,925.36,947.3,949.8,925.36,22.86,2.47,66.59,1009.15,963.64,918.12,38.6,41.99,31.81,2,1057.46,847.88
2012-08-02,944.86,948.08,955.92,941.95,0.78,0.08,71.75,1004.4,961.17,917.95,42.39,42.13,42.91,2,1056.57,847.16
2012-08-03,949.57,972.5,972.5,945.42,24.42,2.58,89.3,995.56,959.12,922.67,58.88,47.71,81.22,2,1058.35,848.58
2012-08-06,965.49,1001.5,1001.5,965.49,29.0,2.98,117.13,998.65,959.77,920.88,72.59,56.0,105.76,2,1063.63,852.82
2012-08-07,1000.61,1007.5,1007.73,999.52,6.0,0.6,116.63,1005.0,961.35,917.69,81.64,64.55,115.82,2,1068.62,856.82
2012-08-08,1009.54,1003.62,1011.08,995.43,-3.88,-0.39,95.16,1009.26,962.51,915.76,85.06,71.39,112.41,2,1072.73,860.12
2012-08-09,998.65,1016.61,1016.61,995.25,12.99,1.29,109.56,1014.55,963.71,912.87,90.04,77.6,114.91,2,1078.67,864.88
2012-08-10,1012.27,1016.29,1018.43,1009.04,-0.32,-0.03,93.9,1020.97,965.54,910.11,92.64,82.62,112.69,2,1085.06,870.01
2012-08-13,1012.82,997.71,1012.82,997.71,-18.58,-1.83,89.3,1023.78,968.77,913.76,87.67,84.3,94.42,2,1091.75,875.36
2012-08-14,997.22,1005.82,1005.97,978.53,8.11,0.81,115.73,1027.6,972.11,916.62,86.29,84.96,88.93,2,1100.78,882.61
2012-08-15,999.84,999.32,1007.63,995.95,-6.5,-0.65,89.33,1030.11,974.78,919.45,82.13,84.02,78.36,2,1106.55,887.24
2012-08-16,994.79,989.61,999.31,988.66,-9.71,-0.97,67.29,1031.45,976.46,921.47,69.94,79.33,51.17,2,1111.16,890.93
2012-08-17,987.55,985.68,989.8,975.23,-3.93,-0.4,69.69,1032.26,977.92,923.57,54.69,71.12,21.84,2,1112.63,892.11
