time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2964.84,2962.65,2982.05,2959.33,-10.07,-0.34,1150.66,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2956.71,2988.55,3001.94,2952.78,25.9,0.87,1666.48,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2985.95,2949.64,2992.25,2944.16,-38.91,-1.3,1358.71,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2944.88,2955.15,2967.3,2935.22,5.5,0.19,1323.21,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2960.93,2982.1,2983.31,2959.89,26.96,0.91,1265.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,3003.36,3100.93,3140.67,3003.36,118.83,3.98,4191.66,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,3107.67,3114.15,3125.09,3091.15,13.22,0.43,2734.95,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,3099.27,3086.81,3099.27,3065.09,-27.34,-0.88,1906.84,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,3104.87,3097.11,3119.7,3067.62,10.3,0.33,2098.68,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,3094.28,3071.08,3106.86,3070.59,-26.03,-0.84,1735.46,0.0,0.0,0.0,0.0,0.0,0.0,2,3364.21,2697.43
2012-09-14,3109.12,3098.03,3120.56,3076.14,26.95,0.88,2608.07,0.0,0.0,0.0,0.0,0.0,0.0,2,3379.23,2709.48
2012-09-17,3094.73,3026.5,3097.36,3024.8,-71.53,-2.31,2064.7,0.0,0.0,0.0,0.0,0.0,0.0,2,3383.45,2712.85
