time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,4711.79,4764.69,4764.71,4691.71,78.88,1.68,1124.59,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,4743.43,4781.73,4799.26,4722.33,17.04,0.36,972.59,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,4779.02,4758.85,4802.52,4744.15,-22.88,-0.48,817.73,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,4746.77,4716.17,4771.84,4684.33,-42.68,-0.9,897.76,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,4706.48,4578.66,4725.87,4568.91,-137.51,-2.92,851.74,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,4560.53,4560.09,4566.82,4506.82,-18.57,-0.41,702.13,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,4569.67,4582.36,4608.87,4516.62,22.27,0.49,666.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,4595.77,4574.82,4605.9,4556.72,-7.54,-0.16,592.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,4564.02,4464.08,4564.02,4459.65,-110.74,-2.42,691.2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,4435.07,4269.55,4439.08,4255.45,-194.53,-4.36,750.09,0.0,0.0,0.0,0.0,0.0,0.0,2,5111.66,4098.54
2011-01-18,4252.87,4278.43,4290.83,4225.89,8.88,0.21,517.42,0.0,0.0,0.0,0.0,0.0,0.0,2,5057.69,4055.26
2011-01-19,4277.95,4391.84,4391.9,4265.89,113.41,2.65,654.32,0.0,0.0,0.0,0.0,0.0,0.0,2,5014.41,4020.56
2011-01-20,4379.82,4230.9,4379.82,4229.85,-160.94,-3.66,680.41,0.0,0.0,0.0,0.0,0.0,0.0,2,4955.81,3973.57
2011-01-21,4212.87,4263.62,4309.57,4205.03,32.72,0.77,691.91,0.0,0.0,0.0,0.0,0.0,0.0,1,4905.57,3933.3
2011-01-24,4262.06,4149.64,4275.0,4148.41,-113.98,-2.67,683.29,0.0,0.0,0.0,0.0,0.0,0.0,1,4857.95,3895.11
2011-01-25,4137.5,4080.03,4137.5,4050.43,-69.61,-1.68,555.52,0.0,0.0,0.0,0.0,0.0,0.0,1,4804.66,3852.39
2011-01-26,4077.79,4156.45,4156.79,4077.79,76.42,1.87,505.05,0.0,0.0,0.0,11.29,8.96,15.96,1,4757.39,3814.48
2011-01-27,4125.76,4232.67,4249.71,4101.03,76.22,1.83,775.19,0.0,0.0,0.0,23.16,13.69,42.09,1,4719.41,3784.03
2011-01-28,4229.1,4271.87,4282.0,4224.8,39.2,0.93,686.33,0.0,0.0,0.0,37.05,21.48,68.21,2,4698.08,3766.92
2011-01-31,4267.3,4351.22,4351.78,4260.15,79.35,1.86,766.62,4863.95,4422.88,3981.82,54.07,32.34,97.51,2,4707.14,3774.19
2011-02-01,4347.45,4353.48,4360.14,4331.54,2.26,0.05,625.63,4815.17,4402.32,3989.48,66.71,43.8,112.54,2,4715.47,3780.87
2011-02-09,4317.88,4329.22,4375.43,4304.14,-24.26,-0.56,698.46,4754.76,4379.7,4004.63,73.07,53.55,112.09,2,4708.52,3775.3
2011-02-10,4322.34,4451.09,4451.09,4317.35,121.87,2.82,834.19,4698.97,4364.31,4029.65,82.05,63.05,120.03,2,4732.96,3794.9
2011-02-11,4446.8,4490.98,4505.36,4436.25,39.89,0.9,927.18,4652.94,4353.05,4053.16,86.98,71.03,118.88,2,4758.2,3815.13
2011-02-14,4492.8,4574.1,4587.54,4492.8,83.12,1.85,1110.65,4652.03,4352.82,4053.61,90.44,77.5,116.32,2,4805.31,3852.91
2011-02-15,4583.76,4570.82,4629.05,4565.81,-3.28,-0.07,1211.97,4654.09,4353.36,4052.63,89.95,81.65,106.55,2,4859.79,3896.59
2011-02-16,4562.69,4653.43,4653.43,4557.63,82.61,1.81,1028.24,4669.82,4356.91,4044.01,93.3,85.53,108.84,0,4914.96,3940.82
2011-02-17,4667.65,4673.26,4681.68,4612.35,19.83,0.43,1248.36,4690.97,4361.83,4032.7,94.87,88.64,107.31,0,4963.86,3980.03
