time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,1651.18,1649.34,1660.14,1646.12,-9.59,-0.58,510.28,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,1643.74,1657.79,1663.07,1639.21,8.44,0.51,635.32,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,1656.96,1636.0,1658.78,1632.36,-21.79,-1.31,645.19,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,1633.79,1635.55,1642.25,1626.24,-0.44,-0.03,614.78,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,1642.92,1658.68,1659.44,1642.92,23.13,1.41,675.76,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,1670.97,1743.47,1755.54,1670.97,84.79,5.11,2034.21,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,1744.06,1758.91,1768.74,1740.27,15.44,0.89,1256.11,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,1757.34,1752.23,1758.22,1737.99,-6.68,-0.38,914.87,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,1763.47,1764.94,1771.62,1743.08,12.71,0.73,901.47,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,1762.38,1762.01,1782.72,1754.48,-2.94,-0.17,995.81,0.0,0.0,0.0,0.0,0.0,0.0,2,1889.1,1514.68
2012-09-14,1771.03,1756.77,1774.84,1745.41,-5.24,-0.3,1092.89,0.0,0.0,0.0,0.0,0.0,0.0,2,1901.02,1524.25
2012-09-17,1754.27,1698.84,1754.41,1698.23,-57.93,-3.3,918.4,0.0,0.0,0.0,0.0,0.0,0.0,2,1905.58,1527.9
2012-09-18,1695.5,1678.72,1695.5,1672.52,-20.11,-1.18,569.46,0.0,0.0,0.0,0.0,0.0,0.0,2,1910.32,1531.7
2012-09-19,1681.91,1687.14,1692.71,1675.63,8.42,0.5,539.52,0.0,0.0,0.0,0.0,0.0,0.0,2,1916.05,1536.29
2012-09-20,1682.02,1648.51,1683.2,1646.37,-38.63,-2.29,828.03,0.0,0.0,0.0,0.0,0.0,0.0,2,1914.92,1535.39
2012-09-21,1646.02,1647.15,1660.83,1634.71,-1.36,-0.08,747.28,0.0,0.0,0.0,0.0,0.0,0.0,2,1904.23,1526.81
2012-09-24,1641.85,1653.02,1660.33,1624.11,5.87,0.36,669.02,0.0,0.0,0.0,22.94,39.87,-10.91,2,1892.48,1517.39
2012-09-25,1647.23,1640.55,1652.81,1633.44,-12.47,-0.75,456.3,0.0,0.0,0.0,18.75,32.83,-9.41,2,1880.08,1507.45
2012-09-26,1641.11,1618.84,1647.12,1613.38,-21.71,-1.32,520.97,0.0,0.0,0.0,13.63,26.43,-11.98,1,1863.86,1494.45
2012-09-27,1619.48,1661.84,1670.92,1616.63,43.0,2.66,915.03,1784.84,1685.52,1586.19,20.54,24.46,12.69,2,1852.74,1485.53
2012-09-28,1650.86,1691.92,1693.72,1648.74,30.07,1.81,1101.67,1785.6,1687.64,1589.69,45.57,31.5,73.72,2,1845.54,1479.76
2012-10-08,1694.48,1682.87,1706.95,1673.41,-9.05,-0.53,716.33,1785.93,1688.9,1591.87,55.14,39.38,86.65,2,1843.77,1478.34
2012-10-09,1688.3,1723.14,1724.41,1688.3,40.27,2.39,1057.97,1788.19,1693.26,1598.32,69.71,49.49,110.15,2,1848.7,1482.29
2012-10-10,1716.54,1728.16,1731.13,1708.22,5.02,0.29,724.09,1790.11,1697.89,1605.66,78.97,59.32,118.27,2,1853.26,1485.94
2012-10-11,1720.91,1703.1,1726.85,1702.58,-25.05,-1.45,885.45,1790.57,1700.11,1609.64,78.04,65.56,103.01,2,1859.32,1490.8
2012-10-12,1706.78,1700.14,1723.69,1687.82,-2.96,-0.17,681.04,1786.19,1697.94,1609.69,76.59,69.23,91.3,2,1865.2,1495.52
2012-10-15,1700.29,1688.33,1702.45,1674.56,-11.82,-0.7,490.44,1778.16,1694.41,1610.66,72.28,70.25,76.33,2,1869.12,1498.66
2012-10-16,1688.34,1692.18,1705.16,1684.68,3.85,0.23,521.34,1770.85,1691.41,1611.97,70.18,70.23,70.09,2,1874.85,1503.26
2012-10-17,1700.21,1696.31,1703.22,1680.88,4.13,0.24,519.3,1760.0,1687.98,1615.96,66.03,68.83,60.44,2,1883.45,1510.15
2012-10-18,1701.76,1728.27,1731.54,1700.43,31.96,1.88,871.99,1752.65,1686.29,1619.93,75.48,71.04,84.35,2,1890.82,1516.06
2012-10-19,1728.0,1726.8,1733.66,1721.76,-1.47,-0.09,659.29,1745.86,1684.79,1623.72,79.78,73.96,91.44,2,1894.69,1519.17
2012-10-22,1719.71,1728.91,1732.44,1709.66,2.11,0.12,512.21,1750.09,1686.29,1622.5,83.84,77.25,97.02,2,1899.8,1523.27
2012-10-23,1729.71,1709.81,1733.27,1706.41,-19.1,-1.1,648.61,1752.35,1687.85,1623.35,75.78,76.76,73.81,2,1898.32,1522.08
2012-10-24,1700.44,1715.45,1720.19,1699.22,5.64,0.33,715.49,1754.87,1689.26,1623.66,73.58,75.7,69.34,2,1896.91,1520.95
2012-10-25,1717.95,1706.85,1742.09,1706.44,-8.59,-0.5,1097.82,1755.42,1692.18,1628.94,64.99,72.13,50.71,2,1897.33,1521.28
2012-10-26,1703.39,1665.61,1704.38,1658.93,-41.24,-2.42,826.83,1754.19,1693.1,1632.02,46.01,63.42,11.17,2,1893.5,1518.21
2012-10-29,1661.19,1657.77,1668.6,1650.33,-7.84,-0.47,501.31,1753.84,1693.34,1632.84,33.37,53.41,-6.69,2,1890.1,1515.49
2012-10-30,1658.35,1658.77,1672.56,1649.83,1.0,0.06,695.06,1752.03,1694.25,1636.48,25.48,44.1,-11.76,2,1886.4,1512.51
2012-10-31,1658.31,1667.82,1668.68,1653.87,9.05,0.55,887.87,1744.83,1696.7,1648.57,23.49,37.23,-4.0,2,1883.23,1509.98
2012-11-01,1670.47,1696.98,1702.51,1670.34,29.16,1.75,1010.27,1743.86,1698.46,1653.06,32.69,35.72,26.65,2,1879.76,1507.19
2012-11-02,1698.09,1707.87,1709.2,1688.94,10.89,0.64,803.88,1744.73,1699.26,1653.78,42.76,38.06,52.16,2,1877.66,1505.51
2012-11-05,1706.93,1710.36,1719.56,1698.6,2.5,0.15,653.29,1745.7,1700.63,1655.56,50.38,42.17,66.8,2,1875.6,1503.86
2012-11-06,1710.57,1695.94,1711.33,1672.65,-14.42,-0.84,599.61,1743.17,1699.27,1655.38,50.25,44.86,61.01,2,1874.06,1502.62
2012-11-07,1691.16,1690.61,1702.29,1680.93,-5.33,-0.31,722.37,1739.36,1697.39,1655.43,52.99,47.57,63.83,2,1871.3,1500.41
2012-11-08,1681.4,1656.18,1681.4,1655.44,-34.43,-2.04,736.08,1740.57,1695.05,1649.53,38.36,44.5,26.09,2,1865.68,1495.9
2012-11-09,1653.1,1662.83,1668.66,1650.69,6.65,0.4,757.0,1740.73,1693.18,1645.64,31.79,40.26,14.84,2,1865.37,1495.66
2012-11-12,1665.03,1679.91,1680.37,1664.32,17.07,1.03,729.48,1740.62,1692.76,1644.9,35.34,38.62,28.76,2,1867.83,1497.63
2012-11-13,1679.78,1642.95,1679.78,1640.72,-36.96,-2.2,612.06,1742.86,1690.3,1637.74,24.5,33.91,5.67,2,1866.07,1496.22
2012-11-14,1645.0,1651.48,1652.29,1634.97,8.53,0.52,523.29,1743.16,1688.06,1632.96,22.84,30.22,8.07,2,1864.26,1494.76
2012-11-15,1642.99,1620.41,1648.08,1618.68,-31.08,-1.88,620.19,1741.93,1682.67,1623.4,15.8,25.41,-3.44,2,1855.76,1487.95
2012-11-16,1618.1,1614.35,1619.55,1602.25,-6.06,-0.37,591.42,1739.73,1677.04,1614.36,14.23,21.69,-0.68,2,1845.38,1479.63
2012-11-19,1613.12,1620.5,1622.74,1600.27,6.16,0.38,518.44,1734.18,1671.62,1609.07,16.1,19.82,8.64,1,1835.4,1471.63
2012-11-20,1625.5,1606.91,1628.54,1606.01,-13.6,-0.84,443.12,1732.46,1666.48,1600.5,13.46,17.7,4.97,1,1825.52,1463.71
2012-11-21,1608.6,1630.71,1630.78,1591.81,23.81,1.48,539.61,1725.94,1662.24,1598.54,23.61,19.67,31.5,2,1818.87,1458.37
2012-11-22,1621.06,1612.18,1621.06,1606.29,-18.54,-1.14,385.56,1721.31,1657.51,1593.7,23.41,20.92,28.39,2,1813.99,1454.46
2012-11-23,1616.23,1622.8,1629.83,1611.89,10.62,0.66,559.18,1720.79,1655.37,1589.94,27.35,23.06,35.92,2,1809.54,1450.9
2012-11-26,1621.01,1613.06,1625.26,1611.43,-9.73,-0.6,493.17,1721.08,1653.13,1585.18,29.94,25.36,39.12,2,1802.12,1444.95
2012-11-27,1607.2,1581.36,1609.15,1580.83,-31.7,-1.97,582.33,1723.97,1649.26,1574.55,20.23,23.65,13.39,2,1795.29,1439.46
