time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,3100.55,3130.08,3136.9,3086.03,57.77,1.88,4782.76,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,3108.02,3108.44,3128.51,3097.88,-21.64,-0.69,4484.55,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,3109.72,3088.41,3128.06,3080.33,-20.03,-0.64,3123.49,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,3086.86,3108.11,3152.11,3067.86,19.7,0.64,4890.51,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,3102.44,3060.15,3128.55,3055.54,-47.96,-1.54,3676.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,3049.31,3086.11,3093.58,3044.39,25.96,0.85,3270.91,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,3097.3,3108.48,3117.03,3065.67,22.37,0.72,3333.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,3120.42,3107.0,3123.35,3094.26,-1.48,-0.05,2893.22,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,3095.01,3061.41,3095.01,3052.37,-45.59,-1.47,2840.32,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,3037.45,2950.85,3047.97,2943.29,-110.56,-3.61,3729.17,0.0,0.0,0.0,0.0,0.0,0.0,2,3419.8,2742.0
2011-01-18,2944.86,2955.66,2964.14,2928.83,4.81,0.16,2378.34,0.0,0.0,0.0,0.0,0.0,0.0,2,3400.44,2726.48
2011-01-19,2957.4,3012.15,3012.98,2945.44,56.49,1.91,2977.4,0.0,0.0,0.0,0.0,0.0,0.0,2,3389.75,2717.91
2011-01-20,3004.28,2912.15,3004.28,2911.49,-100.0,-3.32,3151.71,0.0,0.0,0.0,0.0,0.0,0.0,2,3370.19,2702.22
2011-01-21,2905.6,2952.23,3002.27,2905.13,40.08,1.38,3968.65,0.0,0.0,0.0,0.0,0.0,0.0,2,3352.89,2688.35
2011-01-24,2954.46,2927.34,2965.4,2916.02,-24.89,-0.84,3474.61,0.0,0.0,0.0,0.0,0.0,0.0,2,3338.15,2676.53
2011-01-25,2924.06,2919.63,2937.16,2902.35,-7.71,-0.26,2586.59,0.0,0.0,0.0,0.0,0.0,0.0,2,3319.67,2661.71
2011-01-26,2922.03,2951.92,2956.75,2922.03,32.29,1.11,2120.75,0.0,0.0,0.0,16.68,14.68,20.69,2,3302.29,2647.78
2011-01-27,2926.55,2993.2,3001.61,2908.58,41.28,1.4,4277.24,0.0,0.0,0.0,31.92,20.42,54.91,2,3289.66,2637.65
2011-01-28,2986.59,2995.81,3006.02,2971.45,2.61,0.09,3351.99,0.0,0.0,0.0,49.44,30.09,88.12,2,3282.37,2631.81
2011-01-31,2994.58,3024.65,3026.45,2989.05,28.84,0.96,3241.35,3167.71,3022.69,2877.66,65.81,42.0,113.43,2,3290.57,2638.38
2011-02-01,3032.72,3028.69,3035.92,3015.27,4.04,0.13,2429.5,3154.11,3017.62,2881.13,75.4,53.13,119.94,2,3298.67,2644.88
2011-02-09,3009.48,2988.42,3040.4,2984.16,-40.27,-1.33,2896.86,3142.03,3011.62,2881.21,71.05,59.11,94.94,2,3296.04,2642.77
2011-02-10,2983.48,3048.9,3050.42,2974.88,60.48,2.02,3226.45,3136.49,3009.64,2882.8,80.36,66.19,108.69,2,3311.22,2654.94
2011-02-11,3043.89,3060.85,3072.25,3038.15,11.95,0.39,3828.12,3128.33,3007.28,2886.23,84.67,72.35,109.31,2,3323.27,2664.61
2011-02-14,3062.95,3167.19,3174.95,3062.95,106.34,3.47,6646.05,3150.81,3012.63,2874.45,88.81,77.84,110.75,2,3349.9,2685.95
2011-02-15,3171.07,3159.7,3203.75,3157.77,-7.49,-0.24,5745.8,3165.59,3016.31,2867.03,87.56,81.08,100.54,2,3376.55,2707.32
2011-02-16,3152.9,3180.57,3180.57,3133.13,20.87,0.66,4668.27,3180.94,3019.92,2858.89,88.38,83.51,98.12,2,3401.93,2727.67
2011-02-17,3187.0,3172.28,3197.79,3149.22,-8.29,-0.26,4266.72,3193.51,3023.18,2852.85,87.67,84.9,93.22,2,3421.8,2743.61
2011-02-18,3167.38,3140.39,3170.03,3133.04,-31.89,-1.01,3508.9,3204.35,3027.13,2849.91,82.55,84.12,79.43,2,3437.85,2756.48
