time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,3963.96,4003.71,4003.99,3944.17,64.32,1.63,3612.71,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,3983.74,4005.39,4018.79,3966.07,1.68,0.04,3366.27,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,4002.0,3982.38,4025.02,3975.6,-23.01,-0.57,2773.73,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,3973.92,3970.83,4012.21,3943.88,-11.55,-0.29,3093.47,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,3964.9,3858.86,3969.65,3849.02,-111.97,-2.82,2941.91,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,3842.61,3839.29,3849.83,3796.88,-19.57,-0.51,2491.98,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,3847.41,3858.68,3871.81,3804.83,19.39,0.51,2410.91,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,3872.6,3860.6,3879.31,3844.44,1.92,0.05,2156.52,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,3851.97,3784.45,3851.97,3778.47,-76.15,-1.97,2448.51,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,3756.44,3620.45,3759.42,3613.85,-164.0,-4.33,2761.37,0.0,0.0,0.0,0.0,0.0,0.0,2,4305.1,3451.83
2011-01-18,3604.58,3626.93,3639.27,3586.83,6.48,0.18,1767.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4263.27,3418.3
2011-01-19,3627.89,3725.06,3725.19,3620.47,98.13,2.71,2376.46,0.0,0.0,0.0,0.0,0.0,0.0,2,4232.16,3393.35
2011-01-20,3719.77,3596.85,3719.77,3596.14,-128.21,-3.44,2747.2,0.0,0.0,0.0,0.0,0.0,0.0,2,4189.36,3359.04
2011-01-21,3581.83,3623.17,3661.68,3572.83,26.32,0.73,2691.44,0.0,0.0,0.0,0.0,0.0,0.0,2,4150.77,3328.1
2011-01-24,3623.18,3543.1,3636.34,3542.73,-80.07,-2.21,2378.42,0.0,0.0,0.0,0.0,0.0,0.0,2,4115.72,3299.99
2011-01-25,3538.09,3503.12,3540.89,3476.6,-39.98,-1.13,2023.68,0.0,0.0,0.0,0.0,0.0,0.0,2,4078.41,3270.07
2011-01-26,3502.14,3572.72,3575.23,3502.14,69.6,1.99,1995.75,0.0,0.0,0.0,13.55,10.12,20.39,2,4046.67,3244.62
2011-01-27,3549.56,3643.32,3653.44,3527.11,70.6,1.98,3198.39,0.0,0.0,0.0,28.68,16.31,53.42,2,4022.55,3225.29
2011-01-28,3638.49,3675.05,3687.29,3634.45,31.73,0.87,2562.54,0.0,0.0,0.0,45.73,26.12,84.96,2,4010.4,3215.55
2011-01-31,3671.27,3724.64,3724.64,3666.42,49.59,1.35,2765.45,4067.89,3750.93,3433.97,63.75,38.66,113.92,2,4021.97,3224.82
2011-02-01,3728.18,3731.97,3739.33,3712.54,7.33,0.2,2262.78,4032.33,3737.34,3442.36,74.9,50.74,123.21,2,4033.63,3234.17
2011-02-09,3702.16,3703.58,3747.35,3688.27,-28.39,-0.76,2781.11,3990.51,3722.25,3453.99,77.88,59.78,114.06,2,4031.24,3232.26
2011-02-10,3697.89,3800.23,3800.23,3693.71,96.65,2.61,3245.71,3956.69,3713.14,3469.6,85.25,68.27,119.21,2,4053.82,3250.36
2011-02-11,3803.02,3836.02,3849.81,3794.99,35.79,0.94,3591.75,3927.48,3706.4,3485.33,88.94,75.16,116.49,2,4077.45,3269.3
2011-02-14,3841.11,3918.85,3929.96,3841.11,82.83,2.16,4686.92,3940.09,3709.4,3478.72,91.76,80.69,113.89,2,4119.15,3302.75
2011-02-15,3922.8,3921.67,3970.67,3913.12,2.82,0.07,4758.8,3955.98,3713.52,3471.07,90.82,84.07,104.33,0,4165.61,3340.0
2011-02-16,3912.54,3983.63,3983.63,3907.91,61.96,1.58,4120.93,3982.46,3719.77,3457.08,93.88,87.34,106.97,0,4211.22,3376.57
2011-02-17,3993.11,4010.92,4017.18,3961.3,27.29,0.69,4669.86,4013.24,3727.29,3441.34,95.33,90.0,105.97,0,4252.03,3409.28
2011-02-18,4003.39,3980.06,4014.78,3960.06,-30.86,-0.77,3793.72,4042.86,3737.07,3431.27,93.12,91.04,97.28,0,4285.88,3436.43
2011-02-21,3953.13,4058.41,4058.41,3948.04,78.35,1.97,4160.62,4089.91,3758.96,3428.02,95.41,92.5,101.24,0,4322.93,3466.14
2011-02-22,4064.51,3942.12,4067.6,3938.78,-116.29,-2.87,5357.85,4109.02,3774.72,3440.43,85.76,90.25,76.77,2,4346.26,3484.84
2011-02-23,3926.71,3981.6,3987.96,3926.71,39.48,1.0,3761.16,4132.75,3787.55,3442.35,79.99,86.83,66.3,2,4377.12,3509.58
2011-02-24,3977.01,4016.33,4021.62,3965.59,34.73,0.87,3767.73,4155.79,3808.53,3461.26,79.11,84.26,68.82,2,4401.11,3528.82
2011-02-25,4010.01,4012.21,4021.67,3964.04,-4.12,-0.1,3498.34,4175.12,3827.98,3480.83,74.51,81.01,61.52,2,4420.66,3544.5
