time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,2998.53,3027.86,3032.81,2983.74,54.66,1.84,6579.71,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,3008.77,3011.9,3030.1,2998.8,-15.96,-0.53,6098.12,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,3014.65,2995.85,3033.09,2989.7,-16.05,-0.53,4523.88,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,2993.17,3006.88,3048.31,2977.64,11.03,0.37,6574.35,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,3002.46,2954.26,3022.37,2949.41,-52.62,-1.75,4978.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,2943.55,2973.65,2979.13,2935.03,19.39,0.66,4408.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,2983.38,2991.46,3000.73,2951.46,17.81,0.6,4629.92,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,3002.72,2989.87,3005.54,2978.17,-1.59,-0.05,4005.13,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,2978.73,2944.86,2978.73,2936.62,-45.01,-1.51,3926.77,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,2922.22,2836.67,2932.31,2830.76,-108.19,-3.67,5116.2,0.0,0.0,0.0,0.0,0.0,0.0,2,3300.39,2646.26
2011-01-18,2829.25,2842.75,2848.28,2813.33,6.08,0.21,3284.8,0.0,0.0,0.0,0.0,0.0,0.0,2,3279.84,2629.79
2011-01-19,2843.75,2901.19,2901.72,2834.01,58.44,2.06,4172.88,0.0,0.0,0.0,0.0,0.0,0.0,2,3267.56,2619.93
2011-01-20,2894.21,2807.16,2894.21,2806.71,-94.03,-3.24,4424.57,0.0,0.0,0.0,0.0,0.0,0.0,2,3246.61,2603.14
2011-01-21,2799.88,2844.7,2889.69,2799.88,37.54,1.34,5476.68,0.0,0.0,0.0,0.0,0.0,0.0,2,3228.61,2588.7
2011-01-24,2847.41,2819.88,2859.09,2809.49,-24.82,-0.87,4980.35,0.0,0.0,0.0,0.0,0.0,0.0,2,3213.69,2576.74
2011-01-25,2816.06,2808.97,2827.72,2791.38,-10.91,-0.39,3642.17,0.0,0.0,0.0,0.0,0.0,0.0,2,3195.41,2562.09
2011-01-26,2810.64,2843.31,2846.61,2810.64,34.34,1.22,3098.34,0.0,0.0,0.0,17.09,14.04,23.19,2,3178.97,2548.9
2011-01-27,2820.18,2885.88,2895.03,2802.72,42.57,1.5,6083.1,0.0,0.0,0.0,33.74,20.61,60.02,2,3167.43,2539.65
2011-01-28,2879.97,2893.91,2904.09,2870.5,8.03,0.28,4677.97,0.0,0.0,0.0,52.82,31.34,95.77,2,3161.77,2535.11
2011-01-31,2892.69,2928.24,2928.38,2889.38,34.33,1.19,4812.64,3063.41,2915.46,2767.52,68.51,43.73,118.07,2,3171.93,2543.26
2011-02-01,2935.22,2929.2,2938.69,2915.88,0.96,0.03,3538.32,3049.46,2910.53,2771.6,76.86,54.78,121.03,2,3181.53,2550.96
2011-02-09,2910.14,2892.82,2939.0,2885.83,-36.38,-1.24,4203.13,3035.6,2904.58,2773.55,74.15,61.23,99.97,2,3180.6,2550.21
2011-02-10,2886.88,2951.46,2952.45,2877.69,58.64,2.03,4721.85,3028.54,2902.36,2776.18,82.56,68.34,110.99,2,3196.62,2563.05
2011-02-11,2947.36,2966.78,2978.21,2941.33,15.32,0.52,5636.89,3020.98,2900.35,2779.73,86.33,74.34,110.32,2,3210.17,2573.92
2011-02-14,2969.22,3064.36,3071.78,2969.22,97.58,3.29,9250.1,3044.52,2905.86,2767.19,89.97,79.55,110.81,0,3237.31,2595.68
2011-02-15,3068.41,3060.25,3100.41,3058.6,-4.11,-0.13,8185.51,3061.85,2910.19,2758.52,88.82,82.64,101.17,0,3265.2,2618.04
2011-02-16,3053.89,3085.86,3085.86,3038.89,25.61,0.84,6894.37,3081.53,2914.91,2748.28,90.43,85.24,100.83,0,3292.12,2639.63
2011-02-17,3092.65,3081.56,3103.39,3057.61,-4.3,-0.14,6554.23,3098.68,2919.49,2740.3,90.4,86.96,97.28,0,3313.84,2657.05
2011-02-18,3076.59,3049.18,3077.57,3041.51,-32.38,-1.05,5699.32,3112.42,2924.71,2736.99,85.59,86.5,83.77,2,3331.08,2670.86
2011-02-21,3031.21,3088.32,3088.75,3029.5,39.14,1.28,5952.86,3133.27,2937.29,2741.31,88.17,87.06,90.39,2,3348.85,2685.11
2011-02-22,3097.04,3001.18,3097.75,2999.98,-87.14,-2.82,7903.73,3138.04,2945.21,2752.38,77.02,83.71,63.63,2,3356.84,2691.52
2011-02-23,2990.61,3010.12,3017.62,2985.97,8.94,0.3,5389.96,3144.36,2950.66,2756.95,65.49,77.64,41.2,2,3369.86,2701.96
2011-02-24,3006.45,3024.33,3028.8,2995.22,14.21,0.47,4896.57,3145.95,2961.52,2777.08,57.35,70.88,30.31,2,3377.95,2708.44
2011-02-25,3025.27,3032.62,3048.62,2996.92,8.29,0.27,4525.15,3149.64,2970.91,2792.18,51.48,64.41,25.62,2,3385.25,2714.3
2011-02-28,3036.16,3072.05,3074.07,3015.14,39.43,1.3,5893.95,3153.21,2983.52,2813.83,58.76,62.53,51.22,2,3386.11,2714.99
2011-03-01,3074.18,3088.1,3105.9,3069.99,16.05,0.52,6883.1,3152.74,2997.48,2842.21,67.56,64.2,74.26,2,3389.2,2717.47
2011-03-02,3071.38,3081.06,3093.69,3044.27,-7.04,-0.23,6337.52,3151.44,3009.36,2867.28,71.47,66.62,81.15,2,3388.67,2717.04
2011-03-03,3086.06,3069.35,3114.25,3068.3,-11.71,-0.38,7967.67,3150.9,3018.54,2886.17,69.31,67.52,72.89,2,3387.31,2715.95
2011-03-04,3072.11,3114.06,3117.45,3066.53,44.71,1.46,6401.62,3155.06,3029.54,2904.03,78.68,71.24,93.56,2,3394.51,2721.73
2011-03-07,3130.09,3172.98,3176.7,3130.09,58.92,1.89,9449.56,3173.0,3041.78,2910.57,85.14,75.87,103.67,2,3403.91,2729.26
2011-03-08,3172.62,3174.53,3180.92,3150.53,1.55,0.05,6597.39,3186.73,3054.05,2921.37,88.94,80.23,106.37,2,3423.15,2744.69
2011-03-09,3182.43,3175.67,3193.6,3161.75,1.14,0.04,5952.61,3188.87,3068.19,2947.51,89.59,83.35,102.07,2,3441.53,2759.42
2011-03-10,3167.76,3119.88,3167.76,3118.93,-55.79,-1.76,6041.13,3186.56,3076.61,2966.66,79.29,82.0,73.88,0,3452.13,2767.93
2011-03-11,3103.88,3087.69,3127.9,3080.95,-32.19,-1.03,5091.98,3180.41,3082.66,2984.91,62.55,75.52,36.63,2,3458.25,2772.83
2011-03-14,3080.13,3101.38,3101.6,3073.53,13.69,0.44,4805.24,3182.21,3084.51,2986.81,54.45,68.49,26.36,2,3461.5,2775.44
2011-03-15,3089.97,3046.76,3089.97,2995.6,-54.62,-1.76,7391.6,3182.37,3083.83,2985.29,44.91,60.63,13.47,2,3456.91,2771.76
2011-03-16,3048.46,3089.12,3092.03,3046.18,42.36,1.39,6145.47,3182.56,3084.0,2985.43,45.69,55.65,25.76,2,3457.81,2772.48
2011-03-17,3059.83,3042.06,3081.57,3031.61,-47.06,-1.52,6639.89,3182.27,3082.02,2981.77,38.28,49.86,15.12,2,3454.78,2770.05
