time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,3825.49,3864.35,3864.54,3809.43,59.18,1.56,3532.43,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,3847.28,3875.36,3886.17,3829.89,11.01,0.28,3382.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,3876.06,3868.21,3892.53,3853.34,-7.15,-0.18,3217.26,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,3859.54,3844.57,3883.82,3820.29,-23.64,-0.61,3308.18,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,3837.51,3741.6,3849.82,3731.73,-102.97,-2.68,2901.71,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,3724.96,3726.24,3732.4,3680.32,-15.36,-0.41,2520.45,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,3733.16,3749.22,3757.68,3693.53,22.98,0.62,2362.2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,3760.49,3742.49,3766.62,3729.4,-6.73,-0.18,2457.46,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,3733.04,3664.82,3733.04,3659.46,-77.67,-2.08,2800.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,3639.35,3509.88,3643.54,3501.38,-154.94,-4.23,2967.14,0.0,0.0,0.0,0.0,0.0,0.0,2,4172.13,3345.22
2011-01-18,3496.26,3523.16,3527.69,3476.4,13.28,0.38,1904.77,0.0,0.0,0.0,0.0,0.0,0.0,2,4134.26,3314.85
2011-01-19,3524.63,3613.56,3613.65,3516.98,90.4,2.57,2521.14,0.0,0.0,0.0,0.0,0.0,0.0,2,4105.2,3291.55
2011-01-20,3605.03,3485.79,3605.17,3485.1,-127.77,-3.54,2878.59,0.0,0.0,0.0,0.0,0.0,0.0,2,4062.75,3257.52
2011-01-21,3471.61,3518.51,3547.54,3465.31,32.72,0.94,2853.75,0.0,0.0,0.0,0.0,0.0,0.0,2,4026.55,3228.5
2011-01-24,3519.62,3446.76,3531.13,3445.77,-71.75,-2.04,2778.21,0.0,0.0,0.0,0.0,0.0,0.0,2,3993.83,3202.26
2011-01-25,3436.79,3386.62,3436.79,3359.27,-60.14,-1.74,2223.45,0.0,0.0,0.0,0.0,0.0,0.0,2,3956.13,3172.03
2011-01-26,3383.15,3447.03,3448.52,3383.15,60.41,1.78,2000.97,0.0,0.0,0.0,13.16,10.6,18.28,2,3922.59,3145.14
2011-01-27,3424.51,3504.38,3515.3,3404.13,57.35,1.66,2840.64,0.0,0.0,0.0,25.79,15.66,46.04,2,3896.16,3123.95
2011-01-28,3498.88,3542.7,3550.74,3493.78,38.32,1.09,2636.25,0.0,0.0,0.0,41.23,24.18,75.32,2,3882.6,3113.08
2011-01-31,3539.51,3601.03,3601.38,3535.35,58.33,1.65,2840.35,3941.82,3632.81,3323.81,59.16,35.84,105.81,2,3892.72,3121.19
2011-02-01,3601.61,3614.06,3621.23,3593.47,13.03,0.36,2548.82,3910.48,3620.3,3330.12,71.86,47.85,119.89,2,3902.81,3129.28
2011-02-09,3586.83,3609.29,3640.33,3578.09,-4.77,-0.13,2977.48,3872.53,3607.0,3341.46,77.56,57.75,117.18,2,3902.33,3128.9
2011-02-10,3604.27,3706.2,3706.2,3600.63,96.91,2.69,3590.0,3840.91,3598.9,3356.88,85.04,66.85,121.42,2,3926.8,3148.52
2011-02-11,3704.35,3741.56,3753.88,3697.59,35.36,0.95,3893.95,3818.38,3593.74,3369.11,88.99,74.23,118.5,2,3951.56,3168.37
2011-02-14,3743.72,3803.95,3814.0,3743.72,62.39,1.67,4709.73,3831.15,3596.86,3362.58,91.88,80.11,115.42,2,3991.21,3200.16
2011-02-15,3808.05,3808.59,3854.32,3794.78,4.64,0.12,5172.06,3846.82,3600.98,3355.14,91.2,83.81,105.99,2,4038.05,3237.71
2011-02-16,3799.14,3875.78,3875.78,3794.77,67.19,1.76,4300.13,3873.74,3607.31,3340.87,94.13,87.25,107.9,0,4085.64,3275.87
2011-02-17,3884.61,3895.81,3901.14,3843.78,20.03,0.52,4860.29,3904.36,3614.97,3325.59,95.6,90.03,106.74,0,4129.09,3310.71
2011-02-18,3884.67,3860.45,3894.09,3842.34,-35.36,-0.91,4244.26,3932.84,3624.76,3316.67,92.87,90.98,96.65,0,4164.36,3338.99
2011-02-21,3834.96,3940.47,3940.7,3831.92,80.02,2.07,4483.77,3978.49,3646.28,3314.08,95.23,92.4,100.89,0,4202.03,3369.2
2011-02-22,3948.09,3838.62,3952.56,3837.13,-101.85,-2.58,5389.68,3999.3,3662.06,3324.82,86.03,90.27,77.53,2,4226.96,3389.18
