time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,1558.65,1555.58,1568.1,1554.53,-7.54,-0.48,1440.66,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,1552.48,1567.22,1574.2,1550.4,11.64,0.75,2157.05,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,1571.64,1553.03,1573.14,1549.17,-14.19,-0.91,1873.2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,1549.8,1545.61,1553.64,1537.47,-7.42,-0.48,1986.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,1548.68,1560.32,1561.04,1545.77,14.71,0.95,1791.83,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,1571.1,1630.45,1646.82,1571.1,70.13,4.49,5385.81,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,1631.47,1632.84,1639.13,1624.71,2.38,0.15,3406.61,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,1625.96,1619.57,1625.96,1607.95,-13.27,-0.81,2347.98,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,1630.24,1624.1,1638.6,1610.6,4.53,0.28,2421.79,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,1621.72,1610.51,1627.23,1610.4,-13.59,-0.84,1965.2,0.0,0.0,0.0,0.0,0.0,0.0,2,1764.81,1415.03
2012-09-14,1629.71,1625.99,1638.55,1615.8,15.48,0.96,3033.58,0.0,0.0,0.0,0.0,0.0,0.0,2,1772.63,1421.3
2012-09-17,1623.99,1589.34,1625.95,1588.66,-36.65,-2.25,2423.91,0.0,0.0,0.0,0.0,0.0,0.0,2,1775.09,1423.27
2012-09-18,1581.71,1571.88,1584.65,1567.26,-17.47,-1.1,1646.01,0.0,0.0,0.0,0.0,0.0,0.0,2,1777.18,1424.94
2012-09-19,1572.74,1578.11,1580.66,1566.95,6.24,0.4,1753.78,0.0,0.0,0.0,0.0,0.0,0.0,2,1780.79,1427.84
2012-09-20,1571.43,1547.47,1571.43,1545.48,-30.64,-1.94,2227.19,0.0,0.0,0.0,0.0,0.0,0.0,2,1779.36,1426.69
2012-09-21,1543.52,1552.25,1564.99,1541.99,4.78,0.31,2101.87,0.0,0.0,0.0,0.0,0.0,0.0,2,1770.68,1419.73
2012-09-24,1540.96,1561.28,1567.69,1534.34,9.03,0.58,2013.09,0.0,0.0,0.0,24.53,36.73,0.13,2,1762.74,1413.36
2012-09-25,1556.99,1558.65,1567.89,1553.18,-2.64,-0.17,1524.89,0.0,0.0,0.0,24.13,32.53,7.33,1,1755.97,1407.94
2012-09-26,1556.52,1544.13,1562.83,1540.79,-14.52,-0.93,1389.54,0.0,0.0,0.0,19.22,28.09,1.47,1,1747.1,1400.83
2012-09-27,1544.53,1592.38,1603.7,1544.28,48.25,3.12,2969.27,1642.94,1581.04,1519.13,33.93,30.04,41.71,2,1745.08,1399.21
2012-09-28,1580.77,1619.29,1622.39,1579.91,26.92,1.69,3270.18,1647.11,1584.22,1521.34,54.78,38.29,87.77,2,1744.34,1398.62
