time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,1546.46,1593.29,1606.34,1536.22,42.23,2.72,94.76,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,1585.52,1581.85,1594.85,1571.75,-11.44,-0.72,79.15,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,1579.47,1570.39,1593.17,1569.43,-11.46,-0.72,79.28,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,1565.34,1559.96,1589.13,1548.52,-10.43,-0.66,76.05,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,1556.84,1517.3,1576.24,1510.17,-42.66,-2.73,60.63,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,1508.4,1492.08,1510.86,1474.57,-25.22,-1.66,59.23,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,1491.83,1508.87,1514.7,1477.83,16.79,1.13,64.68,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,1513.81,1513.08,1525.61,1509.64,4.21,0.28,70.47,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,1511.55,1484.15,1515.57,1484.07,-28.93,-1.91,64.89,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,1472.7,1409.46,1473.29,1405.06,-74.69,-5.03,64.97,0.0,0.0,0.0,0.0,0.0,0.0,2,1690.58,1355.51
2011-01-18,1392.0,1395.74,1404.88,1382.36,-13.72,-0.97,41.95,0.0,0.0,0.0,0.0,0.0,0.0,2,1668.65,1337.93
2011-01-19,1394.41,1445.91,1449.13,1392.19,50.17,3.59,57.08,0.0,0.0,0.0,0.0,0.0,0.0,2,1653.56,1325.83
2011-01-20,1441.46,1395.17,1442.51,1393.79,-50.74,-3.51,55.56,0.0,0.0,0.0,0.0,0.0,0.0,2,1634.11,1310.23
2011-01-21,1385.01,1405.31,1424.02,1383.64,10.14,0.73,63.03,0.0,0.0,0.0,0.0,0.0,0.0,1,1616.94,1296.47
2011-01-24,1403.2,1338.87,1409.56,1338.56,-66.44,-4.73,67.55,0.0,0.0,0.0,0.0,0.0,0.0,1,1597.14,1280.59
2011-01-25,1332.67,1330.24,1332.98,1294.35,-8.63,-0.64,64.89,0.0,0.0,0.0,0.0,0.0,0.0,1,1579.17,1266.19
2011-01-26,1320.49,1358.71,1359.53,1320.49,28.47,2.14,48.37,0.0,0.0,0.0,16.86,11.81,26.95,1,1562.51,1252.82
2011-01-27,1351.37,1364.45,1371.21,1333.08,5.74,0.42,66.1,0.0,0.0,0.0,24.3,15.97,40.95,1,1546.01,1239.59
2011-01-28,1361.22,1365.59,1376.49,1347.06,1.14,0.08,69.94,0.0,0.0,0.0,31.54,21.16,52.3,2,1532.85,1229.04
2011-01-31,1366.0,1369.19,1376.02,1356.41,3.6,0.26,106.97,1620.29,1449.98,1279.67,37.14,26.49,58.45,2,1528.38,1225.46
2011-02-01,1372.88,1374.19,1381.96,1364.52,5.0,0.37,82.19,1598.92,1439.03,1279.13,42.73,31.9,64.37,2,1525.99,1223.54
2011-02-09,1361.95,1374.49,1389.23,1351.59,0.3,0.02,78.93,1576.61,1428.66,1280.71,49.08,37.63,72.0,2,1518.06,1217.18
2011-02-10,1371.15,1410.26,1411.1,1363.48,35.77,2.6,72.75,1553.63,1420.65,1287.68,65.82,47.02,103.4,2,1519.73,1218.53
2011-02-11,1407.04,1413.4,1419.88,1403.63,3.14,0.22,78.65,1529.93,1413.32,1296.72,75.49,56.51,113.44,2,1520.63,1219.25
2011-02-14,1412.17,1434.5,1435.92,1409.63,21.1,1.49,87.76,1516.21,1409.18,1302.15,83.25,65.43,118.9,2,1531.25,1227.76
2011-02-15,1433.46,1432.64,1449.84,1428.84,-1.86,-0.13,100.0,1506.99,1406.21,1305.43,83.92,71.59,108.59,2,1542.61,1236.87
2011-02-16,1429.86,1436.45,1436.45,1416.46,3.81,0.27,74.85,1493.02,1402.59,1312.16,84.94,76.04,102.74,0,1551.24,1243.79
2011-02-17,1435.99,1436.26,1440.85,1423.22,-0.19,-0.01,85.43,1475.59,1398.75,1321.91,85.35,79.14,97.77,0,1559.21,1250.18
2011-02-18,1432.41,1407.8,1432.41,1406.03,-28.46,-1.98,76.51,1461.29,1394.93,1328.57,75.97,78.09,71.74,2,1563.9,1253.94
2011-02-21,1401.02,1420.3,1420.3,1398.14,12.5,0.89,72.23,1462.48,1395.47,1328.47,73.96,76.71,68.46,2,1569.57,1258.49
2011-02-22,1435.82,1434.52,1447.69,1415.46,14.22,1.0,111.45,1466.54,1397.41,1328.28,76.73,76.72,76.75,2,1576.27,1263.86
2011-02-23,1426.79,1447.98,1451.62,1422.88,13.46,0.94,65.83,1466.94,1397.52,1328.09,82.22,78.55,89.55,2,1584.43,1270.4
2011-02-24,1448.67,1464.09,1477.22,1442.57,16.11,1.11,82.87,1476.18,1400.96,1325.74,82.61,79.9,88.02,2,1590.4,1275.19
2011-02-25,1460.7,1451.42,1462.7,1434.53,-12.67,-0.87,68.84,1481.64,1403.27,1324.9,77.53,79.11,74.37,2,1594.62,1278.57
2011-02-28,1454.41,1450.34,1454.63,1431.67,-1.08,-0.07,76.36,1483.89,1408.84,1333.8,73.69,77.3,66.46,2,1596.38,1279.98
2011-03-01,1449.65,1455.78,1460.01,1439.32,5.44,0.38,84.56,1483.52,1415.12,1346.71,73.42,76.01,68.25,2,1598.95,1282.04
2011-03-02,1449.89,1443.85,1450.21,1429.51,-11.93,-0.82,52.76,1483.68,1419.37,1355.07,68.22,73.41,57.82,2,1599.77,1282.7
2011-03-03,1442.03,1410.52,1445.51,1408.82,-33.33,-2.31,63.41,1481.06,1421.68,1362.29,50.7,65.84,20.41,2,1596.91,1280.41
2011-03-04,1413.48,1416.97,1419.23,1394.4,6.45,0.46,74.31,1477.87,1424.25,1370.63,42.88,58.19,12.27,2,1597.93,1281.22
2011-03-07,1424.06,1426.6,1429.26,1415.4,9.63,0.68,90.57,1474.42,1427.12,1379.82,41.55,52.64,19.36,2,1598.63,1281.78
2011-03-08,1428.25,1443.34,1446.21,1427.9,16.74,1.17,73.21,1471.58,1430.58,1389.57,47.4,50.89,40.4,2,1599.61,1282.57
2011-03-09,1443.54,1440.81,1446.78,1429.1,-2.53,-0.18,70.02,1465.98,1433.89,1401.81,54.25,52.01,58.72,2,1598.81,1281.93
2011-03-10,1438.29,1448.19,1455.65,1433.81,7.38,0.51,80.66,1466.52,1435.79,1405.06,63.49,55.84,78.8,2,1597.05,1280.52
2011-03-11,1441.58,1441.16,1462.64,1439.51,-7.03,-0.49,84.46,1466.2,1437.18,1408.16,65.17,58.95,77.61,2,1595.91,1279.6
2011-03-14,1437.35,1447.63,1447.63,1424.21,6.47,0.45,74.48,1467.17,1437.83,1408.49,69.45,62.45,83.45,2,1595.61,1279.36
2011-03-15,1445.2,1434.83,1449.87,1400.65,-12.8,-0.88,94.16,1467.22,1437.94,1408.66,66.05,63.65,70.85,2,1593.28,1277.5
2011-03-16,1435.6,1458.58,1458.58,1435.6,23.75,1.66,79.42,1469.66,1439.05,1408.44,75.38,67.56,91.03,2,1594.92,1278.81
