time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,5736.41,5835.3,5844.26,5735.45,120.24,2.1,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,5811.25,5828.16,5844.64,5798.87,-7.14,-0.12,15.28,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,5831.22,5801.46,5853.99,5801.32,-26.7,-0.46,11.86,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,5815.87,5836.34,5870.4,5802.5,34.88,0.6,24.76,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,5838.39,5737.84,5840.12,5722.41,-98.5,-1.69,16.36,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,5723.39,5749.1,5758.34,5710.46,11.26,0.2,13.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,5737.59,5762.67,5777.34,5729.38,13.57,0.24,12.32,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,5766.35,5774.9,5788.89,5752.86,12.23,0.21,9.27,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,5770.76,5730.09,5772.24,5721.67,-44.81,-0.78,10.82,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,5720.02,5603.86,5720.02,5578.55,-126.23,-2.2,20.35,0.0,0.0,0.0,0.0,0.0,0.0,2,6400.23,5131.72
2011-01-18,5590.64,5654.16,5663.22,5586.7,50.3,0.9,9.02,0.0,0.0,0.0,0.0,0.0,0.0,2,6380.12,5115.59
2011-01-19,5677.79,5798.27,5813.98,5656.82,144.11,2.55,21.09,0.0,0.0,0.0,0.0,0.0,0.0,2,6376.8,5112.93
2011-01-20,5788.17,5712.12,5788.17,5697.94,-86.15,-1.49,15.44,0.0,0.0,0.0,0.0,0.0,0.0,2,6366.89,5104.98
2011-01-21,5683.22,5796.87,5817.32,5683.22,84.75,1.48,17.79,0.0,0.0,0.0,0.0,0.0,0.0,2,6362.51,5101.47
2011-01-24,5785.22,5747.29,5819.09,5746.23,-49.58,-0.86,16.59,0.0,0.0,0.0,0.0,0.0,0.0,2,6363.56,5102.31
2011-01-25,5748.0,5718.3,5767.64,5692.05,-28.99,-0.5,11.56,0.0,0.0,0.0,0.0,0.0,0.0,2,6360.14,5099.57
2011-01-26,5715.58,5771.96,5792.75,5714.81,53.66,0.94,10.29,0.0,0.0,0.0,65.98,54.41,89.11,2,6361.17,5100.4
2011-01-27,5756.66,5788.28,5790.05,5718.28,16.32,0.28,17.74,0.0,0.0,0.0,73.05,60.62,97.9,2,6362.65,5101.59
2011-01-28,5753.06,5804.48,5804.48,5748.2,16.2,0.28,12.75,0.0,0.0,0.0,79.94,67.06,105.69,2,6370.91,5108.21
2011-01-31,5767.99,5795.24,5809.02,5742.69,-9.24,-0.16,11.83,5877.44,5762.33,5647.23,81.73,71.95,101.28,2,6392.15,5125.24
2011-02-01,5798.74,5802.52,5812.1,5764.72,7.28,0.13,10.42,5872.49,5760.7,5648.9,83.75,75.88,99.49,2,6408.62,5138.44
2011-02-09,5727.37,5714.84,5786.73,5677.47,-87.68,-1.51,15.54,5864.02,5755.03,5646.04,64.63,72.13,49.63,2,6399.36,5131.02
2011-02-10,5721.86,5715.83,5742.29,5706.26,0.99,0.02,14.67,5858.83,5750.75,5642.67,52.12,65.46,25.43,2,6399.77,5131.35
2011-02-11,5721.5,5703.46,5756.89,5697.91,-12.37,-0.22,21.77,5846.51,5744.1,5641.7,41.18,57.37,8.8,2,6389.4,5123.04
2011-02-14,5687.99,5804.67,5816.47,5687.99,101.21,1.77,27.24,5853.13,5747.45,5641.76,57.96,57.56,58.74,2,6395.77,5128.14
2011-02-15,5802.02,5809.6,5847.55,5795.42,4.93,0.08,22.62,5859.58,5750.47,5641.36,64.53,59.89,73.83,2,6405.91,5136.27
2011-02-16,5796.78,5835.19,5840.35,5785.67,25.59,0.44,20.22,5869.24,5754.1,5638.96,73.93,64.57,92.66,2,6412.93,5141.9
2011-02-17,5832.36,5832.55,5870.45,5803.94,-2.64,-0.05,20.53,5876.85,5756.98,5637.11,76.08,68.4,91.42,2,6417.84,5145.84
2011-02-18,5832.54,5782.44,5842.19,5776.94,-50.11,-0.86,14.04,5879.29,5759.6,5639.91,68.85,68.55,69.44,2,6415.39,5143.87
2011-02-21,5730.27,5789.12,5789.12,5730.27,6.68,0.12,24.05,5865.33,5768.86,5672.39,65.18,67.43,60.69,2,6414.71,5143.33
2011-02-22,5778.39,5639.47,5780.13,5630.46,-149.65,-2.59,26.4,5868.23,5768.13,5668.02,44.71,59.86,14.41,2,6396.62,5128.82
