time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,1601.4,1610.79,1611.07,1585.51,16.06,1.01,258.67,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,1604.23,1597.57,1605.19,1585.15,-13.22,-0.82,294.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,1594.53,1592.5,1603.14,1585.43,-5.07,-0.32,252.33,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,1588.49,1584.53,1598.63,1574.77,-7.97,-0.5,233.29,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,1582.86,1545.0,1589.31,1541.11,-39.53,-2.49,221.84,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,1538.96,1535.4,1546.97,1517.3,-9.6,-0.62,177.74,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,1540.68,1548.43,1548.43,1525.18,13.03,0.85,159.49,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,1551.12,1550.21,1553.87,1541.17,1.78,0.11,189.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,1546.55,1522.48,1546.79,1516.69,-27.73,-1.79,154.46,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,1513.45,1462.27,1516.79,1460.18,-60.21,-3.95,188.04,0.0,0.0,0.0,0.0,0.0,0.0,2,1725.96,1383.88
2011-01-18,1459.06,1480.62,1482.05,1451.09,18.35,1.25,139.91,0.0,0.0,0.0,0.0,0.0,0.0,2,1711.51,1372.29
2011-01-19,1481.41,1505.73,1505.73,1472.59,25.11,1.7,164.67,0.0,0.0,0.0,0.0,0.0,0.0,2,1701.32,1364.12
2011-01-20,1501.84,1454.62,1501.84,1454.3,-51.11,-3.39,173.8,0.0,0.0,0.0,0.0,0.0,0.0,2,1686.01,1351.85
2011-01-21,1451.94,1454.02,1476.42,1450.02,-0.6,-0.04,262.42,0.0,0.0,0.0,0.0,0.0,0.0,1,1671.52,1340.23
2011-01-24,1452.99,1419.29,1458.12,1419.29,-34.73,-2.39,226.28,0.0,0.0,0.0,0.0,0.0,0.0,1,1657.57,1329.04
2011-01-25,1417.71,1407.51,1421.66,1399.07,-11.78,-0.83,168.35,0.0,0.0,0.0,0.0,0.0,0.0,1,1643.37,1317.66
2011-01-26,1406.7,1440.92,1442.46,1406.7,33.41,2.37,205.25,0.0,0.0,0.0,13.67,10.05,20.9,1,1631.44,1308.09
2011-01-27,1433.34,1463.83,1466.9,1422.68,22.91,1.59,213.88,0.0,0.0,0.0,27.45,15.85,50.64,2,1621.85,1300.4
2011-01-28,1461.28,1483.01,1485.94,1458.9,19.18,1.31,171.75,0.0,0.0,0.0,44.53,25.41,82.77,2,1617.47,1296.89
2011-01-31,1480.62,1493.0,1495.54,1476.08,9.99,0.67,161.68,1626.92,1507.59,1388.25,59.04,36.62,103.89,2,1620.88,1299.63
2011-02-01,1493.38,1489.54,1498.86,1478.28,-3.46,-0.23,133.27,1611.2,1501.52,1391.85,68.71,47.32,111.48,2,1621.87,1300.42
2011-02-09,1480.25,1470.9,1495.82,1468.83,-18.64,-1.25,181.36,1596.24,1495.19,1394.14,69.8,54.81,99.77,2,1618.01,1297.32
2011-02-10,1471.02,1509.44,1510.16,1467.72,38.54,2.62,207.43,1582.08,1491.04,1399.99,79.65,63.09,112.77,2,1624.09,1302.2
2011-02-11,1511.0,1540.12,1545.89,1509.82,30.68,2.03,272.83,1572.5,1488.82,1405.13,85.12,70.43,114.5,2,1633.65,1309.86
2011-02-14,1542.33,1567.71,1574.15,1542.3,27.59,1.79,325.66,1577.19,1489.95,1402.71,88.8,76.56,113.29,2,1650.12,1323.07
2011-02-15,1569.07,1555.22,1574.72,1554.17,-12.49,-0.8,282.94,1580.64,1490.94,1401.24,88.26,80.46,103.86,0,1666.52,1336.22
2011-02-16,1552.37,1566.06,1566.1,1543.86,10.84,0.7,214.45,1584.08,1491.82,1399.57,89.68,83.53,101.98,0,1680.41,1347.36
2011-02-17,1568.77,1560.98,1572.5,1547.44,-5.08,-0.32,349.72,1586.09,1492.36,1398.64,88.84,85.3,95.92,0,1691.19,1356.0
