time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2022-01-04,2302.18,2277.99,2302.18,2261.36,-10.91,-0.48,1432.43,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-01-05,2276.51,2217.97,2278.61,2205.37,-60.02,-2.63,1625.44,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-01-06,2197.77,2187.34,2208.26,2172.06,-30.63,-1.38,1343.15,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-01-07,2194.82,2164.49,2204.51,2161.82,-22.85,-1.04,1290.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-01-10,2152.77,2168.81,2177.07,2127.39,4.32,0.2,1472.88,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-01-11,2165.84,2128.83,2169.15,2124.46,-39.98,-1.84,1241.3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-01-12,2140.58,2148.57,2151.27,2125.98,19.74,0.93,1160.38,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-01-13,2149.47,2104.57,2149.47,2104.23,-44.0,-2.05,1250.95,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-01-14,2092.5,2110.68,2124.52,2092.5,6.11,0.29,1162.85,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-01-17,2131.14,2169.3,2173.53,2131.14,58.62,2.78,1648.81,0.0,0.0,0.0,0.0,0.0,0.0,2,2406.32,1929.39
2022-01-18,2173.37,2191.35,2219.39,2167.73,22.05,1.02,1670.32,0.0,0.0,0.0,0.0,0.0,0.0,2,2396.7,1921.68
2022-01-19,2196.21,2170.9,2206.03,2156.76,-20.45,-0.93,1458.48,0.0,0.0,0.0,0.0,0.0,0.0,2,2391.48,1917.49
2022-01-20,2169.24,2164.23,2183.73,2153.03,-6.67,-0.31,1267.39,0.0,0.0,0.0,0.0,0.0,0.0,2,2388.91,1915.43
2022-01-21,2149.67,2129.99,2158.5,2122.58,-34.24,-1.58,1229.66,0.0,0.0,0.0,0.0,0.0,0.0,2,2385.08,1912.36
2022-01-24,2119.2,2131.72,2143.98,2117.39,1.73,0.08,1124.64,0.0,0.0,0.0,0.0,0.0,0.0,2,2380.97,1909.06
2022-01-25,2125.06,2072.29,2129.94,2072.02,-59.43,-2.79,1481.2,0.0,0.0,0.0,0.0,0.0,0.0,2,2374.69,1904.03
2022-01-26,2084.45,2087.09,2090.91,2054.02,14.8,0.71,1123.55,0.0,0.0,0.0,23.93,36.09,-0.4,2,2367.87,1898.56
