time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2017-02-06,1332.62,1342.22,1343.24,1330.71,9.06,0.68,6414.04,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2017-02-07,1341.19,1338.71,1344.26,1332.76,-3.51,-0.26,6560.37,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2017-02-08,1337.03,1348.39,1348.5,1331.64,9.69,0.72,7360.26,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2017-02-09,1348.19,1356.32,1356.55,1347.36,7.93,0.59,8996.39,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2017-02-10,1355.9,1355.54,1359.29,1353.04,-0.78,-0.06,9913.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2017-02-13,1355.18,1363.77,1364.12,1355.07,8.23,0.61,9577.3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2017-02-14,1363.97,1363.45,1365.73,1359.36,-0.31,-0.02,8454.35,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2017-02-15,1362.69,1351.01,1366.96,1348.54,-12.44,-0.91,9890.23,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2017-02-16,1350.47,1361.09,1361.46,1349.51,10.08,0.75,8807.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2017-02-17,1360.32,1352.38,1362.97,1349.46,-8.71,-0.64,9409.71,0.0,0.0,0.0,0.0,0.0,0.0,2,1502.15,1204.43
2017-02-20,1352.77,1365.92,1366.33,1352.77,13.55,1.0,9882.07,0.0,0.0,0.0,0.0,0.0,0.0,2,1504.78,1206.54
2017-02-21,1366.63,1376.37,1376.43,1365.77,10.45,0.76,9993.04,0.0,0.0,0.0,0.0,0.0,0.0,2,1508.96,1209.89
2017-02-22,1376.16,1380.97,1381.01,1374.07,4.59,0.33,9871.71,0.0,0.0,0.0,0.0,0.0,0.0,2,1512.58,1212.79
2017-02-23,1380.99,1382.46,1382.97,1374.68,1.49,0.11,10508.49,0.0,0.0,0.0,0.0,0.0,0.0,2,1515.48,1215.11
