time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2020-03-31,1293.4,1271.3,1293.4,1270.56,0.0,-0.63,1706.45,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-04-16,1545.91,1324.17,1557.58,1545.86,11.86,0.9,1046.49,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-04-17,1338.71,1337.91,1354.16,1333.43,13.74,1.04,2413.74,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-04-20,1342.86,1364.3,1364.35,1342.56,26.39,1.97,2006.27,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-04-21,1356.13,1356.61,1359.17,1333.43,-7.69,-0.56,2323.95,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-04-22,1341.35,1357.03,1357.03,1336.72,0.42,0.03,1824.85,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-04-23,1361.44,1337.41,1362.36,1336.24,-19.62,-1.44,1572.11,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-04-24,1334.62,1310.45,1343.29,1305.49,-26.96,-2.02,1495.89,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-04-27,1317.2,1319.11,1330.2,1309.07,8.66,0.66,1422.64,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2020-04-28,1318.6,1323.56,1329.86,1275.65,4.45,0.34,1803.75,0.0,0.0,0.0,0.0,0.0,0.0,2,1476.51,1183.86
2020-04-29,1318.11,1316.9,1328.26,1313.98,-6.66,-0.5,1161.6,0.0,0.0,0.0,0.0,0.0,0.0,2,1481.57,1187.92
2020-04-30,1327.5,1367.72,1372.7,1327.5,50.82,3.86,1900.72,0.0,0.0,0.0,0.0,0.0,0.0,2,1486.4,1191.8
2020-05-06,1362.66,1402.48,1403.16,1361.69,34.76,2.54,1978.89,0.0,0.0,0.0,0.0,0.0,0.0,2,1493.57,1197.55
2020-05-07,1413.53,1393.54,1419.12,1390.63,-8.94,-0.64,1611.86,0.0,0.0,0.0,0.0,0.0,0.0,2,1496.81,1200.15
2020-05-08,1405.33,1410.42,1423.63,1402.69,16.88,1.21,1875.11,0.0,0.0,0.0,0.0,0.0,0.0,2,1502.79,1204.94
2020-05-11,1421.54,1405.41,1423.08,1394.63,-5.01,-0.36,1800.45,0.0,0.0,0.0,0.0,0.0,0.0,2,1508.16,1209.24
