time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,1731.29,1732.11,1742.15,1729.85,-4.53,-0.26,4569.79,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,1729.86,1741.93,1748.43,1726.72,9.82,0.57,6016.28,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,1743.19,1728.8,1745.91,1725.08,-13.13,-0.75,5702.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,1724.74,1723.65,1732.77,1716.43,-5.15,-0.3,5717.07,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,1726.19,1735.69,1736.58,1722.52,12.04,0.7,5490.71,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,1745.1,1799.96,1814.58,1745.1,64.27,3.7,13842.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,1800.21,1806.01,1810.48,1793.82,6.05,0.34,10269.9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,1799.75,1793.78,1799.75,1782.48,-12.23,-0.68,7973.05,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,1801.58,1798.72,1808.47,1783.93,4.93,0.27,8344.98,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,1796.41,1785.05,1801.73,1784.73,-13.66,-0.76,7853.33,0.0,0.0,0.0,0.0,0.0,0.0,2,1958.67,1570.47
2012-09-14,1799.52,1796.59,1807.08,1785.79,11.54,0.65,9067.85,0.0,0.0,0.0,0.0,0.0,0.0,2,1965.83,1576.21
2012-09-17,1793.85,1758.34,1794.71,1757.47,-38.25,-2.13,7568.03,0.0,0.0,0.0,0.0,0.0,0.0,2,1967.65,1577.67
2012-09-18,1750.59,1742.24,1755.16,1737.28,-16.11,-0.92,5337.92,0.0,0.0,0.0,0.0,0.0,0.0,2,1969.14,1578.86
2012-09-19,1743.52,1749.15,1750.98,1738.45,6.91,0.4,5190.15,0.0,0.0,0.0,0.0,0.0,0.0,2,1971.97,1581.13
2012-09-20,1742.72,1712.71,1742.72,1711.23,-36.44,-2.08,6712.68,0.0,0.0,0.0,0.0,0.0,0.0,2,1969.42,1579.09
2012-09-21,1709.12,1714.29,1727.25,1707.12,1.59,0.09,6003.22,0.0,0.0,0.0,0.0,0.0,0.0,2,1959.91,1571.46
2012-09-24,1705.0,1719.79,1726.31,1696.11,5.5,0.32,5742.51,0.0,0.0,0.0,22.17,36.08,-5.65,2,1950.34,1563.79
2012-09-25,1715.9,1716.52,1724.79,1710.16,-3.27,-0.19,4806.9,0.0,0.0,0.0,20.91,31.02,0.69,1,1941.77,1556.91
2012-09-26,1715.32,1695.35,1719.69,1691.36,-21.17,-1.23,5015.07,0.0,0.0,0.0,15.09,25.71,-6.15,1,1930.29,1547.71
2012-09-27,1694.39,1739.59,1749.56,1693.75,44.24,2.61,7631.07,1817.3,1749.51,1681.73,25.62,25.68,25.49,2,1925.25,1543.67
