time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,984.95,985.61,994.48,981.93,0.65,0.07,128.07,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,983.17,998.04,1000.42,979.79,12.43,1.26,141.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,996.84,982.04,1000.07,979.71,-16.0,-1.6,137.61,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,979.37,981.24,985.95,970.19,-0.8,-0.08,139.35,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,981.24,990.78,991.21,980.14,9.53,0.97,101.27,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,994.81,1040.55,1049.15,993.86,49.78,5.02,330.04,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,1042.08,1049.07,1050.9,1038.3,8.52,0.82,251.07,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,1044.59,1048.19,1051.27,1031.85,-0.88,-0.08,216.02,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,1052.35,1051.85,1056.25,1039.83,3.66,0.35,170.24,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,1052.94,1041.21,1060.99,1041.21,-10.64,-1.01,205.48,0.0,0.0,0.0,0.0,0.0,0.0,2,1128.71,905.0
2012-09-14,1049.41,1042.97,1052.84,1032.83,1.75,0.17,165.31,0.0,0.0,0.0,0.0,0.0,0.0,2,1135.08,910.11
2012-09-17,1041.25,997.03,1041.25,996.92,-45.94,-4.4,141.23,0.0,0.0,0.0,0.0,0.0,0.0,2,1134.97,910.02
2012-09-18,988.85,990.91,1001.34,984.33,-6.12,-0.61,103.08,0.0,0.0,0.0,0.0,0.0,0.0,2,1135.95,910.81
2012-09-19,988.6,996.67,1000.44,988.58,5.76,0.58,75.87,0.0,0.0,0.0,0.0,0.0,0.0,2,1137.66,912.18
2012-09-20,994.82,956.84,994.82,955.61,-39.83,-4.0,122.45,0.0,0.0,0.0,0.0,0.0,0.0,2,1133.9,909.16
2012-09-21,956.14,948.05,961.65,946.37,-8.79,-0.92,86.71,0.0,0.0,0.0,0.0,0.0,0.0,2,1123.63,900.93
2012-09-24,944.3,953.16,956.58,932.14,5.11,0.54,79.87,0.0,0.0,0.0,19.23,34.86,-12.03,2,1112.98,892.39
2012-09-25,948.82,944.27,955.07,940.8,-8.89,-0.93,59.19,0.0,0.0,0.0,15.96,28.56,-9.24,2,1101.45,883.14
2012-09-26,945.7,925.28,949.67,922.47,-18.99,-2.01,74.25,0.0,0.0,0.0,11.36,22.82,-11.58,1,1087.4,871.88
2012-09-27,924.34,947.43,954.79,923.81,22.15,2.39,102.59,1072.37,993.56,914.74,14.57,20.07,3.58,1,1076.99,863.53
2012-09-28,944.44,969.69,971.21,940.94,22.25,2.35,104.84,1072.2,992.76,913.32,29.67,23.27,42.47,2,1068.86,857.01
2012-10-08,970.84,964.54,975.57,959.68,-5.15,-0.53,66.05,1071.42,991.09,910.76,37.77,28.1,57.09,2,1065.25,854.12
2012-10-09,972.52,987.96,988.57,972.05,23.42,2.43,109.24,1071.62,991.38,911.15,55.35,37.19,91.68,2,1064.92,853.86
2012-10-10,983.01,993.39,995.17,980.17,5.44,0.55,111.6,1072.1,991.99,911.89,69.42,47.93,112.39,2,1064.56,853.56
2012-10-11,987.92,978.4,987.96,977.09,-14.99,-1.51,114.36,1071.7,991.37,911.05,71.92,55.93,103.91,2,1066.95,855.48
2012-10-12,979.31,971.39,988.67,962.96,-7.01,-0.72,81.82,1065.38,987.92,910.45,70.38,60.74,89.65,2,1069.54,857.56
2012-10-15,969.83,956.46,971.04,948.11,-14.93,-1.54,78.36,1056.53,983.28,910.04,62.5,61.33,64.85,2,1069.91,857.85
2012-10-16,957.75,957.82,970.2,956.39,1.36,0.14,85.19,1046.37,978.77,911.16,57.56,60.07,52.52,2,1071.41,859.06
2012-10-17,962.83,967.88,969.54,952.67,10.07,1.05,87.52,1033.35,974.57,915.79,54.93,58.36,48.07,2,1076.14,862.85
2012-10-18,968.52,983.29,984.12,968.43,15.41,1.59,128.74,1022.15,971.67,921.19,61.54,59.42,65.78,2,1080.12,866.04
2012-10-19,986.01,986.7,990.86,983.79,3.41,0.35,109.05,1008.17,968.86,929.55,68.36,62.4,80.28,2,1082.01,867.56
2012-10-22,984.52,990.66,992.92,980.01,3.96,0.4,123.46,1007.03,968.54,930.05,75.71,66.84,93.46,2,1084.91,869.88
2012-10-23,990.22,979.76,991.45,977.37,-10.9,-1.1,103.02,1005.47,967.98,930.5,74.02,69.23,83.59,2,1084.0,869.15
2012-10-24,975.43,981.9,984.02,973.69,2.14,0.22,112.21,1002.98,967.24,931.51,74.48,70.98,81.48,2,1082.72,868.13
2012-10-25,985.77,981.91,1002.52,981.55,0.01,0.0,225.71,1004.44,968.5,932.55,70.36,70.77,69.54,2,1083.11,868.44
2012-10-26,978.35,944.93,980.13,941.98,-36.98,-3.77,147.02,1004.67,968.34,932.02,48.53,63.36,18.88,2,1080.18,866.09
2012-10-29,944.07,944.62,955.11,940.79,-0.31,-0.03,99.88,1005.13,967.91,930.7,34.42,53.71,-4.16,2,1078.86,865.03
2012-10-30,943.5,941.63,955.47,940.12,-2.98,-0.32,90.49,1005.35,967.78,930.21,23.76,43.73,-16.19,2,1077.06,863.59
2012-10-31,940.88,942.56,943.12,934.01,0.92,0.1,63.63,1002.92,968.65,934.38,20.0,35.82,-11.64,2,1074.25,861.34
2012-11-01,942.45,960.66,964.8,942.45,18.1,1.92,101.91,1002.41,969.31,936.21,26.3,32.64,13.6,2,1071.74,859.32
2012-11-02,961.28,963.48,965.4,955.76,2.82,0.29,86.98,1002.19,969.0,935.8,31.87,32.39,30.84,2,1069.16,857.26
2012-11-05,962.12,960.75,969.2,956.41,-2.73,-0.28,80.64,1002.14,968.81,935.47,34.26,33.01,36.75,2,1065.84,854.6
2012-11-06,961.84,957.85,963.88,943.59,-2.9,-0.3,98.02,999.75,967.3,934.85,34.44,33.49,36.34,2,1063.41,852.65
2012-11-07,958.55,964.45,969.46,954.98,6.61,0.69,113.1,996.02,965.86,935.69,44.96,37.31,60.26,2,1061.48,851.09
2012-11-08,954.0,932.1,954.0,931.58,-32.36,-3.36,109.47,996.48,963.54,930.6,30.43,35.02,21.26,2,1055.95,846.66
2012-11-09,929.84,927.98,937.47,925.22,-4.11,-0.44,72.05,997.52,961.37,925.22,22.37,30.8,5.5,2,1054.06,845.15
2012-11-12,928.61,936.44,938.91,928.61,8.45,0.91,79.62,998.08,960.37,922.66,23.36,28.32,13.45,2,1053.16,844.42
2012-11-13,936.3,915.56,936.72,912.31,-20.88,-2.23,76.12,1000.74,958.26,915.77,17.47,24.71,3.01,2,1050.26,842.1
2012-11-14,915.38,917.25,918.76,909.89,1.69,0.19,58.28,1001.51,955.72,909.93,15.77,21.73,3.85,2,1047.45,839.85
2012-11-15,912.33,892.23,913.01,890.83,-25.02,-2.73,66.66,1002.83,951.17,899.52,11.1,18.19,-3.06,2,1039.86,833.76
2012-11-16,891.67,883.14,891.67,874.5,-9.09,-1.02,65.07,1002.86,945.99,889.12,10.44,15.6,0.1,2,1030.94,826.61
2012-11-19,882.32,886.73,886.84,873.19,3.59,0.41,54.99,999.36,940.8,882.23,11.65,14.28,6.37,2,1022.72,820.02
2012-11-20,889.9,886.6,892.75,883.5,-0.13,-0.01,53.06,996.36,936.14,875.92,13.3,13.95,11.98,1,1014.82,813.68
2012-11-21,885.31,898.56,898.63,874.45,11.96,1.35,61.63,990.46,931.97,873.49,21.73,16.55,32.1,2,1007.5,807.82
2012-11-22,894.75,889.77,894.75,886.62,-8.79,-0.98,63.44,983.87,927.36,870.86,22.9,18.66,31.36,2,1002.8,804.05
2012-11-23,890.78,891.77,895.67,888.37,2.01,0.23,65.12,982.64,924.71,866.77,25.01,20.78,33.48,2,998.78,800.83
2012-11-26,890.76,875.87,891.4,875.47,-15.9,-1.78,51.29,982.15,921.27,860.38,18.64,20.07,15.78,2,992.06,795.44
2012-11-27,873.83,846.72,873.91,846.16,-29.15,-3.33,75.48,984.68,916.52,848.37,12.7,17.61,2.89,2,984.42,789.31
2012-11-28,845.48,830.4,845.84,827.33,-16.33,-1.93,74.9,987.52,910.92,834.32,9.9,15.04,-0.37,2,974.78,781.58
2012-11-29,831.0,815.99,835.95,815.02,-14.41,-1.74,54.95,987.14,903.68,820.22,6.99,12.36,-3.75,2,966.32,774.79
2012-11-30,818.06,829.95,832.01,813.23,13.97,1.71,68.79,981.62,897.01,812.39,11.19,11.97,9.62,2,960.41,770.06
2012-12-03,828.29,802.97,833.53,801.7,-26.98,-3.25,66.25,977.81,889.12,800.42,7.89,10.61,2.46,2,951.11,762.61
2012-12-04,803.08,815.84,817.23,796.06,12.87,1.6,72.12,970.3,882.02,793.73,11.88,11.03,13.58,2,943.26,756.31
2012-12-05,815.41,847.43,854.89,812.01,31.58,3.87,149.24,957.02,876.17,795.31,25.11,15.73,43.88,2,937.58,751.76
2012-12-06,847.21,845.32,852.57,841.74,-2.1,-0.25,95.13,949.45,871.83,794.2,33.96,21.81,58.28,2,932.65,747.8
2012-12-07,845.74,863.96,867.58,843.52,18.64,2.2,162.06,941.88,868.63,795.37,51.72,31.78,91.6,2,929.56,745.33
2012-12-10,868.57,879.32,879.98,862.64,15.36,1.78,168.1,932.38,865.77,799.16,67.55,43.7,115.25,2,929.95,745.63
2012-12-11,876.22,875.3,883.41,869.93,-4.02,-0.46,183.45,926.55,863.76,800.96,75.27,54.22,117.37,2,933.12,748.18
2012-12-12,873.69,877.55,881.52,868.08,2.26,0.26,117.79,920.02,861.77,803.52,81.28,63.24,117.35,2,938.35,752.37
2012-12-13,876.99,868.61,881.63,868.32,-8.94,-1.02,149.06,917.26,860.59,803.92,81.87,69.45,106.71,2,944.19,757.06
2012-12-14,867.31,907.35,908.17,867.27,38.73,4.46,273.24,921.31,861.8,802.29,87.67,75.52,111.96,2,952.79,763.94
2012-12-17,907.34,913.35,915.91,903.7,6.01,0.66,249.19,925.91,863.13,800.35,90.96,80.67,111.54,0,965.04,773.77
2012-12-18,916.06,919.24,928.61,909.88,5.89,0.64,229.84,931.47,864.76,798.05,90.38,83.9,103.32,0,976.51,782.97
2012-12-19,932.95,930.64,938.3,929.85,11.4,1.24,222.47,937.64,866.37,795.1,90.89,86.23,100.21,0,985.75,790.38
2012-12-20,935.04,931.36,938.87,920.19,0.72,0.08,188.75,944.59,868.45,792.31,90.64,87.7,96.52,0,995.3,798.03
