time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,1640.46,1653.37,1656.01,1624.31,26.79,1.65,520.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,1629.97,1642.8,1652.44,1627.41,-10.57,-0.64,372.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,1644.05,1645.56,1656.33,1634.32,2.76,0.17,368.3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,1636.58,1625.6,1650.97,1615.83,-19.96,-1.21,366.97,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,1621.18,1571.2,1621.56,1567.11,-54.4,-3.35,331.9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,1562.04,1560.05,1567.09,1541.46,-11.15,-0.71,257.9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,1572.46,1570.5,1579.6,1544.17,10.45,0.67,225.4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,1582.31,1555.7,1582.31,1553.41,-14.8,-0.94,218.45,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,1545.27,1501.69,1545.52,1500.52,-54.01,-3.47,273.65,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,1486.25,1438.69,1494.82,1431.73,-63.0,-4.2,319.63,0.0,0.0,0.0,0.0,0.0,0.0,2,1749.93,1403.1
2011-01-18,1433.33,1436.49,1439.99,1420.51,-2.2,-0.15,186.55,0.0,0.0,0.0,0.0,0.0,0.0,2,1725.86,1383.8
2011-01-19,1439.42,1491.84,1492.68,1433.58,55.35,3.85,282.87,0.0,0.0,0.0,0.0,0.0,0.0,2,1709.1,1370.36
2011-01-20,1486.62,1431.29,1493.4,1431.29,-60.55,-4.06,352.98,0.0,0.0,0.0,0.0,0.0,0.0,2,1685.32,1351.29
2011-01-21,1422.29,1450.94,1458.19,1416.54,19.65,1.37,320.58,0.0,0.0,0.0,0.0,0.0,0.0,2,1665.93,1335.75
2011-01-24,1452.49,1410.37,1457.71,1408.3,-40.57,-2.8,283.61,0.0,0.0,0.0,0.0,0.0,0.0,2,1648.08,1321.43
