time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-07-02,1004.29,1011.43,1014.03,1002.88,0.0,1.14,435.83,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-03,1012.17,1020.34,1027.04,1011.59,0.0,0.88,491.97,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-04,1022.39,1016.1,1025.97,1012.03,0.0,-0.42,451.48,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-05,1013.04,988.42,1013.04,986.8,0.0,-2.73,417.06,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-06,992.79,1007.89,1007.89,978.14,0.0,1.97,464.79,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-09,1001.55,981.59,1005.84,981.4,0.0,-2.61,510.45,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-10,979.4,971.37,981.23,966.97,0.0,-1.04,398.28,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-11,971.35,978.46,979.8,970.07,0.0,0.73,320.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-12,977.47,995.45,997.51,973.31,0.0,1.74,505.05,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-13,992.56,984.72,997.84,984.48,0.0,-1.08,402.3,0.0,0.0,0.0,0.0,0.0,0.0,2,1105.09,886.06
2012-07-16,981.92,932.27,981.92,932.07,0.0,-5.33,540.76,0.0,0.0,0.0,0.0,0.0,0.0,2,1096.3,879.02
2012-07-17,928.44,940.47,940.47,925.87,0.0,0.88,399.24,0.0,0.0,0.0,0.0,0.0,0.0,2,1087.44,871.91
2012-07-18,939.66,946.84,946.84,926.69,0.0,0.68,421.94,0.0,0.0,0.0,0.0,0.0,0.0,2,1079.75,865.75
2012-07-19,945.1,958.8,965.73,942.16,0.0,1.26,511.21,0.0,0.0,0.0,0.0,0.0,0.0,2,1076.46,863.11
2012-07-20,957.68,954.77,965.98,951.6,0.0,-0.42,500.41,0.0,0.0,0.0,0.0,0.0,0.0,2,1070.57,858.38
2012-07-23,949.15,947.86,953.02,938.84,0.0,-0.72,353.33,0.0,0.0,0.0,0.0,0.0,0.0,2,1066.82,855.38
2012-07-24,942.99,954.55,960.56,941.33,0.0,0.71,321.7,0.0,0.0,0.0,34.81,30.76,42.9,2,1064.96,853.88
2012-07-25,951.74,950.56,960.3,949.64,0.0,-0.42,323.85,0.0,0.0,0.0,34.64,32.06,39.81,2,1061.86,851.4
2012-07-26,949.89,945.82,960.91,945.82,0.0,-0.5,344.64,0.0,0.0,0.0,34.96,33.02,38.83,2,1056.35,846.98
2012-07-27,948.67,941.85,952.73,937.34,0.0,-0.42,327.68,1025.98,971.48,916.98,36.59,34.21,41.34,2,1051.59,843.17
2012-07-30,942.08,921.95,948.3,920.48,0.0,-2.11,336.69,1022.34,967.0,911.67,25.47,31.3,13.81,2,1050.45,842.25
2012-07-31,920.24,905.17,920.86,902.65,0.0,-1.82,336.25,1017.15,961.25,905.34,18.3,26.97,0.98,2,1046.53,839.11
2012-08-01,904.04,921.47,927.1,904.04,0.0,1.8,310.7,1008.95,956.51,904.07,22.11,25.35,15.63,2,1043.71,836.85
2012-08-02,920.32,922.01,932.35,918.32,0.0,0.06,338.24,1005.54,953.19,900.85,25.82,25.5,26.44,2,1039.63,833.57
2012-08-03,923.55,942.87,942.87,920.4,0.0,2.26,370.34,996.0,949.94,903.89,40.22,30.41,59.85,2,1038.31,832.52
2012-08-06,940.2,967.35,967.72,938.75,0.0,2.6,562.03,993.72,949.23,904.74,59.96,40.26,99.36,2,1040.47,834.25
2012-08-07,966.93,976.57,977.74,966.47,0.0,0.95,583.09,994.55,949.49,904.43,72.79,51.1,116.16,2,1042.91,836.21
2012-08-08,975.87,973.85,977.7,966.05,0.0,-0.28,539.44,993.77,949.26,904.75,80.13,60.78,118.84,2,1045.5,838.28
2012-08-09,972.5,987.55,987.55,968.92,0.0,1.41,500.43,991.84,948.86,905.89,86.75,69.44,121.39,2,1050.13,842.0
2012-08-10,987.42,989.67,992.73,985.04,0.0,0.22,506.13,992.96,949.11,905.26,90.04,76.3,117.5,2,1055.44,846.25
2012-08-13,987.46,967.48,987.46,967.48,0.0,-2.24,436.31,994.7,950.87,907.04,83.87,78.82,93.95,2,1060.49,850.31
