time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2167.41,2165.05,2182.32,2158.25,-10.59,-0.49,351.24,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2164.02,2193.63,2201.39,2159.57,28.59,1.32,475.84,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2195.97,2165.0,2199.23,2161.75,-28.63,-1.31,441.71,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2157.94,2165.31,2177.65,2147.48,0.31,0.01,476.78,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2168.64,2191.23,2192.11,2167.32,25.92,1.2,376.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2209.23,2306.56,2331.8,2209.23,115.33,5.26,1323.56,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2320.58,2344.57,2362.74,2312.7,38.01,1.65,1180.02,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2328.18,2325.78,2328.18,2303.69,-18.79,-0.8,707.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2342.9,2353.21,2369.09,2326.06,27.43,1.18,791.3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2350.25,2315.24,2355.32,2314.5,-37.98,-1.61,637.88,0.0,0.0,0.0,0.0,0.0,0.0,2,2500.34,2004.78
2012-09-14,2363.58,2348.87,2381.03,2330.25,33.63,1.45,1008.18,0.0,0.0,0.0,0.0,0.0,0.0,2,2520.74,2021.14
2012-09-17,2347.35,2293.52,2357.18,2291.8,-55.35,-2.36,789.22,0.0,0.0,0.0,0.0,0.0,0.0,2,2531.83,2030.03
2012-09-18,2275.87,2257.16,2279.87,2245.19,-36.35,-1.59,523.9,0.0,0.0,0.0,0.0,0.0,0.0,2,2542.06,2038.23
2012-09-19,2259.86,2289.15,2290.04,2248.42,31.99,1.42,627.8,0.0,0.0,0.0,0.0,0.0,0.0,2,2555.81,2049.25
2012-09-20,2281.16,2209.66,2281.16,2206.54,-79.5,-3.47,721.4,0.0,0.0,0.0,0.0,0.0,0.0,2,2557.85,2050.89
2012-09-21,2205.95,2220.11,2248.12,2203.19,10.45,0.47,729.4,0.0,0.0,0.0,0.0,0.0,0.0,2,2548.26,2043.2
2012-09-24,2202.61,2234.54,2248.73,2180.31,14.43,0.65,638.93,0.0,0.0,0.0,30.18,48.02,-5.51,2,2536.04,2033.4
2012-09-25,2225.77,2218.87,2245.0,2211.56,-15.67,-0.7,588.52,0.0,0.0,0.0,26.52,40.85,-2.14,2,2524.18,2023.89
2012-09-26,2215.08,2174.75,2221.75,2168.89,-44.12,-1.99,448.29,0.0,0.0,0.0,18.6,33.44,-11.07,2,2504.37,2008.01
2012-09-27,2172.74,2236.82,2250.61,2172.59,62.08,2.85,708.05,2379.95,2250.45,2120.95,24.43,30.43,12.42,2,2495.66,2001.03
2012-09-28,2225.78,2292.05,2294.33,2222.96,55.23,2.47,878.86,2381.29,2256.8,2132.32,49.01,36.63,73.78,2,2489.36,1995.97
2012-10-08,2291.12,2268.76,2300.74,2254.65,-23.29,-1.02,539.42,2381.68,2260.56,2139.43,57.92,43.72,86.32,2,2486.61,1993.77
2012-10-09,2276.65,2324.85,2325.24,2276.65,56.09,2.47,729.81,2384.38,2268.55,2152.72,71.87,53.1,109.39,2,2494.12,1999.79
2012-10-10,2320.48,2347.46,2347.95,2302.95,22.62,0.97,733.54,2388.1,2277.66,2167.22,81.15,62.45,118.55,2,2500.59,2004.98
2012-10-11,2335.53,2325.74,2350.91,2324.05,-21.72,-0.93,771.05,2389.19,2284.38,2179.57,82.83,69.24,109.99,2,2513.48,2015.31
2012-10-12,2328.16,2323.65,2347.84,2299.45,-2.09,-0.09,585.78,2391.03,2285.24,2179.45,83.56,74.02,102.64,2,2524.97,2024.53
2012-10-15,2318.1,2293.71,2318.49,2275.64,-29.94,-1.29,515.48,2385.05,2282.7,2180.34,78.56,75.53,84.63,2,2531.54,2029.79
2012-10-16,2284.4,2283.37,2300.68,2271.67,-10.34,-0.45,425.84,2381.01,2280.57,2180.14,73.08,74.72,69.82,2,2538.7,2035.53
2012-10-17,2291.89,2298.4,2309.69,2267.91,15.03,0.66,493.59,2373.05,2277.83,2182.62,68.38,72.6,59.92,2,2552.42,2046.54
2012-10-18,2303.16,2335.35,2340.8,2303.16,36.95,1.61,678.82,2376.02,2278.84,2181.66,73.53,72.91,74.76,2,2563.36,2055.31
2012-10-19,2332.56,2329.27,2346.97,2324.33,-6.08,-0.26,566.42,2372.56,2277.86,2183.16,73.66,73.16,74.66,2,2567.49,2058.62
2012-10-22,2309.2,2328.89,2334.29,2302.06,-0.38,-0.02,456.12,2376.72,2279.63,2182.54,73.6,73.31,74.18,2,2574.17,2063.97
2012-10-23,2327.06,2306.25,2332.4,2301.45,-22.64,-0.97,611.91,2379.26,2282.08,2184.91,64.46,70.36,52.67,2,2572.1,2062.32
2012-10-24,2289.95,2307.3,2318.11,2285.73,1.05,0.05,674.56,2380.75,2282.99,2185.23,59.4,66.71,44.79,2,2567.64,2058.74
2012-10-25,2305.44,2296.9,2341.04,2288.81,-10.4,-0.45,860.26,2379.25,2287.35,2195.46,51.82,61.75,31.98,2,2564.44,2056.18
2012-10-26,2291.96,2226.6,2293.46,2220.82,-70.31,-3.06,705.4,2378.66,2287.68,2196.69,36.08,53.19,1.85,2,2553.67,2047.54
2012-10-29,2219.08,2207.96,2225.25,2199.81,-18.64,-0.84,468.98,2381.09,2286.35,2191.6,25.9,44.09,-10.49,2,2544.15,2039.91
2012-10-30,2208.93,2217.63,2232.1,2203.61,9.67,0.44,566.73,2381.21,2286.29,2191.36,21.3,36.5,-9.09,2,2536.86,2034.05
2012-10-31,2214.44,2224.69,2225.26,2204.44,7.07,0.32,502.59,2373.97,2288.78,2203.6,19.84,30.94,-2.38,2,2528.67,2027.49
2012-11-01,2225.64,2275.38,2280.78,2225.64,50.69,2.28,689.1,2372.79,2290.71,2208.63,31.06,30.98,31.22,2,2522.02,2022.16
2012-11-02,2275.93,2272.96,2286.14,2256.82,-2.42,-0.11,548.08,2372.2,2289.76,2207.31,37.97,33.31,47.29,2,2515.77,2017.15
2012-11-05,2265.91,2267.41,2277.4,2254.37,-5.55,-0.24,422.58,2372.2,2289.69,2207.18,41.27,35.96,51.88,2,2508.94,2011.67
