time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,4503.59,4538.28,4538.28,4474.42,60.22,1.34,2363.47,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,4517.21,4518.01,4541.16,4497.85,-20.27,-0.45,2091.9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,4523.42,4498.18,4550.71,4495.48,-19.83,-0.44,1846.35,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,4494.65,4496.75,4542.66,4465.77,-1.43,-0.03,2190.33,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,4494.26,4391.55,4511.31,4380.49,-105.2,-2.34,2236.82,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,4373.54,4373.15,4387.98,4331.67,-18.4,-0.42,1714.88,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,4382.41,4396.83,4406.98,4335.97,23.68,0.54,1591.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,4417.33,4399.74,4425.43,4382.17,2.91,0.07,1360.3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,4389.69,4324.03,4389.69,4316.24,-75.71,-1.72,1527.05,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,4295.52,4129.47,4297.52,4121.21,-194.56,-4.5,1777.19,0.0,0.0,0.0,0.0,0.0,0.0,2,4891.32,3921.87
2011-01-18,4112.81,4128.56,4142.28,4086.49,-0.91,-0.02,1226.16,0.0,0.0,0.0,0.0,0.0,0.0,2,4845.85,3885.41
2011-01-19,4127.17,4216.28,4216.73,4114.66,87.72,2.12,1391.26,0.0,0.0,0.0,0.0,0.0,0.0,2,4812.35,3858.55
2011-01-20,4215.61,4073.45,4215.61,4072.18,-142.83,-3.39,1722.87,0.0,0.0,0.0,0.0,0.0,0.0,2,4765.21,3820.75
2011-01-21,4061.96,4095.8,4151.88,4043.29,22.35,0.55,1644.23,0.0,0.0,0.0,0.0,0.0,0.0,1,4720.7,3785.07
2011-01-24,4097.7,4008.69,4111.52,4007.59,-87.11,-2.13,1453.5,0.0,0.0,0.0,0.0,0.0,0.0,1,4678.21,3750.99
2011-01-25,3998.41,3978.18,4006.95,3954.75,-30.51,-0.76,1158.98,0.0,0.0,0.0,0.0,0.0,0.0,1,4634.36,3715.84
2011-01-26,3979.23,4048.07,4051.34,3979.15,69.89,1.76,1061.29,0.0,0.0,0.0,11.36,8.71,16.64,1,4595.65,3684.8
2011-01-27,4019.61,4111.18,4123.11,3987.88,63.11,1.56,1686.3,0.0,0.0,0.0,22.78,13.4,41.54,2,4563.62,3659.12
2011-01-28,4107.92,4150.88,4162.87,4104.61,39.7,0.97,1511.0,0.0,0.0,0.0,40.14,22.32,75.8,2,4544.4,3643.71
2011-01-31,4144.5,4201.56,4203.08,4140.25,50.68,1.22,1496.71,4614.89,4253.93,3892.97,58.17,34.27,105.96,2,4552.4,3650.13
2011-02-01,4206.43,4220.27,4230.63,4195.06,18.71,0.45,1353.1,4574.69,4238.03,3901.38,70.86,46.46,119.65,2,4562.58,3658.29
2011-02-09,4187.45,4191.53,4247.42,4177.6,-28.74,-0.68,1613.39,4533.2,4221.71,3910.22,74.21,55.71,111.2,2,4559.84,3656.09
2011-02-10,4189.24,4309.45,4310.17,4187.58,117.92,2.81,1951.6,4500.23,4212.27,3924.31,82.74,64.72,118.77,2,4586.03,3677.09
2011-02-11,4309.67,4361.14,4375.66,4304.72,51.69,1.2,2337.23,4471.92,4205.49,3939.06,87.34,72.26,117.5,2,4615.49,3700.7
2011-02-14,4371.04,4450.0,4460.15,4371.04,88.86,2.04,2917.84,4484.07,4208.41,3932.76,90.86,78.46,115.65,2,4664.47,3739.98
2011-02-15,4454.69,4446.42,4502.87,4446.06,-3.58,-0.08,2929.15,4498.14,4212.08,3926.01,90.25,82.39,105.97,0,4716.45,3781.65
2011-02-16,4441.0,4500.99,4500.99,4423.37,54.57,1.23,2590.95,4519.93,4217.28,3914.64,93.34,86.04,107.95,0,4766.72,3821.96
2011-02-17,4518.77,4521.56,4537.28,4474.46,20.57,0.46,2899.57,4544.78,4223.38,3901.97,94.24,88.77,105.18,0,4812.27,3858.49
2011-02-18,4518.23,4467.54,4518.23,4455.42,-54.02,-1.19,2575.14,4566.69,4230.55,3894.41,89.7,89.08,90.93,0,4847.42,3886.67
2011-02-21,4438.7,4567.26,4567.31,4432.38,99.72,2.23,2733.5,4615.36,4252.44,3889.53,93.13,90.43,98.52,0,4888.01,3919.22
2011-02-22,4578.14,4463.44,4587.26,4460.09,-103.82,-2.27,3394.95,4638.54,4269.18,3899.83,85.09,88.65,77.97,2,4915.01,3940.86
2011-02-23,4444.43,4509.89,4515.62,4444.43,46.45,1.04,2488.89,4666.73,4283.87,3901.0,80.93,86.08,70.64,2,4950.34,3969.19
2011-02-24,4499.04,4529.46,4537.43,4475.29,19.57,0.43,2572.62,4691.0,4306.67,3922.33,78.38,83.51,68.11,2,4974.76,3988.78
2011-02-25,4528.32,4545.95,4556.83,4491.13,16.49,0.36,2456.58,4714.2,4329.17,3944.14,77.18,81.4,68.75,2,4995.28,4005.22
2011-02-28,4556.04,4609.48,4610.85,4527.54,63.53,1.4,2986.78,4733.13,4359.21,3985.3,84.55,82.45,88.74,2,5012.98,4019.42
2011-03-01,4619.46,4629.36,4652.48,4597.33,19.88,0.43,3201.33,4739.81,4391.77,4043.74,86.2,83.7,91.19,2,5033.29,4035.7
2011-03-02,4607.38,4615.55,4626.39,4545.6,-13.81,-0.3,2941.16,4743.1,4420.15,4097.19,85.2,84.2,87.21,2,5046.0,4045.89
2011-03-03,4616.92,4536.22,4630.84,4536.22,-79.33,-1.72,3236.5,4734.82,4441.4,4147.98,72.53,80.31,56.97,2,5047.63,4047.2
2011-03-04,4536.44,4587.41,4589.78,4521.58,51.19,1.13,2330.63,4730.75,4463.22,4195.69,71.26,77.29,59.19,2,5060.94,4057.87
