time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,892.56,894.94,897.56,889.97,-0.31,-0.03,1038.79,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,891.1,907.3,909.0,889.56,12.36,1.38,1378.38,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,906.93,898.74,910.69,897.08,-8.56,-0.94,1364.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,897.0,898.91,901.53,890.23,0.17,0.02,1409.58,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,900.55,910.12,910.26,899.37,11.21,1.25,1422.73,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,914.65,942.55,951.06,914.65,32.43,3.56,2732.88,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,943.9,948.45,950.75,940.85,5.91,0.63,2179.22,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,944.21,945.61,945.69,937.42,-2.84,-0.3,1566.63,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,949.91,951.56,953.95,941.35,5.95,0.63,1718.67,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,950.98,938.58,954.53,938.57,-12.98,-1.36,1561.79,0.0,0.0,0.0,0.0,0.0,0.0,2,1025.28,822.07
2012-09-14,946.48,940.95,949.96,933.27,2.37,0.25,1795.51,0.0,0.0,0.0,0.0,0.0,0.0,2,1030.39,826.17
2012-09-17,939.2,914.77,939.2,914.77,-26.18,-2.78,1615.44,0.0,0.0,0.0,0.0,0.0,0.0,2,1031.22,826.83
2012-09-18,911.4,911.19,917.15,906.82,-3.58,-0.39,1207.15,0.0,0.0,0.0,0.0,0.0,0.0,2,1032.6,827.94
2012-09-19,911.66,917.82,918.48,910.8,6.63,0.73,1082.74,0.0,0.0,0.0,0.0,0.0,0.0,2,1034.7,829.62
2012-09-20,914.98,895.53,915.11,894.56,-22.29,-2.43,1443.37,0.0,0.0,0.0,0.0,0.0,0.0,2,1033.08,828.32
2012-09-21,892.84,891.65,899.84,888.69,-3.88,-0.43,1327.07,0.0,0.0,0.0,0.0,0.0,0.0,2,1027.43,823.79
2012-09-24,886.3,899.66,902.2,880.33,8.01,0.9,1188.02,0.0,0.0,0.0,24.45,38.49,-3.61,2,1022.01,819.45
2012-09-25,897.91,892.6,901.85,891.15,-7.05,-0.78,951.21,0.0,0.0,0.0,21.82,32.93,-0.41,1,1016.13,814.73
2012-09-26,892.06,876.57,894.39,874.86,-16.03,-1.8,1034.73,0.0,0.0,0.0,15.3,27.05,-8.2,1,1007.8,808.06
2012-09-27,877.01,897.96,904.08,875.4,21.39,2.44,1455.92,958.07,913.77,869.48,22.17,25.43,15.66,2,1003.3,804.44
2012-09-28,893.33,917.87,918.47,892.06,19.9,2.22,1674.42,958.39,914.92,871.45,47.65,32.83,77.27,2,1000.73,802.39
2012-10-08,918.25,916.03,924.22,910.89,-1.84,-0.2,1258.25,958.68,915.36,872.03,59.57,41.74,95.21,2,1000.87,802.5
2012-10-09,918.88,937.7,937.87,918.88,21.67,2.37,1671.15,960.97,917.3,873.64,72.95,52.15,114.57,2,1003.82,804.86
