time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,1187.1,1189.8,1193.68,1184.26,0.18,0.02,59.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,1185.72,1204.82,1207.12,1183.26,15.03,1.26,81.78,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,1205.82,1191.37,1207.44,1188.19,-13.45,-1.12,70.87,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,1191.75,1196.34,1199.15,1185.48,4.97,0.42,73.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,1196.91,1204.77,1205.87,1194.54,8.42,0.7,63.72,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,1209.92,1245.09,1254.5,1209.92,40.32,3.35,203.57,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,1247.98,1255.13,1255.44,1239.33,10.04,0.81,141.85,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,1249.4,1251.07,1251.41,1242.8,-4.06,-0.32,103.65,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,1253.46,1254.38,1260.58,1244.47,3.31,0.26,122.51,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,1253.87,1241.12,1260.13,1240.76,-13.27,-1.06,88.99,0.0,0.0,0.0,0.0,0.0,0.0,2,1357.96,1088.82
2012-09-14,1247.0,1250.32,1255.24,1236.06,9.2,0.74,108.15,0.0,0.0,0.0,0.0,0.0,0.0,2,1364.68,1094.2
2012-09-17,1249.09,1218.38,1249.09,1217.74,-31.94,-2.55,94.23,0.0,0.0,0.0,0.0,0.0,0.0,2,1366.18,1095.41
2012-09-18,1216.37,1215.76,1222.69,1209.8,-2.63,-0.22,78.1,0.0,0.0,0.0,0.0,0.0,0.0,2,1368.89,1097.58
2012-09-19,1216.13,1223.38,1226.15,1215.93,7.62,0.63,69.05,0.0,0.0,0.0,0.0,0.0,0.0,2,1371.89,1099.99
2012-09-20,1222.49,1189.53,1222.57,1188.93,-33.85,-2.77,89.41,0.0,0.0,0.0,0.0,0.0,0.0,2,1370.2,1098.63
2012-09-21,1187.63,1184.34,1194.3,1181.17,-5.19,-0.44,64.66,0.0,0.0,0.0,0.0,0.0,0.0,2,1363.46,1093.22
2012-09-24,1176.07,1188.82,1191.05,1171.59,4.48,0.38,65.4,0.0,0.0,0.0,23.11,40.43,-11.55,2,1356.1,1087.32
2012-09-25,1185.23,1186.61,1191.14,1180.12,-2.22,-0.19,56.84,0.0,0.0,0.0,21.06,33.98,-4.77,1,1348.94,1081.58
2012-09-26,1185.03,1166.31,1188.13,1164.06,-20.3,-1.71,66.38,0.0,0.0,0.0,14.86,27.61,-10.62,1,1339.17,1073.75
2012-09-27,1165.05,1185.01,1191.79,1163.62,18.7,1.6,90.18,1267.46,1212.12,1156.78,18.25,24.49,5.78,2,1332.94,1068.75
2012-09-28,1182.47,1201.54,1202.44,1177.35,16.54,1.4,105.76,1267.33,1212.7,1158.08,32.38,27.12,42.91,2,1327.52,1064.41
2012-10-08,1200.72,1195.86,1204.99,1191.2,-5.69,-0.47,59.6,1267.28,1212.26,1157.23,38.77,31.0,54.31,2,1325.02,1062.41
2012-10-09,1199.08,1220.54,1220.54,1199.03,24.68,2.06,110.47,1267.99,1213.72,1159.44,58.03,40.01,94.08,2,1325.56,1062.83
2012-10-10,1219.35,1227.6,1229.99,1216.31,7.06,0.58,126.71,1269.26,1215.28,1161.3,70.82,50.28,111.9,2,1326.02,1063.21
2012-10-11,1226.55,1210.72,1226.61,1210.52,-16.88,-1.37,87.4,1269.39,1215.58,1161.76,70.87,57.15,98.32,2,1328.38,1065.09
2012-10-12,1211.48,1208.42,1222.21,1199.93,-2.29,-0.19,69.94,1265.88,1213.74,1161.6,69.75,61.35,86.55,2,1331.05,1067.24
2012-10-15,1207.53,1204.17,1208.91,1195.59,-4.26,-0.35,69.63,1259.86,1211.19,1162.53,66.86,63.19,74.22,2,1332.75,1068.6
2012-10-16,1202.45,1203.59,1211.93,1198.54,-0.58,-0.05,75.49,1253.98,1208.82,1163.66,64.65,63.67,66.6,2,1334.64,1070.11
2012-10-17,1204.9,1204.46,1206.77,1194.87,0.87,0.07,69.66,1246.36,1206.32,1166.29,60.27,62.54,55.72,2,1338.87,1073.51
2012-10-18,1206.35,1223.16,1225.8,1204.74,18.7,1.55,132.15,1243.03,1205.43,1167.82,67.64,64.24,74.45,2,1343.11,1076.91
2012-10-19,1222.72,1223.62,1232.09,1220.64,0.45,0.04,119.51,1236.8,1204.09,1171.38,70.84,66.44,79.65,2,1345.56,1078.87
2012-10-22,1220.54,1224.88,1226.6,1215.43,1.26,0.1,71.35,1237.81,1204.42,1171.02,74.1,69.0,84.32,2,1348.78,1081.45
2012-10-23,1225.15,1216.87,1228.22,1216.48,-8.01,-0.65,111.9,1237.95,1204.47,1171.0,69.11,69.03,69.25,2,1348.37,1081.13
2012-10-24,1213.47,1220.6,1224.72,1211.47,3.73,0.31,92.44,1237.51,1204.33,1171.15,69.11,69.06,69.22,2,1347.59,1080.5
2012-10-25,1221.78,1216.66,1234.7,1215.88,-3.94,-0.32,134.7,1238.56,1205.69,1172.82,64.31,67.48,57.98,2,1348.25,1081.03
2012-10-26,1216.91,1194.44,1218.16,1190.03,-22.21,-1.83,135.8,1238.03,1206.19,1174.36,46.17,60.37,17.75,2,1346.7,1079.79
