time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,725.19,730.68,731.34,722.33,12.71,1.77,114.69,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,731.23,730.23,731.35,727.35,-0.45,-0.06,122.53,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,729.65,734.75,736.11,729.12,4.52,0.62,126.65,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,733.76,732.35,738.39,728.69,-2.4,-0.33,129.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,731.39,719.35,733.0,718.08,-13.0,-1.78,107.64,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,717.02,715.56,718.31,709.65,-3.79,-0.53,84.85,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,716.28,719.71,720.81,710.09,4.15,0.58,80.76,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,720.27,718.49,721.06,715.99,-1.22,-0.17,76.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,716.06,705.31,716.52,705.31,-13.18,-1.83,89.06,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,702.78,678.59,703.72,677.71,-26.72,-3.79,102.37,0.0,0.0,0.0,0.0,0.0,0.0,2,797.54,639.47
2011-01-18,676.15,676.36,680.39,673.64,-2.23,-0.33,71.39,0.0,0.0,0.0,0.0,0.0,0.0,2,791.51,634.63
2011-01-19,676.55,686.8,687.03,675.8,10.44,1.54,65.19,0.0,0.0,0.0,0.0,0.0,0.0,2,786.69,630.77
2011-01-20,690.31,672.65,690.43,672.58,-14.15,-2.06,88.94,0.0,0.0,0.0,0.0,0.0,0.0,2,779.79,625.24
2011-01-21,673.1,682.14,686.75,673.1,9.49,1.41,98.65,0.0,0.0,0.0,0.0,0.0,0.0,2,774.22,620.77
2011-01-24,682.04,668.51,683.58,668.51,-13.63,-2.0,79.49,0.0,0.0,0.0,0.0,0.0,0.0,2,768.58,616.25
2011-01-25,668.49,666.25,670.29,662.26,-2.26,-0.34,66.2,0.0,0.0,0.0,0.0,0.0,0.0,2,763.1,611.86
2011-01-26,666.31,675.04,676.27,666.31,8.79,1.32,52.31,0.0,0.0,0.0,12.34,8.21,20.6,2,758.15,607.88
2011-01-27,671.85,681.66,683.5,667.43,6.62,0.98,80.15,0.0,0.0,0.0,23.82,13.41,44.64,2,754.06,604.6
2011-01-28,679.86,684.83,686.95,677.39,3.17,0.47,67.26,0.0,0.0,0.0,42.59,23.14,81.49,2,751.78,602.78
2011-01-31,684.33,696.92,698.49,684.33,12.09,1.77,88.44,745.81,698.81,651.81,60.28,35.52,109.81,2,753.82,604.41
2011-02-01,697.52,694.98,698.42,693.09,-1.94,-0.28,62.22,741.7,697.02,652.35,70.29,47.11,116.65,2,755.89,606.07
2011-02-09,692.45,691.58,696.25,687.39,-3.4,-0.49,78.87,737.12,695.09,653.06,73.84,56.02,109.47,2,756.42,606.5
2011-02-10,690.03,702.88,703.02,687.83,11.3,1.63,91.1,731.63,693.5,655.37,82.44,64.83,117.68,2,759.77,609.19
2011-02-11,701.58,708.72,710.39,699.9,5.84,0.83,103.72,726.85,692.32,657.78,87.14,72.26,116.89,2,762.72,611.55
2011-02-14,708.46,722.02,724.01,708.46,13.3,1.88,145.67,727.42,692.45,657.48,90.28,78.27,114.29,2,768.66,616.31
2011-02-15,722.89,723.01,730.16,720.95,0.99,0.14,157.12,728.91,692.82,656.74,89.72,82.08,104.98,2,774.96,621.37
2011-02-16,722.13,733.2,733.2,720.93,10.19,1.41,143.8,731.99,693.5,655.0,93.15,85.77,107.89,0,781.42,626.54
2011-02-17,733.65,731.94,734.34,724.59,-1.26,-0.17,142.86,734.8,694.17,653.54,93.83,88.46,104.58,0,787.0,631.02
2011-02-18,730.07,722.14,730.07,720.44,-9.8,-1.34,169.74,737.2,695.01,652.83,87.23,88.05,85.58,0,791.14,634.34
2011-02-21,718.43,736.01,736.17,717.73,13.87,1.92,166.08,742.92,697.88,652.84,91.37,89.16,95.81,0,795.48,637.82
2011-02-22,737.08,718.89,737.94,718.81,-17.12,-2.33,212.82,744.8,700.01,655.22,81.58,86.63,71.47,2,798.13,639.94
