time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-07-02,1005.03,1005.18,1008.86,1001.16,0.0,0.52,658.86,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-03,1004.41,1002.32,1012.06,998.5,0.0,-0.29,715.02,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-04,1003.75,998.58,1003.92,994.89,0.0,-0.37,720.29,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-05,994.97,973.7,994.97,972.52,0.0,-2.49,621.51,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-06,977.98,990.01,990.01,962.8,0.0,1.68,730.62,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-09,983.89,964.14,986.22,963.91,0.0,-2.61,719.99,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-10,962.2,957.41,965.09,954.13,0.0,-0.7,566.66,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-11,956.48,965.21,965.21,956.42,0.0,0.81,572.35,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-12,963.7,976.22,978.16,955.63,0.0,1.14,777.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-13,973.44,968.03,978.42,967.24,0.0,-0.84,565.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1087.89,872.27
2012-07-16,968.25,927.95,968.25,927.95,0.0,-4.14,723.69,0.0,0.0,0.0,0.0,0.0,0.0,2,1079.32,865.4
2012-07-17,923.86,932.22,932.22,921.54,0.0,0.46,462.52,0.0,0.0,0.0,0.0,0.0,0.0,2,1071.54,859.16
2012-07-18,931.12,939.58,939.58,921.98,0.0,0.79,517.82,0.0,0.0,0.0,0.0,0.0,0.0,2,1064.99,853.91
2012-07-19,938.14,950.45,956.83,937.63,0.0,1.16,668.42,0.0,0.0,0.0,0.0,0.0,0.0,2,1062.41,851.84
2012-07-20,948.29,945.78,954.63,944.6,0.0,-0.49,518.05,0.0,0.0,0.0,0.0,0.0,0.0,2,1057.5,847.9
2012-07-23,939.55,935.1,939.74,929.31,0.0,-1.13,437.65,0.0,0.0,0.0,0.0,0.0,0.0,2,1054.27,845.32
2012-07-24,930.27,939.67,943.56,930.27,0.0,0.49,466.63,0.0,0.0,0.0,30.72,28.68,34.8,2,1052.3,843.74
2012-07-25,936.86,935.0,942.19,934.33,0.0,-0.5,409.99,0.0,0.0,0.0,28.37,28.58,27.95,2,1048.95,841.05
2012-07-26,934.53,927.56,940.64,927.48,0.0,-0.8,482.4,0.0,0.0,0.0,23.21,26.79,16.05,2,1043.55,836.72
2012-07-27,930.65,925.88,931.92,923.24,0.0,-0.18,459.4,1009.17,958.0,906.83,19.57,24.38,9.95,2,1038.87,832.97
2012-07-30,926.71,912.37,930.62,909.81,0.0,-1.46,544.16,1003.39,953.36,903.33,14.86,21.21,2.17,2,1037.14,831.58
2012-07-31,909.65,891.26,909.65,890.6,0.0,-2.31,483.6,999.5,947.81,896.12,10.24,17.55,-4.38,2,1032.59,827.94
2012-08-01,890.86,907.17,911.27,890.86,0.0,1.79,487.54,992.26,943.24,894.22,15.45,16.85,12.65,2,1029.0,825.05
2012-08-02,906.16,901.72,911.49,898.07,0.0,-0.6,432.61,989.74,939.64,889.53,17.3,17.0,17.9,2,1023.59,820.71
2012-08-03,903.14,918.09,918.09,902.2,0.0,1.82,482.12,981.25,936.04,890.83,28.84,20.95,44.62,2,1020.51,818.25
2012-08-06,915.74,942.36,942.36,915.74,0.0,2.64,799.51,978.42,934.95,891.49,52.56,31.48,94.71,2,1021.32,818.9
2012-08-07,941.79,950.48,950.48,941.79,0.0,0.86,731.16,977.45,934.61,891.76,68.37,43.78,117.56,2,1022.52,819.86
2012-08-08,950.88,949.68,955.26,945.45,0.0,-0.08,712.24,974.96,933.83,892.7,76.04,54.53,119.05,2,1024.15,821.16
2012-08-09,948.67,957.14,957.14,942.37,0.0,0.79,713.58,970.79,932.87,894.96,84.03,64.36,123.35,2,1027.43,823.8
2012-08-10,955.99,958.24,960.19,951.99,0.0,0.12,672.14,968.69,932.39,896.08,88.42,72.38,120.49,2,1031.02,826.68
2012-08-13,955.33,938.12,955.33,938.12,0.0,-2.1,676.39,969.22,932.89,896.57,81.67,75.48,94.05,2,1033.88,828.97
2012-08-14,938.43,944.14,944.14,923.68,0.0,0.64,771.51,970.14,933.49,896.84,79.17,76.71,84.08,2,1039.75,833.68
2012-08-15,941.71,934.17,941.71,933.56,0.0,-1.06,608.98,969.77,933.22,896.67,71.15,74.86,63.75,2,1042.75,836.08
2012-08-16,931.64,930.62,937.58,930.32,0.0,-0.38,508.6,967.92,932.23,896.54,58.59,69.43,36.91,2,1045.96,838.65
2012-08-17,929.73,931.55,933.37,922.3,0.0,0.1,466.62,966.66,931.52,896.37,47.2,62.02,17.55,2,1047.45,839.85
2012-08-20,925.96,930.01,930.07,918.43,0.0,-0.17,463.47,966.37,931.26,896.15,40.71,54.92,12.29,2,1046.08,838.75
2012-08-21,929.63,945.22,946.69,928.56,0.0,1.64,651.09,967.0,931.54,896.08,48.52,52.79,40.0,2,1045.5,838.28
2012-08-22,944.01,935.26,944.01,931.27,0.0,-1.05,586.91,967.01,931.55,896.09,45.78,50.45,36.44,2,1043.9,837.0
2012-08-23,934.86,943.76,944.14,932.9,0.0,0.91,645.88,968.16,932.36,896.56,53.4,51.44,57.34,2,1042.41,835.81
2012-08-24,939.99,926.56,941.9,926.5,0.0,-1.82,704.47,968.17,932.4,896.62,45.19,49.36,36.87,2,1038.89,832.99
2012-08-27,921.97,901.94,921.97,901.94,0.0,-2.66,745.57,969.08,931.87,894.67,30.13,42.95,4.49,2,1034.88,829.77
2012-08-28,900.67,908.02,912.1,900.07,0.0,0.67,580.44,966.85,932.71,898.58,25.77,37.22,2.87,2,1030.87,826.55
