time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-07-02,1004.27,1009.21,1010.08,1001.03,0.0,0.92,288.34,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-03,1007.92,1009.1,1016.88,1003.48,0.0,-0.01,316.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-04,1008.73,1007.1,1011.76,1002.08,0.0,-0.2,284.17,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-05,1003.54,984.06,1003.54,983.21,0.0,-2.29,286.69,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-06,988.69,1000.24,1000.86,975.18,0.0,1.65,374.41,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-09,995.73,975.83,998.2,975.43,0.0,-2.44,356.88,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-10,973.89,969.99,976.23,963.79,0.0,-0.6,257.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-11,967.81,975.95,975.95,967.02,0.0,0.62,236.32,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-12,975.81,985.44,988.05,968.74,0.0,0.97,439.17,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-13,981.59,979.99,987.6,977.43,0.0,-0.55,256.07,0.0,0.0,0.0,0.0,0.0,0.0,2,1098.56,880.82
2012-07-16,980.98,944.65,980.98,944.46,0.0,-3.61,308.68,0.0,0.0,0.0,0.0,0.0,0.0,2,1091.39,875.08
2012-07-17,939.49,950.26,950.26,938.22,0.0,0.59,263.97,0.0,0.0,0.0,0.0,0.0,0.0,2,1084.86,869.84
2012-07-18,948.79,956.67,956.67,935.32,0.0,0.67,275.99,0.0,0.0,0.0,0.0,0.0,0.0,2,1079.26,865.35
2012-07-19,953.62,967.42,975.23,953.33,0.0,1.12,382.28,0.0,0.0,0.0,0.0,0.0,0.0,2,1077.41,863.87
2012-07-20,964.61,962.2,969.7,960.55,0.0,-0.54,270.76,0.0,0.0,0.0,0.0,0.0,0.0,2,1073.19,860.49
2012-07-23,955.67,951.74,955.67,943.45,0.0,-1.09,239.64,0.0,0.0,0.0,0.0,0.0,0.0,2,1070.52,858.34
2012-07-24,945.91,959.12,962.84,945.91,0.0,0.78,239.54,0.0,0.0,0.0,39.4,34.61,48.99,2,1069.31,857.38
2012-07-25,956.75,950.01,960.6,949.87,0.0,-0.95,194.24,0.0,0.0,0.0,35.63,34.95,37.0,2,1066.43,855.07
2012-07-26,950.88,946.81,959.66,946.68,0.0,-0.34,255.02,0.0,0.0,0.0,32.14,34.02,28.4,2,1062.14,851.63
2012-07-27,948.38,944.96,949.31,941.5,0.0,-0.2,286.34,1014.45,971.54,928.62,29.48,32.5,23.43,2,1058.26,848.51
2012-07-30,944.37,924.4,947.02,922.66,0.0,-2.18,260.52,1011.23,967.3,923.36,20.76,28.59,5.09,2,1056.01,846.71
2012-07-31,923.58,908.88,923.58,907.88,0.0,-1.68,238.21,1008.79,962.29,915.78,14.33,23.84,-4.67,2,1051.42,843.03
2012-08-01,908.71,923.73,927.54,908.71,0.0,1.63,211.33,1002.72,958.12,913.52,18.1,21.93,10.46,2,1047.76,840.1
2012-08-02,923.16,918.22,930.25,914.76,0.0,-0.6,211.05,1000.97,954.83,908.68,18.34,20.73,13.56,2,1042.3,835.72
2012-08-03,919.96,934.87,934.87,917.32,0.0,1.81,221.01,993.44,951.56,909.68,28.6,23.35,39.08,2,1039.26,833.28
2012-08-06,934.6,957.77,957.77,934.6,0.0,2.45,426.5,991.16,950.65,910.15,50.61,32.44,86.95,2,1039.93,833.82
2012-08-07,956.03,964.96,964.96,956.03,0.0,0.75,343.23,990.48,950.4,910.32,67.07,43.98,113.25,2,1040.58,834.34
2012-08-08,964.75,967.1,967.48,960.1,0.0,0.22,352.36,989.09,949.96,910.83,77.84,55.27,122.97,2,1042.48,835.86
2012-08-09,965.01,974.06,974.06,959.74,0.0,0.72,305.29,986.73,949.39,912.05,85.22,65.25,125.17,2,1045.5,838.29
2012-08-10,973.4,971.39,975.54,969.27,0.0,-0.27,281.88,985.05,948.96,912.87,88.1,72.87,118.57,2,1048.44,840.64
2012-08-13,969.5,951.39,969.5,951.39,0.0,-2.06,367.87,985.35,949.3,913.25,80.02,75.25,89.56,2,1051.43,843.04
2012-08-14,955.44,964.39,964.39,946.14,0.0,1.37,362.87,986.65,950.0,913.36,80.57,77.03,87.65,2,1057.59,847.98
2012-08-15,963.41,951.11,963.41,950.12,0.0,-1.38,318.76,986.25,949.73,913.2,73.06,75.7,67.77,2,1060.63,850.42
