time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2022-11-04,224.31,224.27,224.32,224.27,-0.02,-0.01,4.66,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-11-07,224.34,224.32,224.36,224.32,0.05,0.02,3.82,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-11-08,224.35,224.29,224.36,224.28,-0.03,-0.01,4.26,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-11-09,224.32,224.49,224.49,224.32,0.19,0.09,6.04,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-11-10,224.51,224.56,224.57,224.51,0.08,0.04,5.49,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-11-11,224.59,224.79,224.81,224.59,0.23,0.1,6.83,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-11-14,224.86,225.14,225.16,224.84,0.35,0.16,5.66,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-11-15,225.16,225.17,225.19,225.16,0.03,0.01,3.67,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-11-16,225.19,225.21,225.22,225.19,0.04,0.02,3.46,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-11-17,225.23,225.2,225.23,225.2,-0.01,0.0,3.19,0.0,0.0,0.0,0.0,0.0,0.0,2,249.47,200.02
2022-11-18,225.23,225.2,225.23,225.2,-0.01,0.0,4.15,0.0,0.0,0.0,0.0,0.0,0.0,2,249.57,200.1
2022-11-21,225.27,225.19,225.27,225.19,-0.01,-0.01,5.02,0.0,0.0,0.0,0.0,0.0,0.0,2,249.67,200.18
2022-11-22,225.21,225.17,225.21,225.16,-0.02,-0.01,3.27,0.0,0.0,0.0,0.0,0.0,0.0,2,249.76,200.26
2022-11-23,225.19,225.2,225.22,225.19,0.04,0.02,5.86,0.0,0.0,0.0,0.0,0.0,0.0,2,249.84,200.32
2022-11-24,225.23,225.37,225.39,225.23,0.17,0.08,11.09,0.0,0.0,0.0,0.0,0.0,0.0,2,249.93,200.4
2022-11-25,225.4,225.54,225.56,225.4,0.17,0.07,7.93,0.0,0.0,0.0,0.0,0.0,0.0,2,250.02,200.46
2022-11-28,225.62,225.59,225.64,225.59,0.05,0.02,5.55,0.0,0.0,0.0,92.72,93.57,91.01,2,250.07,200.5
2022-11-29,225.61,225.89,225.9,225.61,0.3,0.13,6.89,0.0,0.0,0.0,94.69,93.94,96.19,2,250.15,200.57
2022-11-30,225.91,225.99,226.0,225.91,0.1,0.05,9.96,0.0,0.0,0.0,96.07,94.65,98.89,2,250.23,200.64
2022-12-01,226.01,226.08,226.09,226.01,0.09,0.04,9.49,226.19,225.13,224.07,97.02,95.44,100.18,2,250.33,200.71
2022-12-02,226.1,226.1,226.13,226.1,0.02,0.01,7.64,226.29,225.22,224.16,96.98,95.95,99.04,2,250.43,200.79
2022-12-05,226.17,226.32,226.33,226.17,0.22,0.1,9.35,226.41,225.32,224.24,97.7,96.53,100.02,2,250.55,200.9
2022-12-06,226.34,226.31,226.37,226.3,-0.01,0.0,8.36,226.48,225.43,224.37,96.71,96.59,96.94,0,250.68,201.0
2022-12-07,226.33,226.27,226.34,226.26,-0.04,-0.02,8.81,226.54,225.51,224.49,94.37,95.85,91.41,0,250.8,201.09
2022-12-08,226.29,226.28,226.3,226.26,0.01,0.0,11.14,226.57,225.6,224.63,92.4,94.7,87.8,0,250.9,201.17
2022-12-09,226.3,226.29,226.32,226.29,0.02,0.01,7.93,226.62,225.68,224.73,91.42,93.61,87.06,2,250.98,201.24
2022-12-12,226.36,226.34,226.37,226.34,0.05,0.02,12.36,226.69,225.74,224.78,92.11,93.11,90.11,2,251.07,201.31
2022-12-13,226.36,226.29,226.37,226.28,-0.05,-0.02,6.51,226.74,225.79,224.85,87.33,91.18,79.63,2,251.11,201.34
2022-12-14,226.31,226.29,226.32,226.28,0.0,0.0,6.76,226.77,225.85,224.92,81.68,88.02,69.0,2,251.15,201.37
2022-12-15,226.31,226.24,226.32,226.23,-0.05,-0.02,4.38,226.79,225.9,225.0,66.12,80.72,36.92,2,251.16,201.38
2022-12-16,226.26,226.3,226.31,226.26,0.06,0.03,6.41,226.8,225.95,225.1,60.75,74.06,34.12,2,251.19,201.4
2022-12-19,226.37,226.36,226.38,226.36,0.06,0.03,5.12,226.8,226.01,225.22,69.39,72.5,63.15,2,251.19,201.4
2022-12-20,226.38,226.37,226.39,226.37,0.01,0.0,6.77,226.77,226.07,225.37,75.42,73.48,79.32,2,251.2,201.41
2022-12-21,226.39,226.38,226.39,226.38,0.01,0.01,3.71,226.72,226.13,225.54,81.53,76.16,92.28,2,251.21,201.42
2022-12-22,226.4,226.38,226.4,226.38,0.01,0.0,3.09,226.67,226.18,225.7,83.77,78.7,93.91,2,251.22,201.43
2022-12-23,226.41,226.39,226.41,226.39,0.01,0.01,2.5,226.62,226.22,225.83,85.47,80.96,94.51,2,251.23,201.44
2022-12-26,226.46,226.43,226.47,226.43,0.04,0.02,2.21,226.54,226.27,225.99,84.76,82.22,89.83,2,251.24,201.45
2022-12-27,226.46,226.44,226.46,226.43,0.0,0.0,3.25,226.52,226.29,226.07,85.67,83.37,90.27,2,251.26,201.46
2022-12-28,226.46,226.44,226.47,226.44,0.01,0.0,3.53,226.5,226.32,226.13,85.69,84.15,88.77,2,251.27,201.47
2022-12-29,226.47,226.42,226.47,226.42,-0.02,-0.01,5.67,226.49,226.33,226.17,75.31,81.2,63.52,0,251.29,201.49
2022-12-30,226.45,226.47,226.47,226.44,0.04,0.02,2.74,226.48,226.35,226.22,83.54,81.98,86.66,0,251.31,201.5
2023-01-03,226.56,226.59,226.6,226.56,0.12,0.05,5.4,226.53,226.36,226.2,87.51,83.82,94.89,0,251.34,201.52
2023-01-04,226.61,226.65,226.67,226.61,0.07,0.03,7.9,226.59,226.38,226.18,89.37,85.67,96.78,0,251.37,201.55
2023-01-05,226.67,226.72,226.73,226.67,0.07,0.03,5.08,226.65,226.4,226.16,91.94,87.76,100.29,0,251.41,201.58
2023-01-06,226.75,226.8,226.8,226.74,0.07,0.03,6.54,226.72,226.43,226.14,94.62,90.05,103.77,0,251.45,201.62
2023-01-09,226.87,226.87,226.9,226.86,0.08,0.03,30.1,226.8,226.46,226.12,94.33,91.48,100.04,0,251.51,201.66
2023-01-10,226.89,226.82,226.9,226.82,-0.05,-0.02,5.1,226.86,226.48,226.11,90.67,91.21,89.59,0,251.55,201.69
2023-01-11,226.85,226.9,226.91,226.84,0.08,0.03,5.65,226.92,226.51,226.11,93.1,91.84,95.62,0,251.6,201.73
2023-01-12,226.92,226.92,226.94,226.92,0.03,0.01,5.26,226.97,226.54,226.12,94.06,92.58,97.04,0,251.65,201.78
2023-01-13,226.95,226.97,226.98,226.95,0.05,0.02,6.5,227.02,226.58,226.14,95.25,93.47,98.81,0,251.72,201.83
2023-01-16,227.04,227.03,227.06,227.03,0.06,0.03,5.23,227.08,226.62,226.16,94.61,93.85,96.13,0,251.78,201.88
2023-01-17,227.06,227.07,227.07,227.06,0.04,0.02,5.11,227.14,226.65,226.17,96.41,94.7,99.82,0,251.83,201.92
2023-01-18,227.1,227.15,227.15,227.1,0.07,0.03,4.64,227.21,226.69,226.18,97.6,95.67,101.47,0,251.89,201.96
2023-01-19,227.17,227.21,227.22,227.16,0.07,0.03,7.32,227.27,226.73,226.19,97.57,96.3,100.1,0,251.94,202.01
2023-01-20,227.24,227.28,227.29,227.23,0.07,0.03,2.66,227.34,226.78,226.22,97.67,96.76,99.49,0,251.99,202.05
2023-01-30,227.52,227.46,227.52,227.46,0.18,0.08,3.14,227.44,226.83,226.22,95.51,96.34,93.84,0,252.06,202.1
2023-01-31,227.49,227.47,227.5,227.47,0.01,0.0,2.92,227.52,226.88,226.25,94.23,95.64,91.41,0,252.13,202.16
2023-02-01,227.49,227.47,227.5,227.47,-0.01,0.0,4.79,227.59,226.94,226.28,93.23,94.83,90.01,0,252.2,202.21
2023-02-02,227.49,227.46,227.49,227.45,-0.01,0.0,5.7,227.64,226.99,226.34,91.4,93.69,86.83,0,252.26,202.26
2023-02-03,227.48,227.44,227.48,227.44,-0.01,-0.01,5.64,227.66,227.04,226.41,88.47,91.95,81.51,2,252.31,202.3
2023-02-06,227.51,227.47,227.51,227.46,0.03,0.01,4.82,227.68,227.09,226.5,88.35,90.75,83.54,2,252.36,202.34
