time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2013-01-04,1006.02,1006.13,1010.42,996.88,0.0,0.61,1994.42,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-07,1004.76,1007.73,1012.04,1004.39,0.0,0.16,1475.17,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-08,1008.22,1007.4,1009.89,1001.45,0.0,-0.03,1335.8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-09,1005.71,1003.61,1009.55,998.46,0.0,-0.38,1146.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-10,1004.35,1009.23,1014.06,1003.82,0.0,0.56,1288.84,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-11,1010.25,989.16,1010.25,989.16,0.0,-1.99,1361.55,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-14,987.84,1020.7,1022.0,987.84,0.0,3.19,1557.81,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-15,1021.35,1033.28,1034.82,1021.35,0.0,1.23,1868.15,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-16,1034.79,1030.53,1034.79,1014.62,0.0,-0.27,1683.49,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-17,1028.19,1013.14,1028.19,1012.37,0.0,-1.69,1151.97,0.0,0.0,0.0,0.0,0.0,0.0,2,1123.42,900.76
2013-01-18,1019.0,1028.61,1028.61,1014.99,0.0,1.53,1397.64,0.0,0.0,0.0,0.0,0.0,0.0,2,1125.92,902.76
2013-01-21,1031.73,1037.46,1037.46,1026.9,0.0,0.86,1649.78,0.0,0.0,0.0,0.0,0.0,0.0,2,1129.22,905.41
2013-01-22,1037.0,1022.28,1037.0,1018.67,0.0,-1.46,1618.51,0.0,0.0,0.0,0.0,0.0,0.0,2,1130.87,906.73
2013-01-23,1022.74,1022.2,1029.2,1013.18,0.0,-0.01,1315.02,0.0,0.0,0.0,0.0,0.0,0.0,2,1132.93,908.39
2013-01-24,1021.47,1008.83,1035.28,1005.55,0.0,-1.31,1693.44,0.0,0.0,0.0,0.0,0.0,0.0,2,1132.89,908.35
2013-01-25,1008.92,1004.16,1009.25,1003.62,0.0,-0.46,901.92,0.0,0.0,0.0,0.0,0.0,0.0,2,1134.55,909.69
2013-01-28,1007.23,1026.73,1026.78,1007.23,0.0,2.25,1213.53,0.0,0.0,0.0,52.06,63.57,29.05,2,1135.22,910.22
2013-01-29,1027.57,1027.07,1029.54,1024.0,0.0,0.03,1299.99,0.0,0.0,0.0,57.81,61.65,50.12,2,1134.53,909.67
2013-01-30,1027.5,1032.33,1032.33,1021.5,0.0,0.51,1395.58,0.0,0.0,0.0,66.82,63.37,73.71,2,1134.73,909.83
2013-01-31,1032.87,1031.11,1032.87,1027.74,0.0,-0.12,1339.91,1043.52,1018.08,992.65,71.62,66.12,82.63,2,1136.73,911.43
2013-02-01,1028.78,1037.2,1037.5,1027.79,0.0,0.59,1270.63,1045.75,1019.64,993.53,80.79,71.01,100.34,2,1137.68,912.19
2013-02-04,1039.31,1039.18,1041.54,1035.69,0.0,0.19,1536.65,1048.04,1021.21,994.38,85.12,75.71,103.92,2,1137.87,912.35
2013-02-05,1033.66,1066.37,1068.96,1033.66,0.0,2.62,2880.42,1056.64,1024.16,991.68,88.76,80.06,106.15,2,1142.76,916.27
2013-02-06,1066.4,1059.5,1066.4,1056.99,0.0,-0.64,1526.94,1061.43,1026.95,992.47,87.68,82.6,97.84,2,1146.91,919.59
2013-02-07,1058.75,1064.47,1064.6,1054.56,0.0,0.47,1301.12,1066.82,1029.72,992.61,89.36,84.85,98.38,0,1153.08,924.54
