time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-01-04,1784.86,1739.31,1787.43,1738.91,0.0,-1.89,3763.99,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-05,1733.09,1715.81,1749.29,1713.27,0.0,-1.35,4647.73,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-06,1712.98,1726.54,1726.54,1698.38,0.0,0.63,3877.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-09,1726.97,1786.97,1787.25,1714.3,0.0,3.5,6025.17,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-10,1785.02,1845.74,1846.92,1782.08,0.0,3.29,8541.3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-11,1843.51,1838.01,1848.71,1828.81,0.0,-0.42,6342.88,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-12,1831.63,1839.59,1859.64,1828.9,0.0,0.09,5351.98,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-13,1841.15,1805.41,1844.75,1791.38,0.0,-1.86,5383.79,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-16,1792.12,1767.4,1804.14,1767.19,0.0,-2.11,3505.07,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-17,1768.29,1855.2,1855.21,1755.81,0.0,4.97,6978.72,0.0,0.0,0.0,0.0,0.0,0.0,2,1989.12,1594.88
2012-01-18,1856.35,1825.7,1872.6,1819.85,0.0,-1.59,6915.87,0.0,0.0,0.0,0.0,0.0,0.0,2,1998.71,1602.57
2012-01-19,1825.96,1857.07,1864.76,1819.14,0.0,1.72,5728.65,0.0,0.0,0.0,0.0,0.0,0.0,2,2014.39,1615.14
2012-01-20,1862.11,1882.18,1885.97,1854.83,0.0,1.35,5553.52,0.0,0.0,0.0,0.0,0.0,0.0,2,2031.66,1628.99
2012-01-30,1885.93,1853.52,1885.93,1853.52,0.0,-1.52,4641.05,0.0,0.0,0.0,0.0,0.0,0.0,2,2039.05,1634.91
2012-01-31,1853.59,1855.85,1861.88,1843.28,0.0,0.13,3646.23,0.0,0.0,0.0,0.0,0.0,0.0,2,2040.17,1635.81
2012-02-01,1851.58,1830.75,1866.45,1826.05,0.0,-1.35,3954.2,0.0,0.0,0.0,0.0,0.0,0.0,2,2039.37,1635.17
2012-02-02,1836.05,1873.52,1873.55,1832.0,0.0,2.34,4801.19,0.0,0.0,0.0,77.56,77.01,78.65,2,2043.13,1638.19
2012-02-03,1868.38,1891.15,1896.82,1864.54,0.0,0.94,6035.9,0.0,0.0,0.0,83.7,79.24,92.61,2,2052.65,1645.82
2012-02-06,1894.56,1892.17,1901.21,1879.57,0.0,0.05,5572.89,0.0,0.0,0.0,85.46,81.31,93.75,2,2066.5,1656.92
2012-02-07,1880.98,1858.51,1880.98,1847.08,0.0,-1.78,4775.37,1931.15,1827.02,1722.89,72.96,78.53,61.83,2,2066.87,1657.22
2012-02-08,1856.98,1909.42,1910.83,1853.21,0.0,2.74,6521.59,1937.37,1835.53,1733.68,81.42,79.49,85.28,2,2076.16,1664.67
2012-02-09,1907.64,1912.42,1924.99,1900.19,0.0,0.16,7281.13,1936.47,1845.36,1754.24,83.38,80.79,88.56,2,2082.3,1669.59
2012-02-10,1906.83,1915.6,1933.37,1905.8,0.0,0.17,7313.8,1932.96,1854.81,1776.66,83.4,81.66,86.88,2,2086.01,1672.57
2012-02-13,1895.95,1917.04,1930.89,1890.64,0.0,0.08,6465.82,1937.42,1861.31,1785.2,83.86,82.39,86.8,2,2093.06,1678.22
2012-02-14,1914.68,1910.47,1917.45,1898.51,0.0,-0.34,5258.43,1943.2,1864.55,1785.9,81.71,82.17,80.8,2,2099.13,1683.08
2012-02-15,1905.98,1931.68,1938.81,1901.53,0.0,1.11,7213.56,1952.05,1869.23,1786.42,85.22,83.18,89.28,0,2110.33,1692.07
2012-02-16,1928.26,1923.04,1938.56,1909.05,0.0,-0.45,6761.46,1958.21,1873.41,1788.6,84.41,83.59,86.05,0,2115.83,1696.47
2012-02-17,1932.97,1923.25,1937.62,1911.33,0.0,0.01,5035.37,1960.69,1879.3,1797.9,83.95,83.71,84.44,0,2119.39,1699.33
