time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,4624.95,4644.4,4662.68,4610.38,12.22,0.26,756.24,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,4635.14,4721.22,4730.6,4629.65,76.82,1.65,899.07,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,4725.37,4667.59,4735.59,4662.31,-53.63,-1.14,880.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,4655.69,4688.25,4701.99,4636.96,20.66,0.44,893.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,4695.44,4740.54,4741.54,4693.84,52.29,1.12,907.8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,4778.76,4908.1,4957.24,4778.76,167.56,3.53,2238.21,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,4911.75,4961.03,4979.67,4899.38,52.93,1.08,1962.58,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,4940.5,4936.17,4940.5,4900.67,-24.86,-0.5,1470.07,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,4953.52,4988.04,4989.3,4924.15,51.87,1.05,1524.87,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,4984.08,4910.83,4994.66,4910.19,-77.21,-1.55,1422.24,0.0,0.0,0.0,0.0,0.0,0.0,2,5346.44,4286.79
2012-09-14,4953.67,4930.39,4973.65,4888.5,19.56,0.4,1561.23,0.0,0.0,0.0,0.0,0.0,0.0,2,5378.19,4312.24
2012-09-17,4926.72,4788.44,4928.86,4787.63,-141.95,-2.88,1322.48,0.0,0.0,0.0,0.0,0.0,0.0,2,5385.65,4318.22
2012-09-18,4763.77,4765.51,4803.9,4742.58,-22.93,-0.48,936.49,0.0,0.0,0.0,0.0,0.0,0.0,2,5396.52,4326.94
2012-09-19,4770.77,4810.41,4811.7,4760.61,44.9,0.94,909.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5410.08,4337.81
2012-09-20,4801.88,4656.61,4801.88,4653.38,-153.81,-3.2,1133.8,0.0,0.0,0.0,0.0,0.0,0.0,2,5400.76,4330.34
2012-09-21,4639.23,4633.91,4690.44,4613.85,-22.7,-0.49,1053.14,0.0,0.0,0.0,0.0,0.0,0.0,2,5370.33,4305.94
2012-09-24,4613.84,4675.3,4691.63,4577.7,41.39,0.89,1040.1,0.0,0.0,0.0,24.61,40.45,-7.08,2,5338.61,4280.51
2012-09-25,4664.39,4643.16,4697.96,4624.38,-32.14,-0.69,900.03,0.0,0.0,0.0,21.64,34.18,-3.45,2,5306.09,4254.43
2012-09-26,4632.5,4535.26,4644.89,4522.04,-107.91,-2.32,937.26,0.0,0.0,0.0,15.4,27.92,-9.64,1,5255.83,4214.13
2012-09-27,4525.72,4640.71,4669.77,4521.23,105.45,2.33,1219.58,5023.65,4762.29,4500.94,20.04,25.29,9.53,2,5225.85,4190.09
2012-09-28,4612.35,4718.49,4719.81,4602.21,77.78,1.68,1224.72,5022.62,4766.0,4509.38,36.0,28.86,50.26,2,5202.33,4171.23
2012-10-08,4718.05,4694.67,4744.88,4669.03,-23.82,-0.5,847.27,5022.48,4764.67,4506.86,43.9,33.87,63.95,2,5191.92,4162.89
2012-10-09,4700.4,4822.21,4822.71,4700.4,127.54,2.72,1317.8,5027.36,4772.4,4517.45,62.54,43.43,100.77,2,5198.21,4167.93
2012-10-10,4810.6,4861.37,4861.55,4798.59,39.16,0.81,1391.57,5035.75,4781.06,4526.36,75.01,53.96,117.12,2,5203.87,4172.47
2012-10-11,4851.51,4789.95,4860.33,4787.94,-71.42,-1.47,1224.17,5037.56,4783.53,4529.5,76.33,61.41,106.16,2,5218.67,4184.34
2012-10-12,4794.38,4778.27,4834.32,4724.16,-11.68,-0.24,1183.07,5024.56,4777.04,4529.52,76.06,66.3,95.59,2,5234.69,4197.19
2012-10-15,4772.67,4753.49,4776.82,4709.51,-24.78,-0.52,992.39,4999.42,4766.66,4533.9,73.46,68.68,83.0,2,5243.37,4204.14
2012-10-16,4748.89,4779.55,4812.56,4735.97,26.06,0.55,1121.12,4978.41,4758.83,4539.25,74.27,70.55,81.73,2,5258.51,4216.28
2012-10-17,4784.15,4796.51,4810.73,4739.96,16.96,0.35,1110.89,4943.23,4749.25,4555.28,74.49,71.86,79.75,2,5287.51,4239.53
