time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,594.08,594.24,597.72,593.7,-1.62,-0.27,1913.15,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,592.47,599.15,601.19,591.66,4.91,0.83,2616.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,599.0,591.77,599.75,590.56,-7.38,-1.23,2321.45,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,590.72,589.89,592.38,586.27,-1.89,-0.32,2388.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,591.07,595.57,595.83,590.35,5.69,0.96,2348.51,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,599.61,620.65,626.93,599.61,25.08,4.21,6436.94,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,620.46,621.43,623.26,617.51,0.77,0.12,4114.58,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,619.08,616.75,619.08,612.45,-4.68,-0.75,2995.18,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,620.17,618.57,623.16,613.05,1.83,0.3,3190.59,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,617.74,613.66,620.04,613.57,-4.91,-0.79,2961.73,0.0,0.0,0.0,0.0,0.0,0.0,2,672.85,539.49
2012-09-14,619.47,617.34,621.75,613.48,3.68,0.6,3775.44,0.0,0.0,0.0,0.0,0.0,0.0,2,675.41,541.55
2012-09-17,616.44,602.31,617.01,602.12,-15.03,-2.43,3032.1,0.0,0.0,0.0,0.0,0.0,0.0,2,675.76,541.83
2012-09-18,599.89,596.73,601.13,594.73,-5.58,-0.93,2097.1,0.0,0.0,0.0,0.0,0.0,0.0,2,676.31,542.27
2012-09-19,597.19,599.23,600.58,595.6,2.5,0.42,2064.48,0.0,0.0,0.0,0.0,0.0,0.0,2,677.35,543.1
2012-09-20,597.19,586.36,597.19,585.82,-12.87,-2.15,2668.06,0.0,0.0,0.0,0.0,0.0,0.0,2,676.33,542.28
2012-09-21,584.98,586.62,591.3,583.58,0.26,0.04,2371.39,0.0,0.0,0.0,0.0,0.0,0.0,2,672.55,539.25
2012-09-24,582.95,590.02,592.44,579.81,3.41,0.58,2351.47,0.0,0.0,0.0,22.22,34.06,-1.46,2,669.06,536.46
2012-09-25,588.56,588.36,592.29,586.42,-1.67,-0.28,1766.59,0.0,0.0,0.0,21.61,29.91,5.01,1,665.91,533.93
2012-09-26,587.89,582.13,589.88,581.02,-6.23,-1.06,1775.91,0.0,0.0,0.0,16.25,25.35,-1.96,1,661.87,530.69
2012-09-27,582.61,599.33,603.79,582.54,17.2,2.95,3356.25,625.62,600.51,575.39,28.32,26.34,32.28,2,660.28,529.41
2012-09-28,594.99,609.2,610.29,594.49,9.87,1.65,3572.56,626.47,601.25,576.04,51.02,34.57,83.93,2,659.37,528.69
2012-10-08,609.02,604.78,613.24,601.82,-4.42,-0.72,2330.21,626.77,601.54,576.3,58.91,42.68,91.37,2,659.65,528.91
2012-10-09,607.58,618.03,619.67,607.58,13.25,2.19,3441.75,628.64,602.85,577.05,71.24,52.2,109.31,2,662.01,530.8
2012-10-10,616.64,618.97,619.63,614.12,0.94,0.15,2896.89,630.29,604.3,578.31,80.24,61.55,117.62,2,664.2,532.56
2012-10-11,617.13,613.15,618.31,612.6,-5.83,-0.94,2811.79,631.12,605.18,579.24,81.37,68.16,107.81,2,667.18,534.94
2012-10-12,615.28,614.55,621.07,609.6,1.4,0.23,2629.9,630.21,604.88,579.54,82.16,72.82,100.82,2,670.28,537.43
2012-10-15,615.19,612.34,615.64,607.98,-2.21,-0.36,1924.1,628.87,604.42,579.98,80.84,75.49,91.52,2,672.75,539.41
2012-10-16,611.98,612.84,617.16,610.47,0.5,0.08,2213.85,628.33,604.23,580.12,80.11,77.03,86.25,2,675.47,541.59
2012-10-17,614.93,613.78,616.38,608.14,0.94,0.15,2241.21,627.61,603.99,580.36,77.59,77.22,78.35,2,678.98,544.41
2012-10-18,614.98,622.75,623.98,614.59,8.97,1.46,3499.17,629.12,604.44,579.77,83.21,79.22,91.2,2,681.58,546.49
2012-10-19,622.21,621.07,623.57,619.91,-1.68,-0.27,2525.29,629.74,604.63,579.51,82.89,80.44,87.8,2,682.9,547.55
2012-10-22,617.86,623.67,625.24,616.85,2.6,0.42,2375.97,632.11,605.7,579.28,85.56,82.15,92.39,2,685.0,549.23
2012-10-23,623.68,616.62,624.83,615.94,-7.05,-1.13,2606.37,633.18,606.69,580.2,73.73,79.34,62.5,2,684.84,549.11
2012-10-24,614.21,616.24,619.17,613.8,-0.39,-0.06,2649.76,634.11,607.54,580.98,65.1,74.6,46.12,2,684.54,548.86
2012-10-25,616.07,612.35,620.85,611.99,-3.89,-0.63,3319.84,633.62,608.84,584.06,51.84,67.01,21.5,2,684.45,548.79
2012-10-26,612.05,600.9,612.69,597.97,-11.45,-1.87,2996.85,632.48,609.55,586.63,38.14,57.39,-0.35,2,682.93,547.58
2012-10-29,599.18,596.38,600.17,593.96,-4.52,-0.75,1937.28,631.86,609.87,587.88,28.01,47.6,-11.17,2,681.16,546.16
2012-10-30,596.53,596.8,601.45,594.65,0.42,0.07,2226.78,630.9,610.29,589.69,21.7,38.96,-12.83,2,679.38,544.73
2012-10-31,597.28,600.18,600.55,594.82,3.38,0.57,2498.99,628.02,611.2,594.37,21.09,33.01,-2.73,2,677.87,543.52
2012-11-01,600.72,611.85,614.01,600.62,11.68,1.95,3768.48,627.74,611.82,595.9,33.13,33.05,33.29,2,676.66,542.55
2012-11-02,611.91,615.51,616.16,608.94,3.66,0.6,3143.1,628.09,612.14,596.19,45.35,37.15,61.76,2,676.05,542.05
2012-11-05,614.82,615.07,618.96,611.99,-0.44,-0.07,3090.42,628.28,612.65,597.02,56.4,43.57,82.08,2,675.09,541.29
2012-11-06,615.31,613.19,616.05,604.47,-1.89,-0.31,2749.43,627.85,612.41,596.97,61.44,49.53,85.27,2,674.71,540.98
2012-11-07,612.2,611.56,614.73,608.53,-1.63,-0.27,2164.42,627.18,612.04,596.9,64.43,54.49,84.3,2,674.19,540.57
2012-11-08,606.93,600.69,608.72,600.6,-10.87,-1.78,2612.65,627.33,611.42,595.5,51.92,53.64,48.5,2,672.9,539.53
2012-11-09,599.66,599.71,602.66,598.1,-0.98,-0.16,2290.3,627.3,610.68,594.05,41.55,49.61,25.45,2,672.76,539.42
2012-11-12,600.19,604.65,604.79,599.35,4.95,0.82,2560.45,627.1,610.29,593.48,41.28,46.83,30.17,2,673.68,540.16
2012-11-13,604.59,593.93,604.59,592.62,-10.72,-1.77,2495.57,627.55,609.35,591.14,29.18,40.95,5.63,2,673.36,539.9
2012-11-14,593.98,596.15,596.93,591.94,2.21,0.37,1911.69,627.41,608.46,589.51,24.64,35.51,2.91,2,672.92,539.55
2012-11-15,593.16,588.31,595.42,588.15,-7.84,-1.31,1968.81,626.43,606.74,587.05,16.6,29.21,-8.61,2,670.3,537.45
2012-11-16,587.25,584.59,587.8,581.0,-3.72,-0.63,2155.36,625.69,604.92,584.15,14.48,24.3,-5.15,2,666.87,534.7
2012-11-19,584.11,585.57,585.75,578.76,0.98,0.17,1938.16,623.54,603.01,582.48,15.97,21.52,4.85,1,663.6,532.07
2012-11-20,586.91,582.13,587.78,581.63,-3.43,-0.59,1725.84,622.73,601.29,579.85,14.39,19.15,4.89,1,660.15,529.31
2012-11-21,582.11,590.72,590.79,579.22,8.59,1.47,2233.72,620.77,600.01,579.26,24.91,21.07,32.6,2,657.84,527.45
2012-11-22,588.0,586.66,588.52,584.57,-4.06,-0.69,1726.74,619.45,598.73,578.01,26.72,22.95,34.27,2,656.28,526.21
2012-11-23,588.48,590.91,593.51,587.28,4.25,0.72,2181.64,619.2,598.23,577.26,33.5,26.47,47.55,2,655.3,525.42
2012-11-26,589.49,587.16,590.55,586.25,-3.75,-0.63,1733.15,619.28,597.77,576.26,37.74,30.22,52.77,2,653.36,523.87
2012-11-27,585.57,579.72,586.55,579.5,-7.44,-1.27,2343.37,619.82,596.91,574.01,27.08,29.18,22.89,2,651.78,522.6
2012-11-28,577.53,573.67,578.18,572.56,-6.05,-1.04,2098.71,620.56,595.59,570.62,19.82,26.06,7.34,2,649.29,520.6
2012-11-29,573.83,569.79,576.69,569.01,-3.88,-0.68,2099.73,619.68,593.48,567.29,14.27,22.13,-1.44,2,647.23,518.95
2012-11-30,569.33,577.24,577.89,568.51,7.44,1.31,2611.96,616.62,591.57,566.53,21.16,21.81,19.86,2,646.42,518.3
2012-12-03,576.57,571.96,581.48,571.83,-5.28,-0.91,2917.48,613.4,589.42,565.43,18.7,20.77,14.57,2,644.91,517.09
2012-12-04,571.26,578.9,579.83,570.45,6.95,1.21,2663.55,609.44,587.7,565.97,26.32,22.62,33.72,2,644.55,516.8
2012-12-05,578.6,600.37,603.29,577.92,21.47,3.71,5960.87,606.88,587.14,567.41,48.08,31.11,82.03,2,645.62,517.66
2012-12-06,599.75,600.63,603.44,597.77,0.26,0.04,3618.33,606.86,587.14,567.41,62.71,41.64,104.84,2,647.17,518.9
2012-12-07,600.72,612.67,613.5,599.18,12.04,2.01,5334.6,609.84,587.79,565.74,74.52,52.6,118.37,2,649.58,520.84
2012-12-10,615.05,619.65,621.35,614.65,6.98,1.14,5315.37,613.64,588.54,563.43,81.94,62.38,121.06,2,653.19,523.73
2012-12-11,617.57,615.5,620.34,615.0,-4.15,-0.67,3766.02,617.27,589.61,561.96,84.27,69.68,113.46,2,657.16,526.91
2012-12-12,615.25,617.58,620.12,612.49,2.08,0.34,3257.97,620.82,590.69,560.55,87.14,75.5,110.41,2,662.04,530.82
2012-12-13,615.71,610.58,617.13,610.38,-7.0,-1.13,2922.17,623.13,591.8,560.47,84.37,78.46,96.2,2,666.56,534.45
2012-12-14,611.7,643.46,643.66,611.7,32.88,5.38,7805.49,633.09,594.74,556.4,89.49,82.13,104.2,2,673.91,540.35
2012-12-17,644.87,646.86,650.47,644.85,3.41,0.53,6506.09,642.07,597.81,553.55,91.33,85.2,103.6,2,682.23,547.01
2012-12-18,645.17,647.32,656.21,641.67,0.45,0.07,5844.47,649.62,601.07,552.51,89.15,86.52,94.42,2,689.82,553.1
2012-12-19,646.18,647.23,652.13,644.52,-0.08,-0.01,4253.2,656.15,603.89,551.64,87.52,86.85,88.85,2,695.02,557.27
2012-12-20,644.6,650.73,652.79,640.91,3.5,0.54,4382.91,662.49,607.1,551.7,87.69,87.13,88.82,2,700.59,561.73
2012-12-21,651.34,646.84,658.63,644.8,-3.89,-0.6,4731.95,667.35,609.89,552.44,83.65,85.97,79.01,2,704.38,564.77
2012-12-24,645.63,650.69,654.71,645.52,3.85,0.59,3479.18,672.15,613.07,553.99,83.62,85.19,80.47,2,707.82,567.53
2012-12-25,648.65,670.21,673.14,646.79,19.53,3.0,6624.31,679.55,617.59,555.64,87.52,85.96,90.63,2,713.9,572.4
2012-12-26,669.53,671.84,672.71,667.56,1.63,0.24,4942.28,685.31,622.5,559.69,90.98,87.63,97.66,2,719.92,577.23
2012-12-27,673.49,666.87,677.56,666.6,-4.96,-0.74,5062.64,688.09,627.36,566.62,84.26,86.51,79.76,2,726.17,582.24
2012-12-28,667.87,677.85,678.27,666.79,10.97,1.65,4764.92,692.35,632.39,572.43,89.13,87.38,92.63,2,729.98,585.3
2012-12-31,679.23,691.91,692.01,679.23,14.07,2.08,5995.73,696.95,638.38,579.82,92.69,89.15,99.76,2,734.99,589.31
2013-01-04,700.84,694.82,704.43,687.68,2.91,0.42,7006.62,700.97,644.18,587.4,90.08,89.46,91.32,2,740.26,593.54
2013-01-07,693.32,699.06,702.35,691.4,4.24,0.61,5241.27,706.96,649.12,591.27,90.39,89.77,91.62,2,746.01,598.15
2013-01-08,698.96,693.49,700.29,688.19,-5.57,-0.8,5294.7,710.18,653.76,597.34,87.4,88.98,84.24,0,750.76,601.96
2013-01-09,691.37,692.15,694.77,686.14,-1.34,-0.19,5119.11,713.2,657.73,602.26,84.5,87.49,78.52,0,755.79,605.99
2013-01-10,692.38,693.48,700.16,688.57,1.33,0.19,5076.9,716.09,661.42,606.76,80.02,85.0,70.06,2,760.54,609.8
2013-01-11,694.17,678.94,695.96,676.34,-14.54,-2.1,5370.52,715.46,664.6,613.73,64.22,78.07,36.51,2,761.51,610.58
2013-01-14,676.97,707.06,708.93,676.92,28.12,4.14,6833.75,718.32,669.07,619.82,74.67,76.94,70.13,2,765.41,613.71
2013-01-15,707.32,711.15,713.73,706.3,4.1,0.58,6732.74,718.76,674.1,629.44,80.81,78.23,85.98,2,770.33,617.65
2013-01-16,710.19,704.24,711.25,694.37,-6.91,-0.97,6426.32,721.31,677.14,632.96,78.75,78.4,79.44,2,773.26,620.0
2013-01-17,702.52,696.73,702.85,693.35,-7.51,-1.07,4968.93,722.29,679.63,636.97,70.68,75.83,60.38,2,773.79,620.43
2013-01-18,700.9,709.32,712.64,697.37,12.58,1.81,5650.5,724.56,682.73,640.91,76.52,76.06,77.44,2,775.4,621.72
2013-01-21,711.12,713.69,713.81,704.62,4.37,0.62,6242.99,726.61,686.05,645.5,84.24,78.78,95.15,2,777.03,623.02
2013-01-22,712.87,709.72,717.4,705.3,-3.97,-0.56,7210.89,727.38,689.0,650.63,83.26,80.28,89.22,2,778.83,624.47
2013-01-23,707.33,713.36,714.35,704.28,3.64,0.51,5332.24,726.84,692.33,657.81,85.56,82.04,92.6,2,781.18,626.35
2013-01-24,713.57,707.46,729.99,702.36,-5.9,-0.83,7725.32,724.46,695.17,665.87,76.22,80.1,68.47,2,782.74,627.6
2013-01-25,707.5,704.73,710.39,703.02,-2.73,-0.39,4056.4,724.09,696.89,669.69,61.17,73.79,35.93,2,785.6,629.89
2013-01-28,706.53,729.5,729.76,706.53,24.77,3.51,6367.95,727.95,699.78,671.6,73.67,73.75,73.5,2,788.09,631.89
2013-01-29,730.74,737.12,740.22,728.07,7.62,1.04,6825.57,731.69,703.29,674.89,80.24,75.91,88.9,2,790.97,634.2
2013-01-30,738.12,740.78,741.13,732.79,3.67,0.5,7138.98,736.75,706.44,676.12,86.56,79.46,100.76,2,795.03,637.45
2013-01-31,741.12,741.37,743.22,735.29,0.58,0.08,6672.6,742.02,708.91,675.8,89.53,82.82,102.96,2,799.98,641.43
2013-02-01,738.46,759.04,759.36,736.45,17.68,2.38,6803.44,751.08,712.12,673.16,92.83,86.16,106.19,2,805.5,645.85
2013-02-04,762.48,760.89,767.92,756.11,1.85,0.24,8396.09,759.04,715.21,671.38,91.65,87.99,98.97,2,810.74,650.05
2013-02-05,754.15,764.15,766.63,752.67,3.26,0.43,7992.71,766.24,718.74,671.25,92.52,89.5,98.55,2,816.78,654.9
2013-02-06,764.18,766.42,769.62,762.6,2.26,0.3,5872.89,772.6,722.46,672.32,93.41,90.8,98.62,2,822.67,659.62
2013-02-07,765.13,759.21,766.42,747.98,-7.21,-0.94,6298.67,776.47,725.74,675.02,90.11,90.57,89.18,0,828.42,664.23
2013-02-08,758.08,760.47,766.6,753.74,1.27,0.17,5504.5,777.88,729.82,681.76,86.06,89.07,80.06,2,834.6,669.19
2013-02-18,764.26,753.34,765.47,752.1,-7.13,-0.94,5409.16,780.04,732.13,684.23,75.97,84.7,58.52,2,837.25,671.31
2013-02-19,752.62,740.81,754.98,737.27,-12.53,-1.66,5710.51,780.66,733.62,686.57,56.01,75.14,17.75,2,837.66,671.64
2013-02-20,741.07,743.41,743.68,732.23,2.6,0.35,5032.88,780.79,735.58,690.36,47.31,65.86,10.2,2,837.95,671.87
2013-02-21,736.36,715.62,736.36,708.74,-27.79,-3.74,7061.67,779.17,736.52,693.87,35.3,55.68,-5.44,2,835.09,669.58
2013-02-22,714.72,710.54,717.13,708.75,-5.08,-0.71,4311.4,779.08,736.58,694.09,24.52,45.29,-17.02,2,829.71,665.26
2013-02-25,713.61,714.22,720.36,710.07,3.68,0.52,3927.11,779.05,736.61,694.17,19.35,36.64,-15.24,2,824.53,661.11
2013-02-26,708.67,704.26,721.94,703.58,-9.95,-1.39,5817.77,779.53,736.34,693.14,13.26,28.85,-17.92,2,817.88,655.78
2013-02-27,706.57,711.86,718.21,704.74,7.6,1.08,4535.42,779.62,736.26,692.9,13.22,23.64,-7.62,1,811.83,650.92
2013-02-28,716.92,734.36,734.64,711.53,22.5,3.16,6026.28,778.92,737.61,696.29,25.39,24.22,27.73,2,809.07,648.71
2013-03-01,734.2,732.55,736.49,720.79,-1.81,-0.25,5337.3,777.58,739.0,700.41,35.71,28.05,51.04,2,805.97,646.23
2013-03-04,719.39,696.62,719.39,691.82,-35.93,-4.9,7753.24,780.0,737.35,694.7,26.89,27.67,25.35,2,799.67,641.18
2013-03-05,697.31,720.6,720.74,696.32,23.98,3.44,6156.32,779.8,736.53,693.26,39.41,31.58,55.06,2,797.43,639.38
2013-03-06,723.69,728.41,731.33,718.68,7.81,1.08,6295.13,779.27,735.91,692.55,53.57,38.91,82.9,2,795.76,638.04
2013-03-07,725.38,717.59,729.3,710.15,-10.82,-1.49,6141.82,778.72,734.72,690.72,54.95,44.26,76.33,2,795.98,638.22
2013-03-08,718.44,715.54,721.96,713.65,-2.06,-0.29,3846.53,775.81,732.54,689.28,54.33,47.61,67.76,2,796.54,638.66
2013-03-11,714.17,709.56,715.66,705.55,-5.98,-0.84,3379.79,772.29,729.98,687.66,49.46,48.23,51.92,2,796.02,638.25
2013-03-12,709.15,698.6,716.42,691.78,-10.96,-1.54,4933.73,768.06,726.7,685.33,38.06,44.84,24.49,2,795.39,637.75
